Drug,Date,Predicted_Sales
M01AB,2026-07-01,4.758112645149211
M01AB,2026-07-02,4.74342831249839
M01AB,2026-07-03,4.681248293892108
M01AB,2026-07-04,5.48933045452227
M01AB,2026-07-05,5.669456295206719
M01AB,2026-07-06,4.909919215400428
M01AB,2026-07-07,4.7314381924717335
M01AB,2026-07-08,4.868165577791313
M01AB,2026-07-09,4.909867210521404
M01AB,2026-07-10,4.93112825818566
M01AB,2026-07-11,5.664224699433492
M01AB,2026-07-12,5.668143493571705
M01AB,2026-07-13,5.124274447044602
M01AB,2026-07-14,5.036711219700927
M01AB,2026-07-15,4.996947458843857
M01AB,2026-07-16,4.98830212648981
M01AB,2026-07-17,4.994902960885258
M01AB,2026-07-18,5.663990251382778
M01AB,2026-07-19,5.652744020999646
M01AB,2026-07-20,5.157160665767669
M01AB,2026-07-21,5.0920159683198
M01AB,2026-07-22,5.05805977870386
M01AB,2026-07-23,5.025132153156716
M01AB,2026-07-24,5.039649756351902
M01AB,2026-07-25,5.684779562816833
M01AB,2026-07-26,5.649038750061321
M01AB,2026-07-27,5.1506478132643885
M01AB,2026-07-28,5.086504860358357
M01AB,2026-07-29,5.048835615122525
M01AB,2026-07-30,5.041985576542905
M01AB,2026-07-31,5.0565031797380895
M01AE,2026-07-01,4.312225887043636
M01AE,2026-07-02,4.113921581848378
M01AE,2026-07-03,4.195942822537343
M01AE,2026-07-04,5.136086790518423
M01AE,2026-07-05,5.147690076653454
M01AE,2026-07-06,3.5423969699171463
M01AE,2026-07-07,3.525988381048528
M01AE,2026-07-08,3.5579250937500304
M01AE,2026-07-09,3.5602604175640105
M01AE,2026-07-10,3.560975543024777
M01AE,2026-07-11,4.244640450270119
M01AE,2026-07-12,4.522917118162586
M01AE,2026-07-13,3.5564030303746708
M01AE,2026-07-14,3.5418123328633397
M01AE,2026-07-15,3.539604645720329
M01AE,2026-07-16,3.5527881687072522
M01AE,2026-07-17,3.556881035955881
M01AE,2026-07-18,4.238413860499274
M01AE,2026-07-19,4.509159691598262
M01AE,2026-07-20,3.5564030303746708
M01AE,2026-07-21,3.5418123328633397
M01AE,2026-07-22,3.539604645720329
M01AE,2026-07-23,3.5527881687072522
M01AE,2026-07-24,3.556881035955881
M01AE,2026-07-25,4.238413860499274
M01AE,2026-07-26,4.509159691598262
M01AE,2026-07-27,3.5564030303746708
M01AE,2026-07-28,3.5418123328633397
M01AE,2026-07-29,3.539604645720329
M01AE,2026-07-30,3.5527881687072522
M01AE,2026-07-31,3.556881035955881
N02BA,2026-07-01,2.94226865620625
N02BA,2026-07-02,2.9540758234759856
N02BA,2026-07-03,2.995777169679526
N02BA,2026-07-04,2.9870821786054
N02BA,2026-07-05,2.9870821786054
N02BA,2026-07-06,2.9968344411359564
N02BA,2026-07-07,3.011209931881059
N02BA,2026-07-08,2.9870821786054
N02BA,2026-07-09,2.9870821786054
N02BA,2026-07-10,2.9870821786054
N02BA,2026-07-11,2.9870821786054
N02BA,2026-07-12,2.9870821786054
N02BA,2026-07-13,2.9968344411359564
N02BA,2026-07-14,3.011209931881059
N02BA,2026-07-15,2.9870821786054
N02BA,2026-07-16,2.9870821786054
N02BA,2026-07-17,2.9870821786054
N02BA,2026-07-18,2.9870821786054
N02BA,2026-07-19,2.9870821786054
N02BA,2026-07-20,2.9968344411359564
N02BA,2026-07-21,3.011209931881059
N02BA,2026-07-22,2.9870821786054
N02BA,2026-07-23,2.9870821786054
N02BA,2026-07-24,2.9870821786054
N02BA,2026-07-25,2.9870821786054
N02BA,2026-07-26,2.9870821786054
N02BA,2026-07-27,2.9968344411359564
N02BA,2026-07-28,3.011209931881059
N02BA,2026-07-29,2.9870821786054
N02BA,2026-07-30,2.9870821786054
N02BA,2026-07-31,2.9870821786054
N02BE,2026-07-01,33.962824371981746
N02BE,2026-07-02,30.990520089680963
N02BE,2026-07-03,30.172225013312413
N02BE,2026-07-04,40.45259386394703
N02BE,2026-07-05,42.238396102566206
N02BE,2026-07-06,38.034619309179526
N02BE,2026-07-07,32.05514071464125
N02BE,2026-07-08,29.703768648033154
N02BE,2026-07-09,31.173961649732924
N02BE,2026-07-10,32.33860005875362
N02BE,2026-07-11,40.548188388970814
N02BE,2026-07-12,39.14910397580773
N02BE,2026-07-13,33.34755260718559
N02BE,2026-07-14,29.63803059649099
N02BE,2026-07-15,27.681698702690618
N02BE,2026-07-16,30.89446371389916
N02BE,2026-07-17,30.044511537702334
N02BE,2026-07-18,38.25594309987733
N02BE,2026-07-19,39.733611709614806
N02BE,2026-07-20,32.799240400986804
N02BE,2026-07-21,29.446520798166663
N02BE,2026-07-22,27.858118399005445
N02BE,2026-07-23,30.70472302003435
N02BE,2026-07-24,29.88627301674328
N02BE,2026-07-25,38.559941436205705
N02BE,2026-07-26,39.592952724117985
N02BE,2026-07-27,32.34261396944085
N02BE,2026-07-28,29.811936146691956
N02BE,2026-07-29,28.013191503024213
N02BE,2026-07-30,31.116216902888617
