Drug,Model,Set,RMSE,MAE,MAPE,R2,Samples,Best Params
M01AB,RandomForest,Train,2.5496919222682957,2.0080606822644125,7273.687034359894,0.1134803940114747,1259,"OrderedDict({'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300})"
M01AB,RandomForest,Validation,2.7307862254914186,2.156407729198759,6398.813310505411,-0.0008817472806628146,420,"OrderedDict({'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300})"
M01AB,RandomForest,Test,2.8020485807671824,2.227591509541776,6693.081450229347,0.006287482966663593,420,"OrderedDict({'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300})"
M01AB,XGBoost,Train,2.539799368938883,2.0025642153919825,7270.363121623407,0.12034626603875109,1259,"OrderedDict({'colsample_bytree': 0.6861108477826029, 'learning_rate': 0.030243052393007844, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0})"
M01AB,XGBoost,Validation,2.7139879560433404,2.1395203226634436,6363.481067351528,0.011394108503319567,420,"OrderedDict({'colsample_bytree': 0.6861108477826029, 'learning_rate': 0.030243052393007844, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0})"
M01AB,XGBoost,Test,2.7908966810609726,2.2185887266181394,6638.1338757578005,0.014181514610091761,420,"OrderedDict({'colsample_bytree': 0.6861108477826029, 'learning_rate': 0.030243052393007844, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0})"
M01AB,KNN,Train,0.0,0.0,0.0,1.0,1259,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'distance'})"
M01AB,KNN,Validation,2.7738984109503604,2.1953980425506634,6462.111265625002,-0.0327339773718911,420,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'distance'})"
M01AB,KNN,Test,2.8613524637277066,2.267164113514844,6655.811490665974,-0.036220440074987925,420,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'distance'})"
M01AE,RandomForest,Train,1.9890276187448168,1.5614802652784487,8533.141918326402,0.13935675906997624,1259,"OrderedDict({'max_depth': 3, 'min_samples_leaf': 9, 'min_samples_split': 2, 'n_estimators': 300})"
M01AE,RandomForest,Validation,2.0335174368184266,1.5711598763728623,6634.7417839952495,0.03928623348003035,420,"OrderedDict({'max_depth': 3, 'min_samples_leaf': 9, 'min_samples_split': 2, 'n_estimators': 300})"
M01AE,RandomForest,Test,2.0954324139584974,1.6862932172115284,9605.164574363736,0.05155463836731655,420,"OrderedDict({'max_depth': 3, 'min_samples_leaf': 9, 'min_samples_split': 2, 'n_estimators': 300})"
M01AE,XGBoost,Train,1.9024515523236896,1.4955481318366766,8147.5351732208655,0.2126483409319473,1259,"OrderedDict({'colsample_bytree': 0.6977882229378365, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.877047070289055})"
M01AE,XGBoost,Validation,2.0404885005148428,1.574278100458781,6673.472661400526,0.03268813305796037,420,"OrderedDict({'colsample_bytree': 0.6977882229378365, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.877047070289055})"
M01AE,XGBoost,Test,2.074381358445286,1.6683489982536492,9378.179816586515,0.07051538948211311,420,"OrderedDict({'colsample_bytree': 0.6977882229378365, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.877047070289055})"
M01AE,KNN,Train,1.9766395479911227,1.5524296680567513,8034.928530570848,0.150043898463199,1259,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'uniform'})"
M01AE,KNN,Validation,2.087815460634578,1.6076596502977378,6692.242406699678,-0.012703780229710748,420,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'uniform'})"
M01AE,KNN,Test,2.107017343749255,1.686834627975238,9313.220865578838,0.041038387500906715,420,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'uniform'})"
N02BA,RandomForest,Train,2.194847773975674,1.6993524809769376,7607.95026436592,0.13396996636677916,1259,"OrderedDict({'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 4, 'n_estimators': 64})"
N02BA,RandomForest,Validation,2.336233497177577,1.8080173528129186,7640.761345454638,0.08649250440653855,420,"OrderedDict({'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 4, 'n_estimators': 64})"
N02BA,RandomForest,Test,2.2626717895069297,1.776935077693714,7515.805414563573,0.08445266094960802,420,"OrderedDict({'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 4, 'n_estimators': 64})"
N02BA,XGBoost,Train,2.169025006152005,1.6890345292207187,7683.741280510349,0.15422808059894055,1259,"OrderedDict({'colsample_bytree': 0.5, 'learning_rate': 0.01495593543404218, 'max_depth': 3, 'n_estimators': 133, 'subsample': 0.5})"
N02BA,XGBoost,Validation,2.3307077422218963,1.8162255505180593,7764.52291619279,0.09080872444491828,420,"OrderedDict({'colsample_bytree': 0.5, 'learning_rate': 0.01495593543404218, 'max_depth': 3, 'n_estimators': 133, 'subsample': 0.5})"
N02BA,XGBoost,Test,2.272454481868573,1.7814085239025492,7830.946224681998,0.0765187840029874,420,"OrderedDict({'colsample_bytree': 0.5, 'learning_rate': 0.01495593543404218, 'max_depth': 3, 'n_estimators': 133, 'subsample': 0.5})"
N02BA,KNN,Train,0.0,0.0,0.0,1.0,1259,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'distance'})"
N02BA,KNN,Validation,2.3552006738215363,1.8533325002523902,7663.809330931743,0.07159930728692687,420,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'distance'})"
N02BA,KNN,Test,2.336132293682586,1.8442890634240308,8111.404282892661,0.024038813681265925,420,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'distance'})"
N02BE,RandomForest,Train,11.580105009047614,8.545472384496776,3470.0116400405163,0.46570609643610195,1259,"OrderedDict({'max_depth': 4, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 212})"
N02BE,RandomForest,Validation,11.545943087253045,8.815380134917817,3276.1041567357083,0.43262158631774383,420,"OrderedDict({'max_depth': 4, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 212})"
N02BE,RandomForest,Test,12.255419625969159,9.146292691258123,4238.919734856045,0.33114499696455346,420,"OrderedDict({'max_depth': 4, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 212})"
N02BE,XGBoost,Train,11.278876156585978,8.513078596184434,3519.632769277563,0.49314132993001303,1259,"OrderedDict({'colsample_bytree': 0.7572634434331373, 'learning_rate': 0.019617859271738605, 'max_depth': 3, 'n_estimators': 146, 'subsample': 0.5})"
N02BE,XGBoost,Validation,11.568372536572426,8.89431297894015,3349.6923252919137,0.43041503702273853,420,"OrderedDict({'colsample_bytree': 0.7572634434331373, 'learning_rate': 0.019617859271738605, 'max_depth': 3, 'n_estimators': 146, 'subsample': 0.5})"
N02BE,XGBoost,Test,12.065532280036258,9.035926648130872,4188.524361873847,0.3517111091762446,420,"OrderedDict({'colsample_bytree': 0.7572634434331373, 'learning_rate': 0.019617859271738605, 'max_depth': 3, 'n_estimators': 146, 'subsample': 0.5})"
N02BE,KNN,Train,12.281678285712088,9.01221474549444,3531.5763307450384,0.3990052785969793,1259,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'uniform'})"
N02BE,KNN,Validation,11.602607751841665,8.791975674620238,3220.7683655536434,0.4270388114529651,420,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'uniform'})"
N02BE,KNN,Test,12.43055733715677,9.281396835338096,4203.5983220334965,0.3118916783920922,420,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'uniform'})"
