Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,M01AB,KNN,8.0,8.0,Train
2014-01-25,M01AB,KNN,6.0,6.0,Train
2015-10-05,M01AB,KNN,5.0,5.0,Train
2015-07-31,M01AB,KNN,5.5,5.5,Train
2015-09-09,M01AB,KNN,2.0,2.0,Train
2014-01-19,M01AB,KNN,4.33,4.33,Train
2016-03-27,M01AB,KNN,7.83,7.83,Train
2016-08-16,M01AB,KNN,10.0,10.0,Train
2018-12-16,M01AB,KNN,1.33,1.33,Train
2014-12-09,M01AB,KNN,1.0,1.0,Train
2017-09-16,M01AB,KNN,7.0,7.0,Train
2019-02-14,M01AB,KNN,2.33,2.33,Train
2015-02-15,M01AB,KNN,11.68,11.68,Train
2015-04-16,M01AB,KNN,2.34,2.34,Train
2016-11-30,M01AB,KNN,3.33,3.33,Train
2017-12-18,M01AB,KNN,0.66,0.66,Train
2016-12-16,M01AB,KNN,7.33,7.33,Train
2018-06-03,M01AB,KNN,5.0,5.0,Train
2014-04-06,M01AB,KNN,2.0,2.0,Train
2018-09-11,M01AB,KNN,9.0,9.0,Train
2016-06-10,M01AB,KNN,8.33,8.33,Train
2019-05-18,M01AB,KNN,10.0,10.0,Train
2019-01-19,M01AB,KNN,7.02,7.02,Train
2019-01-15,M01AB,KNN,4.33,4.33,Train
2017-02-18,M01AB,KNN,7.0,7.0,Train
2019-01-16,M01AB,KNN,7.5,7.5,Train
2019-08-16,M01AB,KNN,3.33,3.33,Train
2019-06-08,M01AB,KNN,3.0,3.0,Train
2016-01-31,M01AB,KNN,4.33,4.33,Train
2015-11-11,M01AB,KNN,9.66,9.66,Train
2016-11-13,M01AB,KNN,6.0,6.0,Train
2019-04-12,M01AB,KNN,4.33,4.33,Train
2016-02-16,M01AB,KNN,7.33,7.33,Train
2014-06-05,M01AB,KNN,0.34,0.34,Train
2014-06-15,M01AB,KNN,0.34,0.34,Train
2018-04-01,M01AB,KNN,6.83,6.83,Train
2019-08-24,M01AB,KNN,13.84,13.84,Train
2019-02-27,M01AB,KNN,5.0,5.0,Train
2016-08-17,M01AB,KNN,8.66,8.66,Train
2017-05-08,M01AB,KNN,2.33,2.33,Train
2016-10-01,M01AB,KNN,7.33,7.33,Train
2016-12-23,M01AB,KNN,5.33,5.33,Train
2018-12-25,M01AB,KNN,8.0,8.0,Train
2017-06-05,M01AB,KNN,3.33,3.33,Train
2016-12-20,M01AB,KNN,6.33,6.33,Train
2016-03-18,M01AB,KNN,3.34,3.34,Train
2018-01-05,M01AB,KNN,12.0,12.0,Train
2017-03-10,M01AB,KNN,2.0,2.0,Train
2015-03-31,M01AB,KNN,5.0,5.0,Train
2015-11-13,M01AB,KNN,5.0,5.0,Train
2014-04-13,M01AB,KNN,3.0,3.0,Train
2014-11-25,M01AB,KNN,5.36,5.36,Train
2014-08-05,M01AB,KNN,2.0,2.0,Train
2016-07-03,M01AB,KNN,6.67,6.67,Train
2014-08-10,M01AB,KNN,4.0,4.0,Train
2019-05-13,M01AB,KNN,5.0,5.0,Train
2017-08-19,M01AB,KNN,5.0,5.0,Train
2017-09-02,M01AB,KNN,6.34,6.34,Train
2017-02-04,M01AB,KNN,7.779166667,7.779166667,Train
2015-02-12,M01AB,KNN,3.0,3.0,Train
2017-03-08,M01AB,KNN,1.0,1.0,Train
2018-09-20,M01AB,KNN,2.0,2.0,Train
2016-01-27,M01AB,KNN,4.34,4.34,Train
2018-01-17,M01AB,KNN,6.67,6.67,Train
2014-07-10,M01AB,KNN,2.33,2.33,Train
2016-08-01,M01AB,KNN,8.33,8.33,Train
2019-06-22,M01AB,KNN,3.0,3.0,Train
2018-04-28,M01AB,KNN,9.33,9.33,Train
2015-02-21,M01AB,KNN,3.0,3.0,Train
2018-10-29,M01AB,KNN,5.35,5.35,Train
2018-05-25,M01AB,KNN,2.33,2.33,Train
2018-03-11,M01AB,KNN,4.66,4.66,Train
2018-12-21,M01AB,KNN,2.0,2.0,Train
2014-05-19,M01AB,KNN,8.34,8.34,Train
2017-08-25,M01AB,KNN,6.0,6.0,Train
2017-05-28,M01AB,KNN,1.99,1.99,Train
2016-09-22,M01AB,KNN,6.33,6.33,Train
2014-01-30,M01AB,KNN,3.02,3.02,Train
2018-08-26,M01AB,KNN,11.33,11.33,Train
2017-04-23,M01AB,KNN,9.0,9.0,Train
2019-03-11,M01AB,KNN,14.66,14.66,Train
2014-05-16,M01AB,KNN,5.34,5.34,Train
2017-04-20,M01AB,KNN,4.66,4.66,Train
2019-06-13,M01AB,KNN,0.68,0.68,Train
2017-02-11,M01AB,KNN,5.33,5.33,Train
2016-04-27,M01AB,KNN,5.66,5.66,Train
2016-06-07,M01AB,KNN,6.0,6.0,Train
2019-09-15,M01AB,KNN,5.34,5.34,Train
2018-08-07,M01AB,KNN,2.33,2.33,Train
2017-05-10,M01AB,KNN,8.66,8.66,Train
2018-10-13,M01AB,KNN,6.99,6.99,Train
2016-12-03,M01AB,KNN,3.17,3.17,Train
2017-08-17,M01AB,KNN,5.16,5.16,Train
2015-06-19,M01AB,KNN,5.33,5.33,Train
2017-10-28,M01AB,KNN,5.0,5.0,Train
2014-08-26,M01AB,KNN,2.34,2.34,Train
2018-03-21,M01AB,KNN,2.0,2.0,Train
2015-08-21,M01AB,KNN,6.0,6.0,Train
2014-01-31,M01AB,KNN,1.0,1.0,Train
2017-01-25,M01AB,KNN,7.779166667,7.779166667,Train
2018-05-31,M01AB,KNN,3.5,3.5,Train
2017-12-27,M01AB,KNN,7.0,7.0,Train
2017-02-21,M01AB,KNN,5.0,5.0,Train
2016-01-10,M01AB,KNN,7.0,7.0,Train
2017-10-24,M01AB,KNN,2.0,2.0,Train
2017-09-22,M01AB,KNN,4.66,4.66,Train
2017-06-12,M01AB,KNN,4.34,4.34,Train
2017-05-16,M01AB,KNN,2.33,2.33,Train
2018-07-01,M01AB,KNN,2.0,2.0,Train
2018-11-24,M01AB,KNN,5.66,5.66,Train
2017-05-05,M01AB,KNN,2.34,2.34,Train
2016-03-14,M01AB,KNN,4.33,4.33,Train
2019-05-28,M01AB,KNN,4.33,4.33,Train
2018-03-07,M01AB,KNN,4.5,4.5,Train
2015-01-20,M01AB,KNN,4.34,4.34,Train
2017-01-18,M01AB,KNN,6.741666667,6.741666667,Train
2015-08-14,M01AB,KNN,3.0,3.0,Train
2014-07-13,M01AB,KNN,2.0,2.0,Train
2014-07-07,M01AB,KNN,2.0,2.0,Train
2018-01-14,M01AB,KNN,4.33,4.33,Train
2016-01-11,M01AB,KNN,9.34,9.34,Train
2016-12-25,M01AB,KNN,2.33,2.33,Train
2018-05-14,M01AB,KNN,6.0,6.0,Train
2015-04-06,M01AB,KNN,7.33,7.33,Train
2015-07-29,M01AB,KNN,10.34,10.34,Train
2019-04-14,M01AB,KNN,4.0,4.0,Train
2014-10-16,M01AB,KNN,6.775,6.775,Train
2019-03-06,M01AB,KNN,0.34,0.34,Train
2015-06-04,M01AB,KNN,2.33,2.33,Train
2016-06-14,M01AB,KNN,2.33,2.33,Train
2016-11-10,M01AB,KNN,7.33,7.33,Train
2017-02-01,M01AB,KNN,7.375,7.375,Train
2017-10-03,M01AB,KNN,0.34,0.34,Train
2018-02-11,M01AB,KNN,6.33,6.33,Train
2016-05-16,M01AB,KNN,5.0,5.0,Train
2015-04-02,M01AB,KNN,5.0,5.0,Train
2019-09-07,M01AB,KNN,8.33,8.33,Train
2016-05-15,M01AB,KNN,5.33,5.33,Train
2015-02-20,M01AB,KNN,5.33,5.33,Train
2017-02-13,M01AB,KNN,0.0,0.0,Train
2014-02-09,M01AB,KNN,4.0,4.0,Train
2015-08-24,M01AB,KNN,8.5,8.5,Train
2014-06-09,M01AB,KNN,6.33,6.33,Train
2017-07-31,M01AB,KNN,7.34,7.34,Train
2018-09-08,M01AB,KNN,10.0,10.0,Train
2017-12-31,M01AB,KNN,13.83,13.83,Train
2014-05-18,M01AB,KNN,3.34,3.34,Train
2019-09-20,M01AB,KNN,5.34,5.34,Train
2019-07-27,M01AB,KNN,3.34,3.34,Train
2015-07-28,M01AB,KNN,14.18,14.18,Train
2018-07-06,M01AB,KNN,2.33,2.33,Train
2014-09-07,M01AB,KNN,2.0,2.0,Train
2018-02-01,M01AB,KNN,5.34,5.34,Train
2015-09-29,M01AB,KNN,6.33,6.33,Train
2017-08-11,M01AB,KNN,4.33,4.33,Train
2019-08-14,M01AB,KNN,4.34,4.34,Train
2017-04-14,M01AB,KNN,7.34,7.34,Train
2015-02-17,M01AB,KNN,5.33,5.33,Train
2019-05-19,M01AB,KNN,6.67,6.67,Train
2014-03-11,M01AB,KNN,6.0,6.0,Train
2016-08-30,M01AB,KNN,4.66,4.66,Train
2016-08-24,M01AB,KNN,9.33,9.33,Train
2015-11-25,M01AB,KNN,5.66,5.66,Train
2017-07-13,M01AB,KNN,3.33,3.33,Train
2015-02-16,M01AB,KNN,3.01,3.01,Train
2015-04-19,M01AB,KNN,9.32,9.32,Train
2014-05-30,M01AB,KNN,3.02,3.02,Train
2016-10-07,M01AB,KNN,4.34,4.34,Train
2018-05-12,M01AB,KNN,1.33,1.33,Train
2016-02-10,M01AB,KNN,4.34,4.34,Train
2017-03-12,M01AB,KNN,7.68,7.68,Train
2014-12-31,M01AB,KNN,5.67,5.67,Train
2015-01-06,M01AB,KNN,3.0,3.0,Train
