Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2016-12-08,M01AB,RandomForest,5.67,5.060112592346799,Validation
2016-10-09,M01AB,RandomForest,6.68,6.27986602834747,Validation
2016-09-25,M01AB,RandomForest,6.0,5.179971056531856,Validation
2019-05-07,M01AB,RandomForest,2.66,4.486232088040296,Validation
2019-01-31,M01AB,RandomForest,1.67,5.628242822411806,Validation
2015-01-29,M01AB,RandomForest,4.34,4.547723761107848,Validation
2016-02-17,M01AB,RandomForest,3.0,4.616098429693571,Validation
2015-03-22,M01AB,RandomForest,8.34,5.597456366417182,Validation
2016-04-03,M01AB,RandomForest,9.67,5.364495448183893,Validation
2017-12-30,M01AB,RandomForest,8.68,6.0514942577476525,Validation
2019-01-07,M01AB,RandomForest,0.0,5.38943883023405,Validation
2017-06-27,M01AB,RandomForest,4.0,4.711125738365515,Validation
2017-05-25,M01AB,RandomForest,5.66,4.640517984089573,Validation
2019-08-20,M01AB,RandomForest,2.0,5.052283196954014,Validation
2018-10-27,M01AB,RandomForest,8.34,5.032565387570559,Validation
2017-08-02,M01AB,RandomForest,6.0,4.635992431598242,Validation
2016-03-31,M01AB,RandomForest,2.33,5.366599813561171,Validation
2018-02-23,M01AB,RandomForest,5.83,4.578530618947197,Validation
2017-06-30,M01AB,RandomForest,6.67,4.6475143565581565,Validation
2014-08-11,M01AB,RandomForest,8.0,4.185849827204472,Validation
2017-08-08,M01AB,RandomForest,6.0,4.661086056785744,Validation
2015-08-18,M01AB,RandomForest,6.01,5.981749899041913,Validation
2015-06-09,M01AB,RandomForest,3.0,5.074292642036221,Validation
2014-05-21,M01AB,RandomForest,2.0,4.00863859000347,Validation
2016-03-20,M01AB,RandomForest,7.99,5.478526163434462,Validation
2019-09-25,M01AB,RandomForest,6.0,5.135834207096939,Validation
2018-11-28,M01AB,RandomForest,3.0,5.561791589780489,Validation
2015-01-04,M01AB,RandomForest,4.68,5.228372175588976,Validation
2017-07-29,M01AB,RandomForest,3.0,5.0922843772343045,Validation
2018-04-05,M01AB,RandomForest,6.33,5.4104622056089,Validation
2014-11-19,M01AB,RandomForest,1.34,4.088054701918406,Validation
2014-09-04,M01AB,RandomForest,5.68,4.167224454058599,Validation
2015-12-03,M01AB,RandomForest,4.0,4.533209186236271,Validation
2014-03-10,M01AB,RandomForest,6.68,4.08310469817638,Validation
2017-12-05,M01AB,RandomForest,3.68,4.9408803629082945,Validation
2016-12-01,M01AB,RandomForest,4.5,5.26112078629742,Validation
2015-05-26,M01AB,RandomForest,7.34,5.129231067460423,Validation
2019-07-26,M01AB,RandomForest,12.5,4.71158562105429,Validation
2018-09-27,M01AB,RandomForest,4.0,4.83370609117706,Validation
2019-09-24,M01AB,RandomForest,2.0,5.149554360454999,Validation
2017-10-05,M01AB,RandomForest,5.33,4.589863897301282,Validation
2018-06-30,M01AB,RandomForest,6.84,4.935214565477423,Validation
2018-10-07,M01AB,RandomForest,2.68,5.60559796369889,Validation
2019-06-09,M01AB,RandomForest,9.33,5.022939060539951,Validation
2015-01-07,M01AB,RandomForest,0.0,4.502795718594048,Validation
2016-02-22,M01AB,RandomForest,3.0,5.221309962786194,Validation
2018-01-25,M01AB,RandomForest,3.66,4.6763389027052655,Validation
2015-09-07,M01AB,RandomForest,4.34,5.227176059631067,Validation
2018-10-03,M01AB,RandomForest,6.0,4.6151523183312015,Validation
2019-08-18,M01AB,RandomForest,4.84,5.918859297029291,Validation
2018-03-03,M01AB,RandomForest,8.0,4.9463178237252645,Validation
2018-07-19,M01AB,RandomForest,6.84,4.546568514080995,Validation
2016-02-21,M01AB,RandomForest,6.34,5.750583930256263,Validation
2015-08-05,M01AB,RandomForest,5.0,5.413103051884676,Validation
2018-09-12,M01AB,RandomForest,4.0,5.565164916778978,Validation
2016-11-06,M01AB,RandomForest,8.0,5.116190259285354,Validation
2015-07-22,M01AB,RandomForest,9.33,5.242133980651753,Validation
2018-09-06,M01AB,RandomForest,6.66,4.484833278992105,Validation
2018-06-25,M01AB,RandomForest,3.33,4.631609754794857,Validation
2016-03-16,M01AB,RandomForest,5.33,4.587019418216577,Validation
2014-07-15,M01AB,RandomForest,3.34,4.391187219054221,Validation
2016-05-24,M01AB,RandomForest,12.0,4.575922903184269,Validation
2018-07-31,M01AB,RandomForest,7.33,4.738400472762971,Validation
2014-11-08,M01AB,RandomForest,12.0,4.255058681830551,Validation
2018-12-27,M01AB,RandomForest,3.68,5.146716870126338,Validation
2017-11-01,M01AB,RandomForest,0.67,4.680228460288015,Validation
2017-11-11,M01AB,RandomForest,8.5,6.430135443933102,Validation
2017-07-10,M01AB,RandomForest,2.0,4.921397875800739,Validation
2019-05-29,M01AB,RandomForest,5.5,5.212656789264648,Validation
2019-04-19,M01AB,RandomForest,3.34,4.292468534852911,Validation
2016-10-12,M01AB,RandomForest,8.33,5.013133519158047,Validation
2018-09-23,M01AB,RandomForest,7.34,5.0363452493543965,Validation
2014-07-29,M01AB,RandomForest,2.34,3.9426501782428365,Validation
2015-07-12,M01AB,RandomForest,6.33,5.050365320572343,Validation
2017-03-01,M01AB,RandomForest,4.0,4.590947217714934,Validation
2017-10-26,M01AB,RandomForest,1.33,4.625995824567371,Validation
2014-03-04,M01AB,RandomForest,5.34,4.228084228687839,Validation
2015-09-22,M01AB,RandomForest,6.99,4.796793377296244,Validation
2016-03-02,M01AB,RandomForest,3.33,5.655301982309657,Validation
2016-07-18,M01AB,RandomForest,6.0,5.395963718043888,Validation
2019-01-08,M01AB,RandomForest,4.34,4.766948388565754,Validation
2016-11-17,M01AB,RandomForest,5.0,5.313423724760239,Validation
2019-04-09,M01AB,RandomForest,2.83,4.954991664946749,Validation
2017-11-21,M01AB,RandomForest,13.33,4.57112907998691,Validation
2018-07-14,M01AB,RandomForest,0.0,5.352990565010051,Validation
2019-05-25,M01AB,RandomForest,11.0,5.83419366761081,Validation
2018-04-17,M01AB,RandomForest,3.34,4.95045186007786,Validation
2019-04-08,M01AB,RandomForest,5.0,4.991639420054689,Validation
2016-10-11,M01AB,RandomForest,7.33,4.778594227283023,Validation
2016-12-21,M01AB,RandomForest,1.34,5.096428543835406,Validation
2016-11-20,M01AB,RandomForest,7.0,5.363605684119135,Validation
2014-12-27,M01AB,RandomForest,7.33,4.109423814872543,Validation
2015-11-06,M01AB,RandomForest,3.33,4.611137740378727,Validation
2016-02-01,M01AB,RandomForest,6.34,5.567754377901681,Validation
2015-08-30,M01AB,RandomForest,11.0,5.902341769829715,Validation
2017-04-02,M01AB,RandomForest,6.67,4.868829116017161,Validation
2015-03-19,M01AB,RandomForest,2.0,4.53347766828401,Validation
2018-12-29,M01AB,RandomForest,6.68,6.974260896933511,Validation
2019-05-14,M01AB,RandomForest,6.67,4.8950881174281315,Validation
2015-05-22,M01AB,RandomForest,3.0,4.8052989857891335,Validation
