Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,M01AB,RandomForest,8.0,5.55489108482575,Train
2014-01-25,M01AB,RandomForest,6.0,4.237419234202179,Train
2015-10-05,M01AB,RandomForest,5.0,5.599713777549609,Train
2015-07-31,M01AB,RandomForest,5.5,5.279771139338925,Train
2015-09-09,M01AB,RandomForest,2.0,4.616098958742288,Train
2014-01-19,M01AB,RandomForest,4.33,3.984464179697427,Train
2016-03-27,M01AB,RandomForest,7.83,5.35827598241307,Train
2016-08-16,M01AB,RandomForest,10.0,5.269718560975789,Train
2018-12-16,M01AB,RandomForest,1.33,4.851593927966781,Train
2014-12-09,M01AB,RandomForest,1.0,3.87269100501272,Train
2017-09-16,M01AB,RandomForest,7.0,5.151439424019282,Train
2019-02-14,M01AB,RandomForest,2.33,4.498978857764078,Train
2015-02-15,M01AB,RandomForest,11.68,4.958509527244597,Train
2015-04-16,M01AB,RandomForest,2.34,4.812740292160441,Train
2016-11-30,M01AB,RandomForest,3.33,5.110774323941095,Train
2017-12-18,M01AB,RandomForest,0.66,5.223884495472381,Train
2016-12-16,M01AB,RandomForest,7.33,5.246525834125632,Train
2018-06-03,M01AB,RandomForest,5.0,5.788478395719408,Train
2014-04-06,M01AB,RandomForest,2.0,3.7471183238280203,Train
2018-09-11,M01AB,RandomForest,9.0,5.2811118466421965,Train
2016-06-10,M01AB,RandomForest,8.33,5.593368289780096,Train
2019-05-18,M01AB,RandomForest,10.0,5.2281622805388155,Train
2019-01-19,M01AB,RandomForest,7.02,6.341082715894202,Train
2019-01-15,M01AB,RandomForest,4.33,5.544436018153835,Train
2017-02-18,M01AB,RandomForest,7.0,5.181442497858887,Train
2019-01-16,M01AB,RandomForest,7.5,5.290402100226197,Train
2019-08-16,M01AB,RandomForest,3.33,5.490201135313945,Train
2019-06-08,M01AB,RandomForest,3.0,5.15528050719019,Train
2016-01-31,M01AB,RandomForest,4.33,5.808615636458745,Train
2015-11-11,M01AB,RandomForest,9.66,5.181904418885934,Train
2016-11-13,M01AB,RandomForest,6.0,5.9904228999399995,Train
2019-04-12,M01AB,RandomForest,4.33,4.809624758581934,Train
2016-02-16,M01AB,RandomForest,7.33,4.655441975619944,Train
2014-06-05,M01AB,RandomForest,0.34,3.7665453651842267,Train
2014-06-15,M01AB,RandomForest,0.34,4.013053939532301,Train
2018-04-01,M01AB,RandomForest,6.83,5.591201020264223,Train
2019-08-24,M01AB,RandomForest,13.84,6.085865216597104,Train
2019-02-27,M01AB,RandomForest,5.0,4.533232290125924,Train
2016-08-17,M01AB,RandomForest,8.66,5.995194635646761,Train
2017-05-08,M01AB,RandomForest,2.33,4.7299979066911675,Train
2016-10-01,M01AB,RandomForest,7.33,6.253568915939847,Train
2016-12-23,M01AB,RandomForest,5.33,4.594053439176877,Train
