Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2016-12-08,M01AB,XGBoost,5.67,4.9540386,Validation
2016-10-09,M01AB,XGBoost,6.68,6.3412466,Validation
2016-09-25,M01AB,XGBoost,6.0,5.3470836,Validation
2019-05-07,M01AB,XGBoost,2.66,4.516306,Validation
2019-01-31,M01AB,XGBoost,1.67,5.4793534,Validation
2015-01-29,M01AB,XGBoost,4.34,4.6534142,Validation
2016-02-17,M01AB,XGBoost,3.0,4.8102837,Validation
2015-03-22,M01AB,XGBoost,8.34,5.5270367,Validation
2016-04-03,M01AB,XGBoost,9.67,5.324103,Validation
2017-12-30,M01AB,XGBoost,8.68,5.9745193,Validation
2019-01-07,M01AB,XGBoost,0.0,5.149188,Validation
2017-06-27,M01AB,XGBoost,4.0,4.9214187,Validation
2017-05-25,M01AB,XGBoost,5.66,4.5617704,Validation
2019-08-20,M01AB,XGBoost,2.0,4.7781024,Validation
2018-10-27,M01AB,XGBoost,8.34,5.098734,Validation
2017-08-02,M01AB,XGBoost,6.0,4.614981,Validation
2016-03-31,M01AB,XGBoost,2.33,5.5470176,Validation
2018-02-23,M01AB,XGBoost,5.83,4.453056,Validation
2017-06-30,M01AB,XGBoost,6.67,4.6698017,Validation
2014-08-11,M01AB,XGBoost,8.0,4.3634562,Validation
2017-08-08,M01AB,XGBoost,6.0,4.7802606,Validation
2015-08-18,M01AB,XGBoost,6.01,5.9768934,Validation
2015-06-09,M01AB,XGBoost,3.0,5.150933,Validation
2014-05-21,M01AB,XGBoost,2.0,4.136661,Validation
2016-03-20,M01AB,XGBoost,7.99,5.550135,Validation
2019-09-25,M01AB,XGBoost,6.0,5.099202,Validation
2018-11-28,M01AB,XGBoost,3.0,5.378811,Validation
2015-01-04,M01AB,XGBoost,4.68,5.4838634,Validation
2017-07-29,M01AB,XGBoost,3.0,5.133813,Validation
2018-04-05,M01AB,XGBoost,6.33,5.224456,Validation
2014-11-19,M01AB,XGBoost,1.34,4.055775,Validation
2014-09-04,M01AB,XGBoost,5.68,4.228301,Validation
2015-12-03,M01AB,XGBoost,4.0,4.8012886,Validation
2014-03-10,M01AB,XGBoost,6.68,4.2829027,Validation
2017-12-05,M01AB,XGBoost,3.68,4.9820976,Validation
2016-12-01,M01AB,XGBoost,4.5,4.9528303,Validation
2015-05-26,M01AB,XGBoost,7.34,5.234055,Validation
2019-07-26,M01AB,XGBoost,12.5,4.664157,Validation
2018-09-27,M01AB,XGBoost,4.0,4.7717786,Validation
2019-09-24,M01AB,XGBoost,2.0,4.8991494,Validation
