Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,M01AB,XGBoost,8.0,5.33468,Train
2014-01-25,M01AB,XGBoost,6.0,4.411784,Train
2015-10-05,M01AB,XGBoost,5.0,5.6155186,Train
2015-07-31,M01AB,XGBoost,5.5,5.0811105,Train
2015-09-09,M01AB,XGBoost,2.0,4.767477,Train
2014-01-19,M01AB,XGBoost,4.33,4.1947575,Train
2016-03-27,M01AB,XGBoost,7.83,5.30812,Train
2016-08-16,M01AB,XGBoost,10.0,5.0418983,Train
2018-12-16,M01AB,XGBoost,1.33,4.737131,Train
2014-12-09,M01AB,XGBoost,1.0,3.8778934,Train
2017-09-16,M01AB,XGBoost,7.0,5.255597,Train
2019-02-14,M01AB,XGBoost,2.33,4.5172105,Train
2015-02-15,M01AB,XGBoost,11.68,5.0263314,Train
2015-04-16,M01AB,XGBoost,2.34,4.834378,Train
2016-11-30,M01AB,XGBoost,3.33,4.915986,Train
2017-12-18,M01AB,XGBoost,0.66,5.1285563,Train
2016-12-16,M01AB,XGBoost,7.33,5.257098,Train
2018-06-03,M01AB,XGBoost,5.0,5.8251057,Train
2014-04-06,M01AB,XGBoost,2.0,3.781209,Train
2018-09-11,M01AB,XGBoost,9.0,5.2772193,Train
2016-06-10,M01AB,XGBoost,8.33,5.407937,Train
2019-05-18,M01AB,XGBoost,10.0,5.255597,Train
2019-01-19,M01AB,XGBoost,7.02,6.2878213,Train
2019-01-15,M01AB,XGBoost,4.33,5.2901473,Train
2017-02-18,M01AB,XGBoost,7.0,5.255597,Train
2019-01-16,M01AB,XGBoost,7.5,5.047357,Train
2019-08-16,M01AB,XGBoost,3.33,5.2598205,Train
2019-06-08,M01AB,XGBoost,3.0,5.243485,Train
2016-01-31,M01AB,XGBoost,4.33,5.654153,Train
2015-11-11,M01AB,XGBoost,9.66,5.215751,Train
2016-11-13,M01AB,XGBoost,6.0,5.9260383,Train
2019-04-12,M01AB,XGBoost,4.33,4.8557987,Train
2016-02-16,M01AB,XGBoost,7.33,4.7517343,Train
2014-06-05,M01AB,XGBoost,0.34,3.834797,Train
2014-06-15,M01AB,XGBoost,0.34,3.9615347,Train
2018-04-01,M01AB,XGBoost,6.83,5.4774957,Train
2019-08-24,M01AB,XGBoost,13.84,5.986836,Train
2019-02-27,M01AB,XGBoost,5.0,4.6699777,Train
2016-08-17,M01AB,XGBoost,8.66,5.6505837,Train
2017-05-08,M01AB,XGBoost,2.33,4.897406,Train
2016-10-01,M01AB,XGBoost,7.33,6.1373596,Train
2016-12-23,M01AB,XGBoost,5.33,4.8362436,Train
2018-12-25,M01AB,XGBoost,8.0,5.120824,Train
2017-06-05,M01AB,XGBoost,3.33,4.8951626,Train
2016-12-20,M01AB,XGBoost,6.33,4.6172185,Train
2016-03-18,M01AB,XGBoost,3.34,4.7517343,Train
2018-01-05,M01AB,XGBoost,12.0,6.003844,Train
2017-03-10,M01AB,XGBoost,2.0,5.1589556,Train
2015-03-31,M01AB,XGBoost,5.0,4.8519306,Train
2015-11-13,M01AB,XGBoost,5.0,5.1305285,Train
2014-04-13,M01AB,XGBoost,3.0,4.240403,Train
2014-11-25,M01AB,XGBoost,5.36,4.190422,Train
2014-08-05,M01AB,XGBoost,2.0,4.1471176,Train
2016-07-03,M01AB,XGBoost,6.67,5.0831943,Train
2014-08-10,M01AB,XGBoost,4.0,3.9407918,Train
2019-05-13,M01AB,XGBoost,5.0,4.774674,Train
2017-08-19,M01AB,XGBoost,5.0,5.070814,Train
2017-09-02,M01AB,XGBoost,6.34,5.584022,Train
2017-02-04,M01AB,XGBoost,7.779166667,6.131426,Train
2015-02-12,M01AB,XGBoost,3.0,4.439999,Train
2017-03-08,M01AB,XGBoost,1.0,4.643783,Train
2018-09-20,M01AB,XGBoost,2.0,4.7006273,Train
2016-01-27,M01AB,XGBoost,4.34,4.6797333,Train
2018-01-17,M01AB,XGBoost,6.67,5.6832933,Train
2014-07-10,M01AB,XGBoost,2.33,4.0612774,Train
2016-08-01,M01AB,XGBoost,8.33,5.8555946,Train
2019-06-22,M01AB,XGBoost,3.0,5.255597,Train
2018-04-28,M01AB,XGBoost,9.33,6.1828117,Train
2015-02-21,M01AB,XGBoost,3.0,4.7949705,Train
2018-10-29,M01AB,XGBoost,5.35,4.7941966,Train
2018-05-25,M01AB,XGBoost,2.33,4.405932,Train
2018-03-11,M01AB,XGBoost,4.66,5.0955157,Train
2018-12-21,M01AB,XGBoost,2.0,4.4535108,Train
