Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,M01AE,KNN,3.406,3.0700499999999993,Train
2014-01-25,M01AE,KNN,9.0,4.6130541666500005,Train
2015-10-05,M01AE,KNN,2.373,3.6780500000000003,Train
2015-07-31,M01AE,KNN,9.0,3.2209000000000003,Train
2015-09-09,M01AE,KNN,3.0,3.971899999999999,Train
2014-01-19,M01AE,KNN,4.0,3.1525500000000006,Train
2016-03-27,M01AE,KNN,5.449,4.7337750000000005,Train
2016-08-16,M01AE,KNN,4.66,3.9441,Train
2018-12-16,M01AE,KNN,4.32,4.29215,Train
2014-12-09,M01AE,KNN,2.34,4.20885,Train
2017-09-16,M01AE,KNN,3.0,4.4018,Train
2019-02-14,M01AE,KNN,6.517,4.1588583332999995,Train
2015-02-15,M01AE,KNN,2.33,4.852124999999999,Train
2015-04-16,M01AE,KNN,1.0,3.0161000000000002,Train
2016-11-30,M01AE,KNN,2.99,3.4768,Train
2017-12-18,M01AE,KNN,4.67,3.69075,Train
2016-12-16,M01AE,KNN,6.32,3.5511000000000004,Train
2018-06-03,M01AE,KNN,2.746,4.3131,Train
2014-04-06,M01AE,KNN,1.0,3.1626,Train
2018-09-11,M01AE,KNN,2.726,3.13225,Train
2016-06-10,M01AE,KNN,4.0,3.7491,Train
2019-05-18,M01AE,KNN,0.34,2.8205999999999998,Train
2019-01-19,M01AE,KNN,8.391,5.1011875,Train
2019-01-15,M01AE,KNN,4.33,4.7891875,Train
2017-02-18,M01AE,KNN,4.0,4.59410416665,Train
2019-01-16,M01AE,KNN,5.066,5.150212499949999,Train
2019-08-16,M01AE,KNN,2.68,3.2800000000000002,Train
2019-06-08,M01AE,KNN,3.66,2.9160000000000004,Train
2016-01-31,M01AE,KNN,5.143,4.740133333300001,Train
2015-11-11,M01AE,KNN,5.34,4.016765625,Train
2016-11-13,M01AE,KNN,11.32,4.8798,Train
2019-04-12,M01AE,KNN,4.373,3.8304500000000004,Train
2016-02-16,M01AE,KNN,2.32,4.94925,Train
2014-06-05,M01AE,KNN,4.68,3.1811,Train
2014-06-15,M01AE,KNN,2.0,2.9268,Train
2018-04-01,M01AE,KNN,3.34,4.06015,Train
2019-08-24,M01AE,KNN,6.02,3.8929,Train
2019-02-27,M01AE,KNN,0.67,2.9808,Train
2016-08-17,M01AE,KNN,2.01,3.5676,Train
2017-05-08,M01AE,KNN,3.66,4.1774,Train
2016-10-01,M01AE,KNN,7.65,4.8778500000000005,Train
2016-12-23,M01AE,KNN,4.67,3.913199999999999,Train
2018-12-25,M01AE,KNN,6.076,3.3714,Train
2017-06-05,M01AE,KNN,5.99,2.8295,Train
2016-12-20,M01AE,KNN,3.66,3.5667999999999997,Train
2016-03-18,M01AE,KNN,5.353,4.1706125,Train
2018-01-05,M01AE,KNN,6.825,4.1263000000000005,Train
2017-03-10,M01AE,KNN,4.33,4.049149999999999,Train
2015-03-31,M01AE,KNN,2.0,4.119349999999999,Train
2015-11-13,M01AE,KNN,2.44,4.4393,Train
2014-04-13,M01AE,KNN,2.0,2.3501999999999996,Train
2014-11-25,M01AE,KNN,1.68,3.2362500000000005,Train
2014-08-05,M01AE,KNN,1.34,3.59415,Train
2016-07-03,M01AE,KNN,4.165,4.160400000000001,Train
2014-08-10,M01AE,KNN,0.34,3.6241,Train
2019-05-13,M01AE,KNN,4.527,3.8266541666499996,Train
2017-08-19,M01AE,KNN,4.713,3.545700000000001,Train
2017-09-02,M01AE,KNN,2.13,3.8623999999999996,Train
2017-02-04,M01AE,KNN,4.166666667,5.524212499999999,Train
2015-02-12,M01AE,KNN,4.0,4.46615,Train
2017-03-08,M01AE,KNN,2.34,3.53881666665,Train
2018-09-20,M01AE,KNN,4.067,3.3219000000000003,Train
2016-01-27,M01AE,KNN,4.429,4.33412499995,Train
2018-01-17,M01AE,KNN,2.85,3.71029166665,Train
2014-07-10,M01AE,KNN,4.66,3.3470156249999996,Train
2016-08-01,M01AE,KNN,1.396,3.4563,Train
2019-06-22,M01AE,KNN,4.0,3.5723,Train
2018-04-28,M01AE,KNN,2.0,4.4296,Train
2015-02-21,M01AE,KNN,5.347,4.11475,Train
2018-10-29,M01AE,KNN,2.67,2.92625,Train
2018-05-25,M01AE,KNN,2.33,3.5097500000000004,Train
2018-03-11,M01AE,KNN,7.54,4.30405,Train
2018-12-21,M01AE,KNN,1.35,3.5229,Train
2014-05-19,M01AE,KNN,3.84,3.5862500000000006,Train
2017-08-25,M01AE,KNN,3.01,3.0451499999999996,Train
2017-05-28,M01AE,KNN,6.243,3.960400000000001,Train
2016-09-22,M01AE,KNN,2.33,3.4324999999999997,Train
2014-01-30,M01AE,KNN,1.34,3.7795499999999995,Train
2018-08-26,M01AE,KNN,6.67,4.660449999999999,Train
2017-04-23,M01AE,KNN,5.416,3.5128999999999997,Train
2019-03-11,M01AE,KNN,3.67,3.1144,Train
2014-05-16,M01AE,KNN,7.0,3.592,Train
2017-04-20,M01AE,KNN,2.33,3.2846999999999995,Train
2019-06-13,M01AE,KNN,3.02,3.3363,Train
2017-02-11,M01AE,KNN,6.32,3.8176999999999994,Train
2016-04-27,M01AE,KNN,7.495,3.721750000000001,Train
2016-06-07,M01AE,KNN,3.363,3.249,Train
2019-09-15,M01AE,KNN,6.01,5.1283,Train
2018-08-07,M01AE,KNN,2.67,3.22185,Train
2017-05-10,M01AE,KNN,0.397,3.0463,Train
2018-10-13,M01AE,KNN,4.507,4.972849999999999,Train
2016-12-03,M01AE,KNN,2.68,4.85875,Train
2017-08-17,M01AE,KNN,1.33,3.37205,Train
2015-06-19,M01AE,KNN,4.01,3.9951000000000008,Train
2017-10-28,M01AE,KNN,2.33,4.064900000000001,Train
2014-08-26,M01AE,KNN,5.34,3.7640000000000007,Train
2018-03-21,M01AE,KNN,2.0,3.1389500000000004,Train
2015-08-21,M01AE,KNN,0.67,3.6488500000000004,Train
2014-01-31,M01AE,KNN,2.68,3.91395,Train
2017-01-25,M01AE,KNN,5.108333333,4.4333708333,Train
2018-05-31,M01AE,KNN,3.66,3.0012,Train
2017-12-27,M01AE,KNN,4.814,3.11775,Train
2017-02-21,M01AE,KNN,4.155,3.566350000000001,Train
2016-01-10,M01AE,KNN,4.033,4.476350000000001,Train
2017-10-24,M01AE,KNN,2.0,3.3963,Train
2017-09-22,M01AE,KNN,2.241,3.3483000000000005,Train
2017-06-12,M01AE,KNN,3.34,3.92510833335,Train
2017-05-16,M01AE,KNN,5.66,3.51429166665,Train
2018-07-01,M01AE,KNN,3.693,3.831550000000001,Train
2018-11-24,M01AE,KNN,5.78,4.327000000000001,Train
2017-05-05,M01AE,KNN,5.33,3.1203624999999997,Train
2016-03-14,M01AE,KNN,3.32,4.01880833335,Train
2019-05-28,M01AE,KNN,3.99,2.9229999999999996,Train
2018-03-07,M01AE,KNN,1.67,3.980416666650001,Train
2015-01-20,M01AE,KNN,0.33,3.9585500000000002,Train
