Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,M01AE,RandomForest,3.406,3.400727499215225,Train
2014-01-25,M01AE,RandomForest,9.0,4.563437461523869,Train
2015-10-05,M01AE,RandomForest,2.373,3.702743181735771,Train
2015-07-31,M01AE,RandomForest,9.0,3.756176476100004,Train
2015-09-09,M01AE,RandomForest,3.0,4.255337646711896,Train
2014-01-19,M01AE,RandomForest,4.0,3.4087161800568877,Train
2016-03-27,M01AE,RandomForest,5.449,4.774094665654894,Train
2016-08-16,M01AE,RandomForest,4.66,3.7476719557013407,Train
2018-12-16,M01AE,RandomForest,4.32,4.302689072462588,Train
2014-12-09,M01AE,RandomForest,2.34,3.676710652273472,Train
2017-09-16,M01AE,RandomForest,3.0,4.424383134524401,Train
2019-02-14,M01AE,RandomForest,6.517,4.507780349753302,Train
2015-02-15,M01AE,RandomForest,2.33,4.896218280108981,Train
2015-04-16,M01AE,RandomForest,1.0,3.4499584559928356,Train
2016-11-30,M01AE,RandomForest,2.99,3.7142721406376533,Train
2017-12-18,M01AE,RandomForest,4.67,3.6013051232534683,Train
2016-12-16,M01AE,RandomForest,6.32,3.641658872264355,Train
2018-06-03,M01AE,RandomForest,2.746,3.992502183556213,Train
2014-04-06,M01AE,RandomForest,1.0,3.400190814607883,Train
2018-09-11,M01AE,RandomForest,2.726,3.4997448214566544,Train
2016-06-10,M01AE,RandomForest,4.0,3.5436531213971763,Train
2019-05-18,M01AE,RandomForest,0.34,3.6860033514437265,Train
2019-01-19,M01AE,RandomForest,8.391,5.994117991671448,Train
2019-01-15,M01AE,RandomForest,4.33,4.8445117393204065,Train
2017-02-18,M01AE,RandomForest,4.0,4.683278272911984,Train
2019-01-16,M01AE,RandomForest,5.066,4.950956666124744,Train
2019-08-16,M01AE,RandomForest,2.68,3.500156771819355,Train
2019-06-08,M01AE,RandomForest,3.66,3.5676422624181443,Train
2016-01-31,M01AE,RandomForest,5.143,5.408329673694951,Train
2015-11-11,M01AE,RandomForest,5.34,4.049587561768448,Train
