Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2016-12-08,M01AE,XGBoost,1.67,3.5627208,Validation
2016-10-09,M01AE,XGBoost,5.02,4.506057,Validation
2016-09-25,M01AE,XGBoost,4.33,4.387474,Validation
2019-05-07,M01AE,XGBoost,5.519,3.6271305,Validation
2019-01-31,M01AE,XGBoost,11.505,4.7167015,Validation
2015-01-29,M01AE,XGBoost,5.71,3.9923584,Validation
2016-02-17,M01AE,XGBoost,5.0,4.1442146,Validation
2015-03-22,M01AE,XGBoost,6.67,3.9522824,Validation
2016-04-03,M01AE,XGBoost,7.396,4.0230913,Validation
2017-12-30,M01AE,XGBoost,8.363,3.95838,Validation
2019-01-07,M01AE,XGBoost,0.0,3.998908,Validation
2017-06-27,M01AE,XGBoost,3.32,3.6254053,Validation
2017-05-25,M01AE,XGBoost,5.36,3.490651,Validation
2019-08-20,M01AE,XGBoost,1.32,3.5918741,Validation
2018-10-27,M01AE,XGBoost,3.426,4.3052506,Validation
2017-08-02,M01AE,XGBoost,2.66,3.6601555,Validation
2016-03-31,M01AE,XGBoost,8.68,3.602479,Validation
2018-02-23,M01AE,XGBoost,2.979,4.2341933,Validation
2017-06-30,M01AE,XGBoost,2.132,3.6312737,Validation
2014-08-11,M01AE,XGBoost,5.36,3.5979064,Validation
2017-08-08,M01AE,XGBoost,1.703,3.632611,Validation
2015-08-18,M01AE,XGBoost,2.67,3.8568015,Validation
2015-06-09,M01AE,XGBoost,4.0,3.882046,Validation
2014-05-21,M01AE,XGBoost,4.68,3.4867685,Validation
2016-03-20,M01AE,XGBoost,9.693,5.2225027,Validation
2019-09-25,M01AE,XGBoost,3.67,3.5756109,Validation
2018-11-28,M01AE,XGBoost,5.67,3.7063968,Validation
2015-01-04,M01AE,XGBoost,8.92,4.939806,Validation
2017-07-29,M01AE,XGBoost,3.33,3.9700975,Validation
2018-04-05,M01AE,XGBoost,3.67,3.5896957,Validation
2014-11-19,M01AE,XGBoost,3.67,3.6088502,Validation
2014-09-04,M01AE,XGBoost,5.34,3.6893399,Validation
2015-12-03,M01AE,XGBoost,3.0,3.679858,Validation
2014-03-10,M01AE,XGBoost,5.35,3.6464553,Validation
2017-12-05,M01AE,XGBoost,3.165,3.6436782,Validation
2016-12-01,M01AE,XGBoost,2.363,3.684081,Validation
2015-05-26,M01AE,XGBoost,3.34,3.6335547,Validation
2019-07-26,M01AE,XGBoost,4.0,3.5552878,Validation
2018-09-27,M01AE,XGBoost,6.567,3.975391,Validation
2019-09-24,M01AE,XGBoost,1.34,3.6307054,Validation
2017-10-05,M01AE,XGBoost,3.99,3.6135612,Validation
2018-06-30,M01AE,XGBoost,3.34,4.023893,Validation
2018-10-07,M01AE,XGBoost,7.35,4.151239,Validation
2019-06-09,M01AE,XGBoost,1.033,3.9601662,Validation
2015-01-07,M01AE,XGBoost,0.0,4.3387637,Validation
2016-02-22,M01AE,XGBoost,5.32,3.6454475,Validation
2018-01-25,M01AE,XGBoost,5.132,3.7468164,Validation
2015-09-07,M01AE,XGBoost,6.124,4.2556562,Validation
2018-10-03,M01AE,XGBoost,3.33,3.9092002,Validation
2019-08-18,M01AE,XGBoost,2.846,4.050241,Validation
2018-03-03,M01AE,XGBoost,2.363,4.0028305,Validation
2018-07-19,M01AE,XGBoost,4.0,3.6870584,Validation
2016-02-21,M01AE,XGBoost,4.0,3.9495604,Validation
2015-08-05,M01AE,XGBoost,3.33,3.8500779,Validation
2018-09-12,M01AE,XGBoost,3.0,3.56215,Validation
2016-11-06,M01AE,XGBoost,4.34,4.128224,Validation
2015-07-22,M01AE,XGBoost,0.34,3.566282,Validation
2018-09-06,M01AE,XGBoost,4.056,3.5147612,Validation
2018-06-25,M01AE,XGBoost,3.099,3.8440518,Validation
2016-03-16,M01AE,XGBoost,13.34,3.8976104,Validation
2014-07-15,M01AE,XGBoost,1.68,3.535695,Validation
2016-05-24,M01AE,XGBoost,3.167,3.6411557,Validation
2018-07-31,M01AE,XGBoost,3.736,3.7143059,Validation
2014-11-08,M01AE,XGBoost,7.02,3.673443,Validation
2018-12-27,M01AE,XGBoost,3.01,3.627283,Validation
2017-11-01,M01AE,XGBoost,3.429,3.6384501,Validation
2017-11-11,M01AE,XGBoost,3.0,4.357372,Validation
2017-07-10,M01AE,XGBoost,4.353,3.7056339,Validation
2019-05-29,M01AE,XGBoost,2.34,3.4840806,Validation
2019-04-19,M01AE,XGBoost,2.743,3.6507034,Validation
2016-10-12,M01AE,XGBoost,2.373,3.7294421,Validation
2018-09-23,M01AE,XGBoost,9.439,3.8827798,Validation
2014-07-29,M01AE,XGBoost,0.68,3.6206737,Validation
2015-07-12,M01AE,XGBoost,5.33,3.835606,Validation
2017-03-01,M01AE,XGBoost,4.66,3.8636534,Validation
2017-10-26,M01AE,XGBoost,1.099,3.6165674,Validation
2014-03-04,M01AE,XGBoost,7.02,3.5955822,Validation
2015-09-22,M01AE,XGBoost,1.33,3.8435504,Validation
2016-03-02,M01AE,XGBoost,10.396,4.099274,Validation
2016-07-18,M01AE,XGBoost,2.497,4.202202,Validation
2019-01-08,M01AE,XGBoost,3.32,3.8332815,Validation
2016-11-17,M01AE,XGBoost,2.726,3.753245,Validation
2019-04-09,M01AE,XGBoost,2.0,3.7815483,Validation
2017-11-21,M01AE,XGBoost,0.68,4.1104746,Validation
2018-07-14,M01AE,XGBoost,3.2,4.383764,Validation
2019-05-25,M01AE,XGBoost,3.34,3.881425,Validation
2018-04-17,M01AE,XGBoost,1.406,3.5866983,Validation
2019-04-08,M01AE,XGBoost,4.35,3.7291236,Validation
2016-10-11,M01AE,XGBoost,2.406,3.9319577,Validation
2016-12-21,M01AE,XGBoost,2.812,3.5329707,Validation
2016-11-20,M01AE,XGBoost,4.34,4.983396,Validation
2014-12-27,M01AE,XGBoost,5.34,3.8157785,Validation
2015-11-06,M01AE,XGBoost,6.736,3.7608688,Validation
2016-02-01,M01AE,XGBoost,5.0,4.466348,Validation
