Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,M01AE,XGBoost,3.406,3.2440972,Train
2014-01-25,M01AE,XGBoost,9.0,4.745206,Train
2015-10-05,M01AE,XGBoost,2.373,3.7700126,Train
2015-07-31,M01AE,XGBoost,9.0,3.7898145,Train
2015-09-09,M01AE,XGBoost,3.0,4.0354166,Train
2014-01-19,M01AE,XGBoost,4.0,3.1989763,Train
2016-03-27,M01AE,XGBoost,5.449,4.804416,Train
2016-08-16,M01AE,XGBoost,4.66,3.8380978,Train
2018-12-16,M01AE,XGBoost,4.32,4.722998,Train
2014-12-09,M01AE,XGBoost,2.34,3.6153,Train
2017-09-16,M01AE,XGBoost,3.0,4.131815,Train
2019-02-14,M01AE,XGBoost,6.517,4.640417,Train
2015-02-15,M01AE,XGBoost,2.33,4.8558235,Train
2015-04-16,M01AE,XGBoost,1.0,3.4395993,Train
2016-11-30,M01AE,XGBoost,2.99,3.7548435,Train
2017-12-18,M01AE,XGBoost,4.67,3.5497024,Train
2016-12-16,M01AE,XGBoost,6.32,3.7726536,Train
2018-06-03,M01AE,XGBoost,2.746,4.138661,Train
2014-04-06,M01AE,XGBoost,1.0,2.8300545,Train
2018-09-11,M01AE,XGBoost,2.726,3.449443,Train
2016-06-10,M01AE,XGBoost,4.0,3.6274765,Train
2019-05-18,M01AE,XGBoost,0.34,3.6036675,Train
2019-01-19,M01AE,XGBoost,8.391,6.2545147,Train
2019-01-15,M01AE,XGBoost,4.33,4.8914876,Train
2017-02-18,M01AE,XGBoost,4.0,4.5990634,Train
2019-01-16,M01AE,XGBoost,5.066,5.1927977,Train
2019-08-16,M01AE,XGBoost,2.68,3.5286503,Train
2019-06-08,M01AE,XGBoost,3.66,3.370542,Train
2016-01-31,M01AE,XGBoost,5.143,5.4115953,Train
2015-11-11,M01AE,XGBoost,5.34,4.102748,Train
2016-11-13,M01AE,XGBoost,11.32,5.0101743,Train
2019-04-12,M01AE,XGBoost,4.373,3.5494354,Train
2016-02-16,M01AE,XGBoost,2.32,4.434804,Train
2014-06-05,M01AE,XGBoost,4.68,3.4215162,Train
2014-06-15,M01AE,XGBoost,2.0,3.058799,Train
2018-04-01,M01AE,XGBoost,3.34,4.2262735,Train
2019-08-24,M01AE,XGBoost,6.02,3.989088,Train
2019-02-27,M01AE,XGBoost,0.67,3.5031219,Train
2016-08-17,M01AE,XGBoost,2.01,3.7119818,Train
2017-05-08,M01AE,XGBoost,3.66,3.5481873,Train
2016-10-01,M01AE,XGBoost,7.65,4.1684875,Train
2016-12-23,M01AE,XGBoost,4.67,3.8486397,Train
2018-12-25,M01AE,XGBoost,6.076,3.50824,Train
2017-06-05,M01AE,XGBoost,5.99,3.3899012,Train
2016-12-20,M01AE,XGBoost,3.66,3.786628,Train
2016-03-18,M01AE,XGBoost,5.353,4.458255,Train
2018-01-05,M01AE,XGBoost,6.825,3.874349,Train
2017-03-10,M01AE,XGBoost,4.33,3.2980542,Train
2015-03-31,M01AE,XGBoost,2.0,3.8571548,Train
2015-11-13,M01AE,XGBoost,2.44,4.173688,Train
2014-04-13,M01AE,XGBoost,2.0,2.644396,Train
2014-11-25,M01AE,XGBoost,1.68,3.5146933,Train
2014-08-05,M01AE,XGBoost,1.34,3.554568,Train
2016-07-03,M01AE,XGBoost,4.165,4.583294,Train
2014-08-10,M01AE,XGBoost,0.34,2.812287,Train
2019-05-13,M01AE,XGBoost,4.527,3.4937642,Train
2017-08-19,M01AE,XGBoost,4.713,3.9222417,Train
2017-09-02,M01AE,XGBoost,2.13,3.8100855,Train
2017-02-04,M01AE,XGBoost,4.166666667,5.494946,Train
2015-02-12,M01AE,XGBoost,4.0,4.550869,Train
2017-03-08,M01AE,XGBoost,2.34,3.6397798,Train
2018-09-20,M01AE,XGBoost,4.067,3.3897297,Train
2016-01-27,M01AE,XGBoost,4.429,4.120568,Train
2018-01-17,M01AE,XGBoost,2.85,3.617454,Train
2014-07-10,M01AE,XGBoost,4.66,3.538731,Train
2016-08-01,M01AE,XGBoost,1.396,3.75212,Train
2019-06-22,M01AE,XGBoost,4.0,3.8922038,Train
2018-04-28,M01AE,XGBoost,2.0,3.8909028,Train
2015-02-21,M01AE,XGBoost,5.347,4.286617,Train
