Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,N02BA,KNN,1.0,1.0,Train
2014-01-25,N02BA,KNN,5.0,5.0,Train
2015-10-05,N02BA,KNN,2.2,2.2,Train
2015-07-31,N02BA,KNN,6.2,6.2,Train
2015-09-09,N02BA,KNN,1.0,1.0,Train
2014-01-19,N02BA,KNN,4.0,4.0,Train
2016-03-27,N02BA,KNN,13.7,13.7,Train
2016-08-16,N02BA,KNN,3.0,3.0,Train
2018-12-16,N02BA,KNN,0.2,0.2,Train
2014-12-09,N02BA,KNN,7.0,7.0,Train
2017-09-16,N02BA,KNN,3.45,3.45,Train
2019-02-14,N02BA,KNN,3.15,3.15,Train
2015-02-15,N02BA,KNN,4.3,4.3,Train
2015-04-16,N02BA,KNN,7.2,7.2,Train
2016-11-30,N02BA,KNN,4.3,4.3,Train
2017-12-18,N02BA,KNN,6.0,6.0,Train
2016-12-16,N02BA,KNN,2.2,2.2,Train
2018-06-03,N02BA,KNN,1.0,1.0,Train
2014-04-06,N02BA,KNN,1.0,1.0,Train
2018-09-11,N02BA,KNN,3.0,3.0,Train
2016-06-10,N02BA,KNN,4.0,4.0,Train
2019-05-18,N02BA,KNN,5.1,5.1,Train
2019-01-19,N02BA,KNN,5.5,5.5,Train
2019-01-15,N02BA,KNN,3.65,3.65,Train
2017-02-18,N02BA,KNN,2.35,2.35,Train
2019-01-16,N02BA,KNN,6.0,6.0,Train
2019-08-16,N02BA,KNN,2.0,2.0,Train
2019-06-08,N02BA,KNN,1.0,1.0,Train
2016-01-31,N02BA,KNN,3.8,3.8,Train
2015-11-11,N02BA,KNN,7.2,7.2,Train
2016-11-13,N02BA,KNN,3.6,3.6,Train
2019-04-12,N02BA,KNN,4.1,4.1,Train
2016-02-16,N02BA,KNN,3.0,3.0,Train
2014-06-05,N02BA,KNN,4.5,4.5,Train
2014-06-15,N02BA,KNN,0.0,0.0,Train
2018-04-01,N02BA,KNN,0.0,0.0,Train
2019-08-24,N02BA,KNN,3.0,3.0,Train
2019-02-27,N02BA,KNN,1.2,1.2,Train
2016-08-17,N02BA,KNN,4.0,4.0,Train
2017-05-08,N02BA,KNN,1.0,1.0,Train
2016-10-01,N02BA,KNN,1.2,1.2,Train
2016-12-23,N02BA,KNN,1.15,1.15,Train
2018-12-25,N02BA,KNN,5.1,5.1,Train
2017-06-05,N02BA,KNN,4.5,4.5,Train
2016-12-20,N02BA,KNN,4.0,4.0,Train
2016-03-18,N02BA,KNN,5.2,5.2,Train
2018-01-05,N02BA,KNN,3.0,3.0,Train
2017-03-10,N02BA,KNN,4.6,4.6,Train
2015-03-31,N02BA,KNN,11.2,11.2,Train
2015-11-13,N02BA,KNN,2.0,2.0,Train
2014-04-13,N02BA,KNN,2.0,2.0,Train
2014-11-25,N02BA,KNN,2.0,2.0,Train
2014-08-05,N02BA,KNN,3.0,3.0,Train
2016-07-03,N02BA,KNN,5.4,5.4,Train
2014-08-10,N02BA,KNN,4.0,4.0,Train
2019-05-13,N02BA,KNN,2.0,2.0,Train
2017-08-19,N02BA,KNN,3.0,3.0,Train
2017-09-02,N02BA,KNN,6.0,6.0,Train
2017-02-04,N02BA,KNN,4.416666667,4.416666667,Train
2015-02-12,N02BA,KNN,6.0,6.0,Train
2017-03-08,N02BA,KNN,0.0,0.0,Train
2018-09-20,N02BA,KNN,2.0,2.0,Train
2016-01-27,N02BA,KNN,3.4,3.4,Train
2018-01-17,N02BA,KNN,2.0,2.0,Train
2014-07-10,N02BA,KNN,8.0,8.0,Train
2016-08-01,N02BA,KNN,5.0,5.0,Train
2019-06-22,N02BA,KNN,0.0,0.0,Train
2018-04-28,N02BA,KNN,2.05,2.05,Train
2015-02-21,N02BA,KNN,4.8,4.8,Train
2018-10-29,N02BA,KNN,2.35,2.35,Train
2018-05-25,N02BA,KNN,2.0,2.0,Train
2018-03-11,N02BA,KNN,5.6,5.6,Train
2018-12-21,N02BA,KNN,0.0,0.0,Train
2014-05-19,N02BA,KNN,6.1,6.1,Train
2017-08-25,N02BA,KNN,1.0,1.0,Train
2017-05-28,N02BA,KNN,2.45,2.45,Train
2016-09-22,N02BA,KNN,2.1,2.1,Train
2014-01-30,N02BA,KNN,2.4,2.4,Train
2018-08-26,N02BA,KNN,4.0,4.0,Train
2017-04-23,N02BA,KNN,3.6,3.6,Train
2019-03-11,N02BA,KNN,2.5,2.5,Train
2014-05-16,N02BA,KNN,3.0,3.0,Train
2017-04-20,N02BA,KNN,5.0,5.0,Train
2019-06-13,N02BA,KNN,0.25,0.25,Train
2017-02-11,N02BA,KNN,5.1,5.1,Train
2016-04-27,N02BA,KNN,7.0,7.0,Train
2016-06-07,N02BA,KNN,4.1,4.1,Train
2019-09-15,N02BA,KNN,2.0,2.0,Train
2018-08-07,N02BA,KNN,8.0,8.0,Train
2017-05-10,N02BA,KNN,9.0,9.0,Train
2018-10-13,N02BA,KNN,3.25,3.25,Train
2016-12-03,N02BA,KNN,3.0,3.0,Train
2017-08-17,N02BA,KNN,5.0,5.0,Train
2015-06-19,N02BA,KNN,3.1,3.1,Train
2017-10-28,N02BA,KNN,4.0,4.0,Train
2014-08-26,N02BA,KNN,3.0,3.0,Train
2018-03-21,N02BA,KNN,2.0,2.0,Train
2015-08-21,N02BA,KNN,3.0,3.0,Train
2014-01-31,N02BA,KNN,7.1,7.1,Train
2017-01-25,N02BA,KNN,7.666666667,7.666666667,Train
2018-05-31,N02BA,KNN,1.35,1.35,Train
2017-12-27,N02BA,KNN,5.15,5.15,Train
2017-02-21,N02BA,KNN,4.0,4.0,Train
2016-01-10,N02BA,KNN,12.0,12.0,Train
2017-10-24,N02BA,KNN,10.0,10.0,Train
2017-09-22,N02BA,KNN,3.0,3.0,Train
2017-06-12,N02BA,KNN,1.0,1.0,Train
2017-05-16,N02BA,KNN,1.5,1.5,Train
2018-07-01,N02BA,KNN,1.0,1.0,Train
2018-11-24,N02BA,KNN,5.0,5.0,Train
2017-05-05,N02BA,KNN,1.15,1.15,Train
2016-03-14,N02BA,KNN,10.0,10.0,Train
2019-05-28,N02BA,KNN,6.3,6.3,Train
2018-03-07,N02BA,KNN,4.0,4.0,Train
2015-01-20,N02BA,KNN,6.0,6.0,Train
2017-01-18,N02BA,KNN,6.5,6.5,Train
2015-08-14,N02BA,KNN,4.0,4.0,Train
2014-07-13,N02BA,KNN,1.0,1.0,Train
2014-07-07,N02BA,KNN,4.0,4.0,Train
2018-01-14,N02BA,KNN,1.2,1.2,Train
2016-01-11,N02BA,KNN,7.0,7.0,Train
2016-12-25,N02BA,KNN,5.7,5.7,Train
2018-05-14,N02BA,KNN,1.0,1.0,Train
2015-04-06,N02BA,KNN,5.3,5.3,Train
2015-07-29,N02BA,KNN,4.0,4.0,Train
2019-04-14,N02BA,KNN,1.0,1.0,Train
2014-10-16,N02BA,KNN,2.9375,2.9375,Train
