Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2016-12-08,N02BA,RandomForest,5.0,4.221512597427516,Validation
2016-10-09,N02BA,RandomForest,5.5,3.9037636951640455,Validation
2016-09-25,N02BA,RandomForest,3.0,4.289199222561201,Validation
2019-05-07,N02BA,RandomForest,1.0,3.073306307778056,Validation
2019-01-31,N02BA,RandomForest,2.0,3.677361636356453,Validation
2015-01-29,N02BA,RandomForest,8.7,4.871810241299535,Validation
2016-02-17,N02BA,RandomForest,4.0,4.860376401094768,Validation
2015-03-22,N02BA,RandomForest,2.0,4.619891917935799,Validation
2016-04-03,N02BA,RandomForest,5.3,4.359421988315429,Validation
2017-12-30,N02BA,RandomForest,4.0,3.0446552869397263,Validation
2019-01-07,N02BA,RandomForest,0.0,3.615753526735341,Validation
2017-06-27,N02BA,RandomForest,6.0,3.1366903360900897,Validation
2017-05-25,N02BA,RandomForest,2.0,3.0474813237935052,Validation
2019-08-20,N02BA,RandomForest,2.0,2.9925593785801787,Validation
2018-10-27,N02BA,RandomForest,2.2,3.0278762714803658,Validation
2017-08-02,N02BA,RandomForest,1.0,2.9503663312095063,Validation
2016-03-31,N02BA,RandomForest,2.9,4.415878165048687,Validation
2018-02-23,N02BA,RandomForest,1.0,3.7371629400653394,Validation
2017-06-30,N02BA,RandomForest,2.0,3.2655804384463036,Validation
2014-08-11,N02BA,RandomForest,9.2,4.111837376679944,Validation
2017-08-08,N02BA,RandomForest,2.1,2.981781426602174,Validation
2015-08-18,N02BA,RandomForest,3.0,4.257554300753454,Validation
2015-06-09,N02BA,RandomForest,4.0,4.440476403495191,Validation
2014-05-21,N02BA,RandomForest,9.5,3.9899207289911702,Validation
2016-03-20,N02BA,RandomForest,2.2,4.338381496536177,Validation
2019-09-25,N02BA,RandomForest,4.2,2.8980544099903702,Validation
2018-11-28,N02BA,RandomForest,1.0,2.9507674138835336,Validation
2015-01-04,N02BA,RandomForest,3.5,4.943128186032876,Validation
2017-07-29,N02BA,RandomForest,2.0,2.907879111397659,Validation
2018-04-05,N02BA,RandomForest,5.4,3.1165667038564133,Validation
2014-11-19,N02BA,RandomForest,10.0,3.8854612054819757,Validation
2014-09-04,N02BA,RandomForest,3.0,4.32030315107464,Validation
2015-12-03,N02BA,RandomForest,5.6,4.031542444260773,Validation
2014-03-10,N02BA,RandomForest,3.8,4.5804502431003264,Validation
2017-12-05,N02BA,RandomForest,4.05,3.0232727066010523,Validation
2016-12-01,N02BA,RandomForest,1.5,4.362072102291083,Validation
2015-05-26,N02BA,RandomForest,4.5,4.1839914001466765,Validation
2019-07-26,N02BA,RandomForest,0.1,2.9765154359090142,Validation
2018-09-27,N02BA,RandomForest,4.6,3.00267889764707,Validation
2019-09-24,N02BA,RandomForest,6.0,2.9028323406525467,Validation
2017-10-05,N02BA,RandomForest,5.0,3.005725381833508,Validation
2018-06-30,N02BA,RandomForest,7.0,3.0201709665400847,Validation
2018-10-07,N02BA,RandomForest,2.0,2.9211870830697215,Validation
2019-06-09,N02BA,RandomForest,8.0,3.0369286376357816,Validation
2015-01-07,N02BA,RandomForest,0.0,5.038241281270214,Validation
2016-02-22,N02BA,RandomForest,3.0,5.088229978805,Validation
2018-01-25,N02BA,RandomForest,4.2,3.6956308949361536,Validation
2015-09-07,N02BA,RandomForest,2.5,4.260741655351292,Validation
2018-10-03,N02BA,RandomForest,3.0,2.836746508669118,Validation
2019-08-18,N02BA,RandomForest,1.0,2.90655581108035,Validation
2018-03-03,N02BA,RandomForest,8.15,3.348440847845183,Validation
2018-07-19,N02BA,RandomForest,3.0,2.915993178969116,Validation
2016-02-21,N02BA,RandomForest,0.0,4.894541156489329,Validation
2015-08-05,N02BA,RandomForest,4.2,4.092900218177218,Validation
2018-09-12,N02BA,RandomForest,2.0,2.887909219421756,Validation
2016-11-06,N02BA,RandomForest,3.0,4.250944558488722,Validation
2015-07-22,N02BA,RandomForest,5.0,4.385956560712839,Validation
2018-09-06,N02BA,RandomForest,3.0,2.926607817117661,Validation
2018-06-25,N02BA,RandomForest,0.0,3.0231045830646135,Validation
2016-03-16,N02BA,RandomForest,5.7,4.5268058241770435,Validation
2014-07-15,N02BA,RandomForest,1.0,4.118466400572583,Validation
2016-05-24,N02BA,RandomForest,4.0,3.9368747399114836,Validation
2018-07-31,N02BA,RandomForest,3.0,2.9485620630334015,Validation
2014-11-08,N02BA,RandomForest,6.0,4.205171569846612,Validation
2018-12-27,N02BA,RandomForest,3.05,2.966410283688685,Validation
2017-11-01,N02BA,RandomForest,2.0,2.868117807433715,Validation
2017-11-11,N02BA,RandomForest,4.1,2.9172892807830326,Validation
2017-07-10,N02BA,RandomForest,4.0,3.033989212511227,Validation
2019-05-29,N02BA,RandomForest,4.05,2.931247691414149,Validation
2019-04-19,N02BA,RandomForest,1.5,2.9833909844238438,Validation
2016-10-12,N02BA,RandomForest,2.0,4.096500322434773,Validation
2018-09-23,N02BA,RandomForest,3.25,2.9095586977571695,Validation
2014-07-29,N02BA,RandomForest,1.0,4.130279637043744,Validation
2015-07-12,N02BA,RandomForest,5.0,4.264127044794181,Validation
2017-03-01,N02BA,RandomForest,5.0,4.319059148373938,Validation
2017-10-26,N02BA,RandomForest,2.0,3.011571919529501,Validation
2014-03-04,N02BA,RandomForest,7.2,4.690712454508027,Validation
2015-09-22,N02BA,RandomForest,4.0,4.140267137664749,Validation
2016-03-02,N02BA,RandomForest,5.3,4.428072058918999,Validation
2016-07-18,N02BA,RandomForest,8.0,4.364084289834873,Validation
