Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,N02BA,RandomForest,1.0,3.1857704150109107,Train
2014-01-25,N02BA,RandomForest,5.0,5.034374810116557,Train
2015-10-05,N02BA,RandomForest,2.2,4.217582933504669,Train
2015-07-31,N02BA,RandomForest,6.2,4.191590286049656,Train
2015-09-09,N02BA,RandomForest,1.0,4.151724011575499,Train
2014-01-19,N02BA,RandomForest,4.0,4.850304236431235,Train
2016-03-27,N02BA,RandomForest,13.7,4.521646637495501,Train
2016-08-16,N02BA,RandomForest,3.0,4.136068907874254,Train
2018-12-16,N02BA,RandomForest,0.2,2.85944583886817,Train
2014-12-09,N02BA,RandomForest,7.0,4.327755867763051,Train
2017-09-16,N02BA,RandomForest,3.45,3.0117241473277034,Train
2019-02-14,N02BA,RandomForest,3.15,3.3978798222849345,Train
2015-02-15,N02BA,RandomForest,4.3,4.747552274635694,Train
2015-04-16,N02BA,RandomForest,7.2,4.026531947366925,Train
2016-11-30,N02BA,RandomForest,4.3,4.168382822780837,Train
2017-12-18,N02BA,RandomForest,6.0,2.900045870181714,Train
2016-12-16,N02BA,RandomForest,2.2,4.045293827898597,Train
2018-06-03,N02BA,RandomForest,1.0,2.8740456596873747,Train
2014-04-06,N02BA,RandomForest,1.0,4.183714946092449,Train
2018-09-11,N02BA,RandomForest,3.0,3.0920562198671973,Train
2016-06-10,N02BA,RandomForest,4.0,4.122551266687221,Train
2019-05-18,N02BA,RandomForest,5.1,2.9206875436319986,Train
2019-01-19,N02BA,RandomForest,5.5,3.8100098820657804,Train
2019-01-15,N02BA,RandomForest,3.65,3.49551746692598,Train
2017-02-18,N02BA,RandomForest,2.35,3.543247532826349,Train
2019-01-16,N02BA,RandomForest,6.0,3.633489564888676,Train
2019-08-16,N02BA,RandomForest,2.0,2.912552900101141,Train
2019-06-08,N02BA,RandomForest,1.0,2.906648682111723,Train
2016-01-31,N02BA,RandomForest,3.8,4.68247570493415,Train
2015-11-11,N02BA,RandomForest,7.2,4.041707918006456,Train
2016-11-13,N02BA,RandomForest,3.6,3.7931907749117695,Train
2019-04-12,N02BA,RandomForest,4.1,2.9241253844826276,Train
2016-02-16,N02BA,RandomForest,3.0,5.1120051824550305,Train
2014-06-05,N02BA,RandomForest,4.5,4.1344304021794915,Train
2014-06-15,N02BA,RandomForest,0.0,4.167034915484816,Train
2018-04-01,N02BA,RandomForest,0.0,2.993812992331925,Train
2019-08-24,N02BA,RandomForest,3.0,3.0022269201014073,Train
2019-02-27,N02BA,RandomForest,1.2,3.6072390519036595,Train
2016-08-17,N02BA,RandomForest,4.0,4.230862203730007,Train
2017-05-08,N02BA,RandomForest,1.0,2.9904320260051462,Train
2016-10-01,N02BA,RandomForest,1.2,4.181163609120395,Train
2016-12-23,N02BA,RandomForest,1.15,4.256215655399322,Train
2018-12-25,N02BA,RandomForest,5.1,3.078028266173407,Train
2017-06-05,N02BA,RandomForest,4.5,3.0005822539289126,Train
2016-12-20,N02BA,RandomForest,4.0,4.2293465265850845,Train
2016-03-18,N02BA,RandomForest,5.2,4.608070122280788,Train
2018-01-05,N02BA,RandomForest,3.0,3.339578831029563,Train
2017-03-10,N02BA,RandomForest,4.6,3.190993517692342,Train
2015-03-31,N02BA,RandomForest,11.2,4.901095948971574,Train
2015-11-13,N02BA,RandomForest,2.0,3.8545389422404406,Train
2014-04-13,N02BA,RandomForest,2.0,4.2193338673392535,Train
2014-11-25,N02BA,RandomForest,2.0,4.14484901030284,Train
2014-08-05,N02BA,RandomForest,3.0,4.08219670962543,Train
2016-07-03,N02BA,RandomForest,5.4,4.0941359654369265,Train
2014-08-10,N02BA,RandomForest,4.0,4.071332546836906,Train
2019-05-13,N02BA,RandomForest,2.0,3.0601542587282724,Train
2017-08-19,N02BA,RandomForest,3.0,3.0117241473277034,Train
2017-09-02,N02BA,RandomForest,6.0,3.0187248933237503,Train
2017-02-04,N02BA,RandomForest,4.416666667,4.901503460271189,Train
2015-02-12,N02BA,RandomForest,6.0,4.7785850853934475,Train
2017-03-08,N02BA,RandomForest,0.0,3.0955783709445317,Train
2018-09-20,N02BA,RandomForest,2.0,2.9963954596162794,Train
2016-01-27,N02BA,RandomForest,3.4,5.149376643373126,Train
2018-01-17,N02BA,RandomForest,2.0,3.6087290837315016,Train
2014-07-10,N02BA,RandomForest,8.0,4.10251333128019,Train
2016-08-01,N02BA,RandomForest,5.0,4.106292957949767,Train
2019-06-22,N02BA,RandomForest,0.0,2.883231268949157,Train
2018-04-28,N02BA,RandomForest,2.05,3.0694551585325254,Train
2015-02-21,N02BA,RandomForest,4.8,4.9977181075669534,Train
2018-10-29,N02BA,RandomForest,2.35,3.021443949426254,Train
2018-05-25,N02BA,RandomForest,2.0,2.835278313141877,Train
2018-03-11,N02BA,RandomForest,5.6,3.0974876648244773,Train
2018-12-21,N02BA,RandomForest,0.0,2.9090708586650162,Train
2014-05-19,N02BA,RandomForest,6.1,4.316019518769044,Train
2017-08-25,N02BA,RandomForest,1.0,2.981115455682625,Train
2017-05-28,N02BA,RandomForest,2.45,3.0079870324387734,Train
2016-09-22,N02BA,RandomForest,2.1,4.378474561835373,Train
2014-01-30,N02BA,RandomForest,2.4,4.868655198088954,Train
2018-08-26,N02BA,RandomForest,4.0,3.0124894936686837,Train
2017-04-23,N02BA,RandomForest,3.6,3.1008077260677456,Train
2019-03-11,N02BA,RandomForest,2.5,3.0763411952852104,Train
2014-05-16,N02BA,RandomForest,3.0,4.046662709904549,Train
2017-04-20,N02BA,RandomForest,5.0,3.0435807676494036,Train
2019-06-13,N02BA,RandomForest,0.25,2.8686682221348194,Train
2017-02-11,N02BA,RandomForest,5.1,3.742436709166097,Train
2016-04-27,N02BA,RandomForest,7.0,3.9344780523341507,Train
2016-06-07,N02BA,RandomForest,4.1,4.243285505616841,Train
2019-09-15,N02BA,RandomForest,2.0,2.942440603950503,Train
2018-08-07,N02BA,RandomForest,8.0,3.0685612081862295,Train
2017-05-10,N02BA,RandomForest,9.0,2.9526755885579896,Train
2018-10-13,N02BA,RandomForest,3.25,3.0323671338705642,Train
2016-12-03,N02BA,RandomForest,3.0,4.2994238646528675,Train
2017-08-17,N02BA,RandomForest,5.0,2.971733867886619,Train
2015-06-19,N02BA,RandomForest,3.1,3.78160687757159,Train
2017-10-28,N02BA,RandomForest,4.0,3.0679915328057463,Train
2014-08-26,N02BA,RandomForest,3.0,4.3300307437293375,Train
2018-03-21,N02BA,RandomForest,2.0,3.074183910325466,Train
2015-08-21,N02BA,RandomForest,3.0,4.087487354852273,Train
2014-01-31,N02BA,RandomForest,7.1,5.289272331520343,Train
2017-01-25,N02BA,RandomForest,7.666666667,5.636939663421216,Train
2018-05-31,N02BA,RandomForest,1.35,2.831527827098858,Train
2017-12-27,N02BA,RandomForest,5.15,2.9767171133812287,Train
2017-02-21,N02BA,RandomForest,4.0,3.7251326527911015,Train
2016-01-10,N02BA,RandomForest,12.0,4.992343736562658,Train
2017-10-24,N02BA,RandomForest,10.0,2.9687185202513406,Train
2017-09-22,N02BA,RandomForest,3.0,2.9644275249255814,Train
2017-06-12,N02BA,RandomForest,1.0,3.0670380706698737,Train
2017-05-16,N02BA,RandomForest,1.5,3.150154662930678,Train
2018-07-01,N02BA,RandomForest,1.0,2.943798680363702,Train
2018-11-24,N02BA,RandomForest,5.0,2.990699712440667,Train
2017-05-05,N02BA,RandomForest,1.15,2.880375018821861,Train
2016-03-14,N02BA,RandomForest,10.0,4.735044892232784,Train
2019-05-28,N02BA,RandomForest,6.3,2.9404784618530764,Train
2018-03-07,N02BA,RandomForest,4.0,4.1743142714672254,Train
2015-01-20,N02BA,RandomForest,6.0,5.189142327968951,Train
2017-01-18,N02BA,RandomForest,6.5,5.626817974025855,Train
2015-08-14,N02BA,RandomForest,4.0,3.857476923502913,Train
2014-07-13,N02BA,RandomForest,1.0,3.898704671372164,Train
2014-07-07,N02BA,RandomForest,4.0,4.040583135593075,Train
2018-01-14,N02BA,RandomForest,1.2,3.512938223504124,Train
2016-01-11,N02BA,RandomForest,7.0,5.22060965704003,Train
2016-12-25,N02BA,RandomForest,5.7,4.2266269847774005,Train
2018-05-14,N02BA,RandomForest,1.0,2.958721274534096,Train
2015-04-06,N02BA,RandomForest,5.3,4.25233306767538,Train
2015-07-29,N02BA,RandomForest,4.0,4.225122887056097,Train
2019-04-14,N02BA,RandomForest,1.0,2.9664870260948915,Train
2014-10-16,N02BA,RandomForest,2.9375,4.074265537850476,Train
2019-03-06,N02BA,RandomForest,0.7,3.045425738635698,Train
2015-06-04,N02BA,RandomForest,3.0,4.107679537300406,Train
2016-06-14,N02BA,RandomForest,6.1,4.364308588941273,Train
2016-11-10,N02BA,RandomForest,7.0,4.039203326235192,Train
2017-02-01,N02BA,RandomForest,6.041666667,5.023874074163741,Train
2017-10-03,N02BA,RandomForest,3.15,3.0384765682723502,Train
2018-02-11,N02BA,RandomForest,7.8,3.603833234851507,Train
2016-05-16,N02BA,RandomForest,2.0,4.254277203822351,Train
2015-04-02,N02BA,RandomForest,5.4,4.000003881922227,Train
2019-09-07,N02BA,RandomForest,2.0,2.9373276455977044,Train
2016-05-15,N02BA,RandomForest,1.2,3.833832192203994,Train
2015-02-20,N02BA,RandomForest,0.5,5.01993393426141,Train
2017-02-13,N02BA,RandomForest,0.0,4.268188404234891,Train
2014-02-09,N02BA,RandomForest,2.0,5.1257418068635525,Train
2015-08-24,N02BA,RandomForest,3.4,4.245300162176921,Train
2014-06-09,N02BA,RandomForest,5.0,4.184086469490838,Train
2017-07-31,N02BA,RandomForest,2.25,2.99574348926696,Train
2018-09-08,N02BA,RandomForest,6.1,3.0187053304555955,Train
2017-12-31,N02BA,RandomForest,5.3,3.0563196807733357,Train
2014-05-18,N02BA,RandomForest,5.0,4.095113064842094,Train
2019-09-20,N02BA,RandomForest,2.0,3.098917277567331,Train
2019-07-27,N02BA,RandomForest,1.0,2.999949659834061,Train
2015-07-28,N02BA,RandomForest,1.0,4.09356439688238,Train
2018-07-06,N02BA,RandomForest,1.25,2.936145486846215,Train
2014-09-07,N02BA,RandomForest,5.0,4.206898881043809,Train
2018-02-01,N02BA,RandomForest,6.0,3.6429255162579532,Train
2015-09-29,N02BA,RandomForest,1.0,4.310774687227751,Train
2017-08-11,N02BA,RandomForest,5.1,3.002915546806975,Train
2019-08-14,N02BA,RandomForest,3.1,2.9223636767985814,Train
2017-04-14,N02BA,RandomForest,5.0,3.053010933719031,Train
2015-02-17,N02BA,RandomForest,4.0,5.180490238156632,Train
2019-05-19,N02BA,RandomForest,4.0,2.920852207124607,Train
2014-03-11,N02BA,RandomForest,7.0,4.782730046372722,Train
2016-08-30,N02BA,RandomForest,2.0,4.256701451021832,Train
2016-08-24,N02BA,RandomForest,8.0,4.2012379511586815,Train
2015-11-25,N02BA,RandomForest,3.2,4.219073319212324,Train
2017-07-13,N02BA,RandomForest,2.15,2.95381278462676,Train
2015-02-16,N02BA,RandomForest,4.0,4.98855293962118,Train
2015-04-19,N02BA,RandomForest,3.8,4.221131316979012,Train
2014-05-30,N02BA,RandomForest,2.0,4.024510228314583,Train
2016-10-07,N02BA,RandomForest,6.0,4.0268061723047195,Train
2018-05-12,N02BA,RandomForest,5.15,3.1091320960809803,Train
2016-02-10,N02BA,RandomForest,7.2,4.969677282536672,Train
2017-03-12,N02BA,RandomForest,2.0,3.3265416348680983,Train
2014-12-31,N02BA,RandomForest,2.5,4.171159297607913,Train
2015-01-06,N02BA,RandomForest,7.3,5.17730698921999,Train
2016-03-19,N02BA,RandomForest,2.8,4.421381818404438,Train
2017-03-11,N02BA,RandomForest,6.0,3.139504348071792,Train
2014-05-31,N02BA,RandomForest,2.0,4.307758843115621,Train
2014-02-08,N02BA,RandomForest,14.4,5.2168482583317655,Train
2016-01-28,N02BA,RandomForest,4.4,4.726877795851291,Train
2015-07-20,N02BA,RandomForest,5.0,4.4465907830215885,Train
2014-06-25,N02BA,RandomForest,7.0,4.201375497167366,Train
2014-01-12,N02BA,RandomForest,2.5,5.225509262805047,Train
2015-03-06,N02BA,RandomForest,6.0,4.6126426223001395,Train
2019-03-12,N02BA,RandomForest,1.5,3.108744901961733,Train
2014-09-02,N02BA,RandomForest,5.2,4.185790472757507,Train
2019-10-05,N02BA,RandomForest,6.0,2.9490765332391726,Train
2015-02-03,N02BA,RandomForest,6.2,4.923880720717454,Train
2016-04-30,N02BA,RandomForest,7.0,4.306670800659351,Train
2019-04-29,N02BA,RandomForest,2.6,2.90052804118343,Train
2018-03-08,N02BA,RandomForest,4.0,4.020076095014374,Train
2015-02-19,N02BA,RandomForest,4.0,4.7777698109772135,Train
2014-09-21,N02BA,RandomForest,6.0,4.14102996125356,Train
2018-04-29,N02BA,RandomForest,6.0,2.9579307255931306,Train
2017-12-15,N02BA,RandomForest,2.5,2.9520030499881624,Train
2018-01-09,N02BA,RandomForest,5.0,3.597203390002438,Train
2016-10-08,N02BA,RandomForest,5.0,4.056340692425652,Train
2015-02-23,N02BA,RandomForest,7.5,5.053092325181961,Train
2015-06-11,N02BA,RandomForest,5.1,4.235549361621109,Train
2015-10-19,N02BA,RandomForest,3.0,4.097274841963135,Train
2017-08-22,N02BA,RandomForest,3.15,3.028993827705625,Train
2019-06-05,N02BA,RandomForest,2.1,2.9087140553749014,Train
2019-09-11,N02BA,RandomForest,3.0,2.9544883049551687,Train
2018-10-19,N02BA,RandomForest,0.0,2.8878998083638647,Train
2015-11-03,N02BA,RandomForest,4.3,4.0041721388984355,Train
2015-02-28,N02BA,RandomForest,1.6,4.940765349729969,Train
2017-08-27,N02BA,RandomForest,1.0,2.8587611622749995,Train
2017-10-17,N02BA,RandomForest,6.0,3.0381986787680813,Train
2014-12-21,N02BA,RandomForest,2.0,4.219592447947665,Train
2019-08-30,N02BA,RandomForest,2.0,2.901257865619948,Train
2015-04-28,N02BA,RandomForest,3.1,4.297676078198421,Train
2014-10-24,N02BA,RandomForest,6.3,4.150630147544376,Train
2014-10-20,N02BA,RandomForest,7.3,4.198941081514215,Train
2016-06-08,N02BA,RandomForest,5.5,4.158733839827978,Train
2018-09-07,N02BA,RandomForest,4.0,2.916845467592591,Train
2014-06-28,N02BA,RandomForest,5.0,3.7868474322241683,Train
2017-05-01,N02BA,RandomForest,1.0,2.9695692170356875,Train
2014-08-12,N02BA,RandomForest,4.5,3.8928725636349135,Train
2016-09-10,N02BA,RandomForest,10.0,4.479458421193028,Train
2014-02-24,N02BA,RandomForest,5.5,5.1175963081458455,Train
2014-09-28,N02BA,RandomForest,1.0,3.738289671037886,Train
2018-03-06,N02BA,RandomForest,5.85,4.142304606406058,Train
2015-06-16,N02BA,RandomForest,4.0,4.080452152038093,Train
2019-03-25,N02BA,RandomForest,6.0,3.103554609804445,Train
2016-07-21,N02BA,RandomForest,4.1,3.84098782870317,Train
2014-01-11,N02BA,RandomForest,10.4,5.148429692237477,Train
2014-11-06,N02BA,RandomForest,5.2,4.337704083519481,Train
2015-05-23,N02BA,RandomForest,5.0,4.426291290055208,Train
2016-08-19,N02BA,RandomForest,0.6,4.280141209269322,Train
2019-08-27,N02BA,RandomForest,3.0,3.032694480493589,Train
2014-09-14,N02BA,RandomForest,2.0,4.089897002787951,Train
2015-11-04,N02BA,RandomForest,3.0,4.075512850653711,Train
2019-08-08,N02BA,RandomForest,3.0,3.031863644193696,Train
2019-04-15,N02BA,RandomForest,5.3,3.072293651735467,Train
2018-02-12,N02BA,RandomForest,10.0,4.151914876598662,Train
2015-09-15,N02BA,RandomForest,4.2,4.078404144025072,Train
2015-10-20,N02BA,RandomForest,2.3,4.190106984237358,Train
2017-07-07,N02BA,RandomForest,4.1,3.0412295072798714,Train
2016-11-28,N02BA,RandomForest,2.05,4.125950279213766,Train
2019-05-10,N02BA,RandomForest,5.5,2.9031881173430425,Train
2017-11-15,N02BA,RandomForest,7.7,3.109044085515984,Train
2016-06-04,N02BA,RandomForest,3.3,4.368311392152168,Train
2016-11-02,N02BA,RandomForest,4.1,4.146458669136663,Train
2014-02-06,N02BA,RandomForest,3.5,4.967579525353778,Train
2017-09-09,N02BA,RandomForest,2.5,3.003102646689986,Train
2017-08-21,N02BA,RandomForest,2.4,2.9541318024369634,Train
2014-01-23,N02BA,RandomForest,5.2,4.922323585368206,Train
2014-02-14,N02BA,RandomForest,3.2,5.200942074549772,Train
2016-08-28,N02BA,RandomForest,6.2,4.199331531104917,Train
2016-09-29,N02BA,RandomForest,4.0,3.835430300845116,Train
2015-10-18,N02BA,RandomForest,4.9,4.005798468509097,Train
2016-10-22,N02BA,RandomForest,4.0,4.2034163398788245,Train
2019-03-09,N02BA,RandomForest,4.0,3.0600786393166435,Train
