Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2016-12-08,N02BA,XGBoost,5.0,4.1093326,Validation
2016-10-09,N02BA,XGBoost,5.5,3.7269967,Validation
2016-09-25,N02BA,XGBoost,3.0,4.388817,Validation
2019-05-07,N02BA,XGBoost,1.0,3.2609715,Validation
2019-01-31,N02BA,XGBoost,2.0,3.5224295,Validation
2015-01-29,N02BA,XGBoost,8.7,4.2854824,Validation
2016-02-17,N02BA,XGBoost,4.0,4.3931603,Validation
2015-03-22,N02BA,XGBoost,2.0,4.3846474,Validation
2016-04-03,N02BA,XGBoost,5.3,4.2837243,Validation
2017-12-30,N02BA,XGBoost,4.0,3.2937565,Validation
2019-01-07,N02BA,XGBoost,0.0,3.5089307,Validation
2017-06-27,N02BA,XGBoost,6.0,3.2627668,Validation
2017-05-25,N02BA,XGBoost,2.0,3.2184744,Validation
2019-08-20,N02BA,XGBoost,2.0,3.0856209,Validation
2018-10-27,N02BA,XGBoost,2.2,3.1266737,Validation
2017-08-02,N02BA,XGBoost,1.0,3.046809,Validation
2016-03-31,N02BA,XGBoost,2.9,4.1499968,Validation
2018-02-23,N02BA,XGBoost,1.0,3.9005055,Validation
2017-06-30,N02BA,XGBoost,2.0,3.3042753,Validation
2014-08-11,N02BA,XGBoost,9.2,4.064604,Validation
2017-08-08,N02BA,XGBoost,2.1,3.0934246,Validation
2015-08-18,N02BA,XGBoost,3.0,4.1594515,Validation
2015-06-09,N02BA,XGBoost,4.0,4.1758037,Validation
2014-05-21,N02BA,XGBoost,9.5,3.808962,Validation
2016-03-20,N02BA,XGBoost,2.2,4.2214704,Validation
2019-09-25,N02BA,XGBoost,4.2,3.1506383,Validation
2018-11-28,N02BA,XGBoost,1.0,3.0598757,Validation
2015-01-04,N02BA,XGBoost,3.5,4.8143525,Validation
2017-07-29,N02BA,XGBoost,2.0,2.994827,Validation
2018-04-05,N02BA,XGBoost,5.4,3.2223299,Validation
2014-11-19,N02BA,XGBoost,10.0,3.862534,Validation
2014-09-04,N02BA,XGBoost,3.0,4.1190176,Validation
2015-12-03,N02BA,XGBoost,5.6,3.935304,Validation
2014-03-10,N02BA,XGBoost,3.8,4.6584086,Validation
2017-12-05,N02BA,XGBoost,4.05,3.3816743,Validation
2016-12-01,N02BA,XGBoost,1.5,4.3286242,Validation
2015-05-26,N02BA,XGBoost,4.5,4.0051317,Validation
2019-07-26,N02BA,XGBoost,0.1,3.0496442,Validation
2018-09-27,N02BA,XGBoost,4.6,3.2043765,Validation
2019-09-24,N02BA,XGBoost,6.0,3.232971,Validation
2017-10-05,N02BA,XGBoost,5.0,3.2361956,Validation
2018-06-30,N02BA,XGBoost,7.0,3.1722033,Validation
2018-10-07,N02BA,XGBoost,2.0,3.0310836,Validation
2019-06-09,N02BA,XGBoost,8.0,3.0382013,Validation
2015-01-07,N02BA,XGBoost,0.0,4.989389,Validation
2016-02-22,N02BA,XGBoost,3.0,4.8611326,Validation
2018-01-25,N02BA,XGBoost,4.2,3.7796488,Validation
2015-09-07,N02BA,XGBoost,2.5,4.1098175,Validation
2018-10-03,N02BA,XGBoost,3.0,3.1163685,Validation
