Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,N02BA,XGBoost,1.0,3.3064814,Train
2014-01-25,N02BA,XGBoost,5.0,4.69176,Train
2015-10-05,N02BA,XGBoost,2.2,4.0219173,Train
2015-07-31,N02BA,XGBoost,6.2,4.2649817,Train
2015-09-09,N02BA,XGBoost,1.0,3.9042366,Train
2014-01-19,N02BA,XGBoost,4.0,4.2120533,Train
2016-03-27,N02BA,XGBoost,13.7,4.3234096,Train
2016-08-16,N02BA,XGBoost,3.0,4.0817485,Train
2018-12-16,N02BA,XGBoost,0.2,2.924915,Train
2014-12-09,N02BA,XGBoost,7.0,3.9399564,Train
2017-09-16,N02BA,XGBoost,3.45,3.317845,Train
2019-02-14,N02BA,XGBoost,3.15,3.6533227,Train
2015-02-15,N02BA,XGBoost,4.3,4.2193537,Train
2015-04-16,N02BA,XGBoost,7.2,4.024609,Train
2016-11-30,N02BA,XGBoost,4.3,3.8830287,Train
2017-12-18,N02BA,XGBoost,6.0,3.5420887,Train
2016-12-16,N02BA,XGBoost,2.2,3.8607588,Train
2018-06-03,N02BA,XGBoost,1.0,3.116236,Train
2014-04-06,N02BA,XGBoost,1.0,4.0523024,Train
2018-09-11,N02BA,XGBoost,3.0,3.2949936,Train
2016-06-10,N02BA,XGBoost,4.0,3.8299284,Train
2019-05-18,N02BA,XGBoost,5.1,3.3767898,Train
2019-01-19,N02BA,XGBoost,5.5,3.7912352,Train
2019-01-15,N02BA,XGBoost,3.65,3.711946,Train
2017-02-18,N02BA,XGBoost,2.35,3.6594489,Train
2019-01-16,N02BA,XGBoost,6.0,3.8335888,Train
2019-08-16,N02BA,XGBoost,2.0,3.101761,Train
2019-06-08,N02BA,XGBoost,1.0,3.408135,Train
2016-01-31,N02BA,XGBoost,3.8,4.2022743,Train
2015-11-11,N02BA,XGBoost,7.2,4.1694236,Train
2016-11-13,N02BA,XGBoost,3.6,3.8201003,Train
2019-04-12,N02BA,XGBoost,4.1,3.1096869,Train
2016-02-16,N02BA,XGBoost,3.0,4.5088563,Train
2014-06-05,N02BA,XGBoost,4.5,4.3203316,Train
2014-06-15,N02BA,XGBoost,0.0,3.7370253,Train
2018-04-01,N02BA,XGBoost,0.0,3.23366,Train
2019-08-24,N02BA,XGBoost,3.0,3.1314917,Train
2019-02-27,N02BA,XGBoost,1.2,3.7297623,Train
2016-08-17,N02BA,XGBoost,4.0,4.026219,Train
2017-05-08,N02BA,XGBoost,1.0,3.2303863,Train
2016-10-01,N02BA,XGBoost,1.2,4.069163,Train
2016-12-23,N02BA,XGBoost,1.15,3.8155315,Train
2018-12-25,N02BA,XGBoost,5.1,3.2759612,Train
2017-06-05,N02BA,XGBoost,4.5,3.3974926,Train
2016-12-20,N02BA,XGBoost,4.0,4.1160398,Train
2016-03-18,N02BA,XGBoost,5.2,4.225208,Train
2018-01-05,N02BA,XGBoost,3.0,3.530835,Train
2017-03-10,N02BA,XGBoost,4.6,3.5791707,Train
2015-03-31,N02BA,XGBoost,11.2,4.7501454,Train
2015-11-13,N02BA,XGBoost,2.0,4.0514207,Train
2014-04-13,N02BA,XGBoost,2.0,3.7825513,Train
2014-11-25,N02BA,XGBoost,2.0,4.0994177,Train
2014-08-05,N02BA,XGBoost,3.0,3.9522433,Train
2016-07-03,N02BA,XGBoost,5.4,3.973728,Train
2014-08-10,N02BA,XGBoost,4.0,3.7130606,Train
2019-05-13,N02BA,XGBoost,2.0,3.1813114,Train
2017-08-19,N02BA,XGBoost,3.0,3.3184588,Train
