Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,N02BE,KNN,16.2,21.5475,Train
2014-01-25,N02BE,KNN,37.8,30.029500000000002,Train
2015-10-05,N02BE,KNN,70.95,30.2231,Train
2015-07-31,N02BE,KNN,24.0,19.8745,Train
2015-09-09,N02BE,KNN,34.7,29.710599999999992,Train
2014-01-19,N02BE,KNN,14.1,26.756849999999996,Train
2016-03-27,N02BE,KNN,63.3,36.169349999999994,Train
2016-08-16,N02BE,KNN,14.45,25.511249999999997,Train
2018-12-16,N02BE,KNN,27.0,41.2081,Train
2014-12-09,N02BE,KNN,27.28,20.5296,Train
2017-09-16,N02BE,KNN,27.3,25.8839,Train
2019-02-14,N02BE,KNN,54.5,38.776,Train
2015-02-15,N02BE,KNN,38.0,31.1570333335,Train
2015-04-16,N02BE,KNN,30.6,30.019350000000003,Train
2016-11-30,N02BE,KNN,24.6,32.99625,Train
2017-12-18,N02BE,KNN,31.6,33.53750000000001,Train
2016-12-16,N02BE,KNN,39.775,31.948749999999997,Train
2018-06-03,N02BE,KNN,22.4,27.264499999999998,Train
2014-04-06,N02BE,KNN,19.0,17.10165,Train
2018-09-11,N02BE,KNN,50.6,35.665000000000006,Train
2016-06-10,N02BE,KNN,26.0,24.12,Train
2019-05-18,N02BE,KNN,14.0,19.630599999999998,Train
2019-01-19,N02BE,KNN,77.4,54.06020833350001,Train
2019-01-15,N02BE,KNN,30.4,42.384533333499995,Train
2017-02-18,N02BE,KNN,30.0,18.8625,Train
2019-01-16,N02BE,KNN,48.8,44.249375,Train
2019-08-16,N02BE,KNN,13.0,16.7,Train
2019-06-08,N02BE,KNN,22.4,26.5331,Train
2016-01-31,N02BE,KNN,78.9,46.5604166665,Train
2015-11-11,N02BE,KNN,60.0,48.9274999995,Train
2016-11-13,N02BE,KNN,60.2,35.23,Train
2019-04-12,N02BE,KNN,16.6,18.6193,Train
2016-02-16,N02BE,KNN,29.0,38.21143333249999,Train
2014-06-05,N02BE,KNN,22.5,26.63935,Train
2014-06-15,N02BE,KNN,8.0,16.0,Train
2018-04-01,N02BE,KNN,37.0,36.841875,Train
2019-08-24,N02BE,KNN,24.6,19.9775,Train
2019-02-27,N02BE,KNN,13.4,26.8875,Train
2016-08-17,N02BE,KNN,9.5,20.577499999999997,Train
2017-05-08,N02BE,KNN,8.0,15.8025,Train
2016-10-01,N02BE,KNN,54.038,50.248275,Train
2016-12-23,N02BE,KNN,32.0,29.984166666500006,Train
2018-12-25,N02BE,KNN,42.6,30.620000000000005,Train
2017-06-05,N02BE,KNN,9.7,23.8875,Train
2016-12-20,N02BE,KNN,46.0,35.797,Train
2016-03-18,N02BE,KNN,25.462,31.934516666500002,Train
2018-01-05,N02BE,KNN,26.0,35.8523083335,Train
2017-03-10,N02BE,KNN,26.3,18.035000000000004,Train
2015-03-31,N02BE,KNN,33.5,29.1262,Train
2015-11-13,N02BE,KNN,22.0,35.19545833350001,Train
2014-04-13,N02BE,KNN,6.0,19.665,Train
2014-11-25,N02BE,KNN,19.2,25.6946,Train
2014-08-05,N02BE,KNN,17.1,17.8962,Train
2016-07-03,N02BE,KNN,18.6,20.935000000000002,Train
2014-08-10,N02BE,KNN,3.0,17.9525,Train
2019-05-13,N02BE,KNN,26.2,19.819999999999997,Train
2017-08-19,N02BE,KNN,16.0,18.6631,Train
2017-09-02,N02BE,KNN,18.4,18.62625,Train
2017-02-04,N02BE,KNN,27.70833333,38.383125,Train
2015-02-12,N02BE,KNN,23.82,28.310999999999996,Train
2017-03-08,N02BE,KNN,15.2,20.828899999999997,Train
2018-09-20,N02BE,KNN,24.2,28.046250000000004,Train
2016-01-27,N02BE,KNN,30.062,30.258699999999997,Train
2018-01-17,N02BE,KNN,30.2,32.902750000000005,Train
2014-07-10,N02BE,KNN,21.2,16.64,Train
2016-08-01,N02BE,KNN,14.0,18.8768,Train
2019-06-22,N02BE,KNN,25.0,15.779999999999998,Train
2018-04-28,N02BE,KNN,27.25,35.008333333500005,Train
2015-02-21,N02BE,KNN,57.0,31.363100000000003,Train
2018-10-29,N02BE,KNN,32.8,36.6775,Train
2018-05-25,N02BE,KNN,16.4,22.0245,Train
2018-03-11,N02BE,KNN,68.0,33.3075,Train
2018-12-21,N02BE,KNN,35.0,24.2125,Train
2014-05-19,N02BE,KNN,12.8,21.541800000000002,Train
2017-08-25,N02BE,KNN,20.25,24.505000000000003,Train
2017-05-28,N02BE,KNN,11.19,23.5745,Train
2016-09-22,N02BE,KNN,29.4,34.973543750000005,Train
2014-01-30,N02BE,KNN,25.5,18.947499999999998,Train
2018-08-26,N02BE,KNN,57.0,32.385000000000005,Train
2017-04-23,N02BE,KNN,25.5,19.086,Train
2019-03-11,N02BE,KNN,26.4,37.582499999999996,Train
2014-05-16,N02BE,KNN,22.0,25.9589,Train
2017-04-20,N02BE,KNN,9.4,20.118100000000002,Train
2019-06-13,N02BE,KNN,19.4,19.089999999999996,Train
2017-02-11,N02BE,KNN,12.4,22.70125,Train
2016-04-27,N02BE,KNN,47.4,26.80775,Train
2016-06-07,N02BE,KNN,28.5,23.9331,Train
2019-09-15,N02BE,KNN,25.4,24.012499999999996,Train
2018-08-07,N02BE,KNN,15.0,16.16,Train
2017-05-10,N02BE,KNN,15.0,17.69,Train
2018-10-13,N02BE,KNN,29.6,37.714999999999996,Train
2016-12-03,N02BE,KNN,43.3,36.6360166665,Train
2017-08-17,N02BE,KNN,12.0,17.722500000000004,Train
2015-06-19,N02BE,KNN,24.0,22.71,Train
2017-10-28,N02BE,KNN,24.1,35.09250000000001,Train
2014-08-26,N02BE,KNN,31.0,16.738100000000003,Train
2018-03-21,N02BE,KNN,27.0,33.211,Train
2015-08-21,N02BE,KNN,34.0,24.982499999999995,Train
2014-01-31,N02BE,KNN,26.9,20.8525,Train
2017-01-25,N02BE,KNN,51.1875,37.321708333,Train
2018-05-31,N02BE,KNN,11.4,19.5625,Train
2017-12-27,N02BE,KNN,32.7,30.192500000000003,Train
2017-02-21,N02BE,KNN,22.9,19.11085,Train
2016-01-10,N02BE,KNN,67.6,52.49119999999999,Train
2017-10-24,N02BE,KNN,65.2,30.179350000000007,Train
2017-09-22,N02BE,KNN,27.5,27.56125,Train
2017-06-12,N02BE,KNN,13.6,16.499000000000002,Train
2017-05-16,N02BE,KNN,16.2,18.547499999999996,Train
2018-07-01,N02BE,KNN,22.0,22.7425,Train
2018-11-24,N02BE,KNN,29.2,31.415733333500004,Train
2017-05-05,N02BE,KNN,6.6,20.375,Train
2016-03-14,N02BE,KNN,35.9,31.697499999999998,Train
2019-05-28,N02BE,KNN,18.2,29.173750000000002,Train
2018-03-07,N02BE,KNN,20.2,35.03004375,Train
2015-01-20,N02BE,KNN,38.0,31.655,Train
2017-01-18,N02BE,KNN,45.95833333,43.1597916665,Train
2015-08-14,N02BE,KNN,16.7,22.735,Train
2014-07-13,N02BE,KNN,17.0,15.98,Train
2014-07-07,N02BE,KNN,13.0,15.020000000000001,Train
2018-01-14,N02BE,KNN,36.0,40.2638833335,Train
2016-01-11,N02BE,KNN,64.9,51.105000000000004,Train
2016-12-25,N02BE,KNN,79.8,49.7981,Train
2018-05-14,N02BE,KNN,20.0,20.3825,Train
2015-04-06,N02BE,KNN,32.9,32.38185,Train
2015-07-29,N02BE,KNN,21.378,24.99015,Train
2019-04-14,N02BE,KNN,23.0,20.0381,Train
2014-10-16,N02BE,KNN,58.921875,34.03704375,Train
2019-03-06,N02BE,KNN,31.0,23.9831,Train
2015-06-04,N02BE,KNN,20.0,23.578099999999996,Train
2016-06-14,N02BE,KNN,17.4,28.7656,Train
