Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2016-12-08,N02BE,RandomForest,35.7,41.572040300452706,Validation
2016-10-09,N02BE,RandomForest,88.4,56.38621661548125,Validation
2016-09-25,N02BE,RandomForest,61.125,35.89325653947863,Validation
2019-05-07,N02BE,RandomForest,33.4,21.83863771735198,Validation
2019-01-31,N02BE,RandomForest,62.2,45.88317165302746,Validation
2015-01-29,N02BE,RandomForest,24.4,32.41140275691976,Validation
2016-02-17,N02BE,RandomForest,26.6,36.20946720365008,Validation
2015-03-22,N02BE,RandomForest,43.2,37.74394055697338,Validation
2016-04-03,N02BE,RandomForest,73.5,39.45957932580885,Validation
2017-12-30,N02BE,RandomForest,50.0,36.39607024209716,Validation
2019-01-07,N02BE,RandomForest,0.0,35.45527583850541,Validation
2017-06-27,N02BE,RandomForest,13.5,19.0054665471546,Validation
2017-05-25,N02BE,RandomForest,18.2,21.599469277225797,Validation
2019-08-20,N02BE,RandomForest,13.4,18.183956517379794,Validation
2018-10-27,N02BE,RandomForest,49.975,40.64707066073184,Validation
2017-08-02,N02BE,RandomForest,25.0,18.326783754815448,Validation
2016-03-31,N02BE,RandomForest,31.25,33.67757780333137,Validation
2018-02-23,N02BE,RandomForest,34.2,36.659015741484986,Validation
2017-06-30,N02BE,RandomForest,18.0,18.912371150813204,Validation
2014-08-11,N02BE,RandomForest,20.0,19.1209734349956,Validation
2017-08-08,N02BE,RandomForest,11.188,18.219002060970645,Validation
2015-08-18,N02BE,RandomForest,24.0,25.14264844110969,Validation
2015-06-09,N02BE,RandomForest,26.6,21.41164844556165,Validation
2014-05-21,N02BE,RandomForest,15.4,21.316720840537634,Validation
2016-03-20,N02BE,RandomForest,42.2,39.08141185212873,Validation
2019-09-25,N02BE,RandomForest,32.5,41.88860341084948,Validation
2018-11-28,N02BE,RandomForest,24.4,29.366156849861927,Validation
2015-01-04,N02BE,RandomForest,60.1,54.30024975812339,Validation
2017-07-29,N02BE,RandomForest,14.15,18.858496561811382,Validation
2018-04-05,N02BE,RandomForest,39.0,33.50267284072792,Validation
2014-11-19,N02BE,RandomForest,32.0,26.361146352975457,Validation
2014-09-04,N02BE,RandomForest,17.6,23.73645832611344,Validation
2015-12-03,N02BE,RandomForest,56.0,32.411531843662715,Validation
2014-03-10,N02BE,RandomForest,47.0,29.68104221806049,Validation
2017-12-05,N02BE,RandomForest,17.1,29.915782357366417,Validation
2016-12-01,N02BE,RandomForest,55.662,32.04207184986062,Validation
2015-05-26,N02BE,RandomForest,27.0,19.639202433572304,Validation
2019-07-26,N02BE,RandomForest,17.0,19.67887745298212,Validation
2018-09-27,N02BE,RandomForest,19.0,34.896766673903116,Validation
2019-09-24,N02BE,RandomForest,61.3,34.8291309762224,Validation
2017-10-05,N02BE,RandomForest,40.8,40.83575254154752,Validation
2018-06-30,N02BE,RandomForest,26.8,18.69666154942962,Validation
2018-10-07,N02BE,RandomForest,42.4,42.12597755648194,Validation
2019-06-09,N02BE,RandomForest,16.5,23.369672957629408,Validation
2015-01-07,N02BE,RandomForest,0.0,35.311564447296256,Validation
2016-02-22,N02BE,RandomForest,51.125,36.06340240761511,Validation
2018-01-25,N02BE,RandomForest,36.8,34.21945692877553,Validation
2015-09-07,N02BE,RandomForest,32.8,27.553738328720545,Validation
2018-10-03,N02BE,RandomForest,34.9,35.067326965441495,Validation
2019-08-18,N02BE,RandomForest,11.0,18.87154609364061,Validation
2018-03-03,N02BE,RandomForest,40.187,38.57193920573059,Validation
2018-07-19,N02BE,RandomForest,16.0,21.87196751560962,Validation
2016-02-21,N02BE,RandomForest,55.7,38.37219535322784,Validation
2015-08-05,N02BE,RandomForest,22.2,21.82683344887173,Validation
2018-09-12,N02BE,RandomForest,35.0,34.7752885032677,Validation
2016-11-06,N02BE,RandomForest,42.45,43.3002891397703,Validation
2015-07-22,N02BE,RandomForest,22.0,21.81973230073077,Validation
2018-09-06,N02BE,RandomForest,18.4,25.939433890996096,Validation
2018-06-25,N02BE,RandomForest,31.062,20.934601646006428,Validation
2016-03-16,N02BE,RandomForest,37.4,32.27280610752876,Validation
2014-07-15,N02BE,RandomForest,15.6,18.83411724422044,Validation
2016-05-24,N02BE,RandomForest,32.0,34.47091834747966,Validation
2018-07-31,N02BE,RandomForest,13.0,21.100635806988127,Validation
2014-11-08,N02BE,RandomForest,34.4,25.342762271105016,Validation
2018-12-27,N02BE,RandomForest,40.6,35.2969662426088,Validation
2017-11-01,N02BE,RandomForest,23.0,32.49175821952728,Validation
2017-11-11,N02BE,RandomForest,32.0,29.10257635439967,Validation
2017-07-10,N02BE,RandomForest,12.0,18.147836993439448,Validation
2019-05-29,N02BE,RandomForest,15.0,28.9460232740914,Validation
2019-04-19,N02BE,RandomForest,25.0,18.71912509021414,Validation
2016-10-12,N02BE,RandomForest,45.75,47.65798050825648,Validation
2018-09-23,N02BE,RandomForest,42.862,31.81450891467074,Validation
2014-07-29,N02BE,RandomForest,13.0,18.329552234369,Validation
2015-07-12,N02BE,RandomForest,25.3,29.686091581260346,Validation
2017-03-01,N02BE,RandomForest,15.1,21.478605640530457,Validation
2017-10-26,N02BE,RandomForest,38.0,34.60664097287352,Validation
2014-03-04,N02BE,RandomForest,47.275,31.52604261101555,Validation
2015-09-22,N02BE,RandomForest,19.5,29.94704968986152,Validation
2016-03-02,N02BE,RandomForest,21.3,35.0892794948623,Validation
2016-07-18,N02BE,RandomForest,25.4,21.52207561877167,Validation
2019-01-08,N02BE,RandomForest,41.8,33.548649727875585,Validation
2016-11-17,N02BE,RandomForest,41.4,36.30385002233799,Validation
2019-04-09,N02BE,RandomForest,12.0,21.3090589051912,Validation
2017-11-21,N02BE,RandomForest,22.4,27.738754544843445,Validation
2018-07-14,N02BE,RandomForest,26.0,30.642173785533675,Validation
2019-05-25,N02BE,RandomForest,35.0,23.563285829588715,Validation
2018-04-17,N02BE,RandomForest,16.0,29.141129661739093,Validation
2019-04-08,N02BE,RandomForest,10.0,25.224017598978755,Validation
2016-10-11,N02BE,RandomForest,52.6,45.67841975466438,Validation
2016-12-21,N02BE,RandomForest,37.0,33.99196646032102,Validation
2016-11-20,N02BE,RandomForest,25.5,42.32153786545722,Validation
2014-12-27,N02BE,RandomForest,39.0,37.134548582427385,Validation
2015-11-06,N02BE,RandomForest,31.475,45.59302319672447,Validation
2016-02-01,N02BE,RandomForest,18.0,53.80773973149464,Validation
2015-08-30,N02BE,RandomForest,21.0,30.92155606351269,Validation
2017-04-02,N02BE,RandomForest,23.0,19.357739580740787,Validation
2015-03-19,N02BE,RandomForest,31.0,33.88814920956619,Validation
2018-12-29,N02BE,RandomForest,68.35,47.22673902598293,Validation
2019-05-14,N02BE,RandomForest,25.0,21.869949189787423,Validation
2015-05-22,N02BE,RandomForest,15.0,26.383591532255256,Validation
2014-04-14,N02BE,RandomForest,28.28,21.912956674628294,Validation
2019-09-10,N02BE,RandomForest,22.0,24.435037339656148,Validation
2015-04-21,N02BE,RandomForest,35.2,32.60928810704858,Validation
2019-04-20,N02BE,RandomForest,22.4,18.448213292356918,Validation
2018-03-04,N02BE,RandomForest,33.6,38.21869276520186,Validation
2016-01-03,N02BE,RandomForest,56.1,54.94356551275147,Validation
2015-07-14,N02BE,RandomForest,14.0,30.07025910724838,Validation
2014-02-11,N02BE,RandomForest,44.6,32.50637698332644,Validation
2018-01-24,N02BE,RandomForest,32.0,33.53104086643192,Validation
2017-03-27,N02BE,RandomForest,14.8,19.24526272838168,Validation
2018-09-25,N02BE,RandomForest,53.85,32.34658997513154,Validation
2017-04-27,N02BE,RandomForest,11.0,19.016502176578623,Validation
2015-08-11,N02BE,RandomForest,18.1,25.136321184532996,Validation
2017-08-26,N02BE,RandomForest,19.0,22.37745010336439,Validation
2015-08-26,N02BE,RandomForest,27.0,30.383728083001902,Validation
2018-12-03,N02BE,RandomForest,44.0,33.531270900999985,Validation
2015-11-29,N02BE,RandomForest,42.2,37.86618331169492,Validation
2016-07-23,N02BE,RandomForest,15.0,21.562537011437204,Validation
2017-11-17,N02BE,RandomForest,34.0,29.342753132220473,Validation
2018-09-09,N02BE,RandomForest,50.0,31.072466682240318,Validation
2016-01-17,N02BE,RandomForest,46.6,56.27516796369711,Validation
2018-04-08,N02BE,RandomForest,0.0,36.756707992324415,Validation
2018-11-13,N02BE,RandomForest,29.7,34.23192942008025,Validation
2016-03-13,N02BE,RandomForest,59.2,43.39927769573344,Validation
2019-08-06,N02BE,RandomForest,17.25,19.959592659154726,Validation
2018-01-23,N02BE,RandomForest,38.6,32.384232314445995,Validation
2019-02-23,N02BE,RandomForest,38.2,32.34539050063651,Validation
2016-07-27,N02BE,RandomForest,10.0,19.72415884784014,Validation
2014-06-23,N02BE,RandomForest,25.2,18.19168363077062,Validation
2016-06-03,N02BE,RandomForest,18.0,25.74697314178273,Validation
2015-10-14,N02BE,RandomForest,38.6,46.96352461118338,Validation
2015-09-16,N02BE,RandomForest,16.6,32.559348676553846,Validation
2016-10-31,N02BE,RandomForest,43.8,48.25881182300249,Validation
2016-07-09,N02BE,RandomForest,11.0,21.751510575727956,Validation
2017-03-22,N02BE,RandomForest,16.4,21.386805977525057,Validation
2017-04-29,N02BE,RandomForest,15.0,19.060170872311147,Validation
2017-11-07,N02BE,RandomForest,20.0,30.86782000059885,Validation
2014-10-21,N02BE,RandomForest,14.3,32.16960107877876,Validation
2018-11-19,N02BE,RandomForest,47.2,32.21049404292424,Validation
2014-08-03,N02BE,RandomForest,6.0,18.12272230301222,Validation
2019-02-10,N02BE,RandomForest,43.2,45.33644829704059,Validation
2015-06-02,N02BE,RandomForest,24.0,29.27716779311601,Validation
2014-07-08,N02BE,RandomForest,14.0,19.238939948746026,Validation
2014-11-16,N02BE,RandomForest,18.6,29.06170709835724,Validation
2016-02-26,N02BE,RandomForest,28.55,35.3657115859336,Validation
2014-05-25,N02BE,RandomForest,7.0,18.484986665771114,Validation
2017-11-19,N02BE,RandomForest,29.0,31.533647610368636,Validation
2014-09-09,N02BE,RandomForest,29.2,20.69508844979375,Validation
2015-12-16,N02BE,RandomForest,42.0,33.26015971715364,Validation
2019-03-10,N02BE,RandomForest,51.0,30.65061667799809,Validation
2019-09-08,N02BE,RandomForest,26.0,24.25539645900111,Validation
2018-03-09,N02BE,RandomForest,41.0,30.14193648293794,Validation
2016-02-12,N02BE,RandomForest,60.675,45.49225961051222,Validation
2017-03-15,N02BE,RandomForest,14.6,22.796366121891715,Validation
2019-07-02,N02BE,RandomForest,14.0,19.037959666430538,Validation
2017-07-06,N02BE,RandomForest,20.6,18.49096311096689,Validation
2014-12-10,N02BE,RandomForest,51.2,27.851317451136953,Validation
2019-05-02,N02BE,RandomForest,20.0,19.16214038170163,Validation
2016-02-25,N02BE,RandomForest,41.0,35.64819819405937,Validation
2016-12-26,N02BE,RandomForest,58.924,45.952751065208865,Validation
2014-08-16,N02BE,RandomForest,19.0,19.01083141523891,Validation
2014-05-12,N02BE,RandomForest,12.0,21.59665998987954,Validation
2017-02-19,N02BE,RandomForest,13.0,21.81339087311118,Validation
2017-02-09,N02BE,RandomForest,20.4,29.76651481773101,Validation
