Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,N02BE,RandomForest,16.2,21.2536638963626,Train
2014-01-25,N02BE,RandomForest,37.8,27.316858487867542,Train
2015-10-05,N02BE,RandomForest,70.95,33.34474286112355,Train
2015-07-31,N02BE,RandomForest,24.0,21.879793545486176,Train
2015-09-09,N02BE,RandomForest,34.7,28.953144753831655,Train
2014-01-19,N02BE,RandomForest,14.1,30.715305063176316,Train
2016-03-27,N02BE,RandomForest,63.3,39.901377626032215,Train
2016-08-16,N02BE,RandomForest,14.45,25.00448734175982,Train
2018-12-16,N02BE,RandomForest,27.0,41.41390847073308,Train
2014-12-09,N02BE,RandomForest,27.28,26.458469560571153,Train
2017-09-16,N02BE,RandomForest,27.3,25.247474054283405,Train
2019-02-14,N02BE,RandomForest,54.5,37.036941845955006,Train
2015-02-15,N02BE,RandomForest,38.0,33.71960122515501,Train
2015-04-16,N02BE,RandomForest,30.6,30.145014411258902,Train
2016-11-30,N02BE,RandomForest,24.6,33.33050194825235,Train
2017-12-18,N02BE,RandomForest,31.6,32.571028332282125,Train
2016-12-16,N02BE,RandomForest,39.775,35.137697969869365,Train
2018-06-03,N02BE,RandomForest,22.4,23.87391298058946,Train
2014-04-06,N02BE,RandomForest,19.0,20.87128574157431,Train
2018-09-11,N02BE,RandomForest,50.6,32.97405045815929,Train
2016-06-10,N02BE,RandomForest,26.0,27.57938913513215,Train
2019-05-18,N02BE,RandomForest,14.0,24.4526298177005,Train
2019-01-19,N02BE,RandomForest,77.4,54.603377725921746,Train
2019-01-15,N02BE,RandomForest,30.4,46.36478414019067,Train
2017-02-18,N02BE,RandomForest,30.0,20.38787988676141,Train
2019-01-16,N02BE,RandomForest,48.8,45.7178039163847,Train
2019-08-16,N02BE,RandomForest,13.0,17.73225639600411,Train
2019-06-08,N02BE,RandomForest,22.4,23.594761288075784,Train
2016-01-31,N02BE,RandomForest,78.9,56.019807320465254,Train
2015-11-11,N02BE,RandomForest,60.0,45.66705098468004,Train
2016-11-13,N02BE,RandomForest,60.2,36.88149633354298,Train
2019-04-12,N02BE,RandomForest,16.6,19.743935369462516,Train
2016-02-16,N02BE,RandomForest,29.0,40.184489213144396,Train
2014-06-05,N02BE,RandomForest,22.5,22.4364181136582,Train
2014-06-15,N02BE,RandomForest,8.0,17.069212521220933,Train
2018-04-01,N02BE,RandomForest,37.0,36.34228667610442,Train
2019-08-24,N02BE,RandomForest,24.6,19.35917435086913,Train
2019-02-27,N02BE,RandomForest,13.4,28.094915387878824,Train
2016-08-17,N02BE,RandomForest,9.5,21.36297978626383,Train
2017-05-08,N02BE,RandomForest,8.0,17.10511137832438,Train
2016-10-01,N02BE,RandomForest,54.038,52.6228962454167,Train
2016-12-23,N02BE,RandomForest,32.0,34.682242124176526,Train
2018-12-25,N02BE,RandomForest,42.6,32.33141146952171,Train
2017-06-05,N02BE,RandomForest,9.7,19.93376441773979,Train
2016-12-20,N02BE,RandomForest,46.0,34.69273363217234,Train
2016-03-18,N02BE,RandomForest,25.462,33.979871917959876,Train
2018-01-05,N02BE,RandomForest,26.0,36.53386018273019,Train
2017-03-10,N02BE,RandomForest,26.3,20.186964926279394,Train
2015-03-31,N02BE,RandomForest,33.5,31.917949085916298,Train
2015-11-13,N02BE,RandomForest,22.0,39.057449785912006,Train
2014-04-13,N02BE,RandomForest,6.0,21.204221603162676,Train
2014-11-25,N02BE,RandomForest,19.2,25.486421517312774,Train
2014-08-05,N02BE,RandomForest,17.1,17.574131938794345,Train
2016-07-03,N02BE,RandomForest,18.6,21.116250507524068,Train
2014-08-10,N02BE,RandomForest,3.0,17.958911793022196,Train
2019-05-13,N02BE,RandomForest,26.2,21.095986795693726,Train
2017-08-19,N02BE,RandomForest,16.0,19.640069276314403,Train
2017-09-02,N02BE,RandomForest,18.4,20.722100720164878,Train
2017-02-04,N02BE,RandomForest,27.70833333,40.912795543824025,Train
2015-02-12,N02BE,RandomForest,23.82,27.14852228700129,Train
2017-03-08,N02BE,RandomForest,15.2,18.806408953816373,Train
2018-09-20,N02BE,RandomForest,24.2,29.422436682549556,Train
2016-01-27,N02BE,RandomForest,30.062,34.2524475121891,Train
2018-01-17,N02BE,RandomForest,30.2,32.73070816333997,Train
2014-07-10,N02BE,RandomForest,21.2,17.196825086748955,Train
2016-08-01,N02BE,RandomForest,14.0,19.775490841603503,Train
2019-06-22,N02BE,RandomForest,25.0,19.54724850754313,Train
2018-04-28,N02BE,RandomForest,27.25,29.84958411900239,Train
2015-02-21,N02BE,RandomForest,57.0,37.593715763992414,Train
2018-10-29,N02BE,RandomForest,32.8,33.73350032796569,Train
2018-05-25,N02BE,RandomForest,16.4,21.534878339772213,Train
2018-03-11,N02BE,RandomForest,68.0,33.91278451338839,Train
2018-12-21,N02BE,RandomForest,35.0,32.22951898562836,Train
2014-05-19,N02BE,RandomForest,12.8,21.04002475435976,Train
2017-08-25,N02BE,RandomForest,20.25,22.380856137005132,Train
2017-05-28,N02BE,RandomForest,11.19,21.823443914567456,Train
2016-09-22,N02BE,RandomForest,29.4,32.31643877368117,Train
2014-01-30,N02BE,RandomForest,25.5,21.770428384565303,Train
2018-08-26,N02BE,RandomForest,57.0,31.77242982630377,Train
2017-04-23,N02BE,RandomForest,25.5,18.5391783459248,Train
2019-03-11,N02BE,RandomForest,26.4,32.050934670495664,Train
