Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2016-12-08,N02BE,XGBoost,35.7,38.389843,Validation
2016-10-09,N02BE,XGBoost,88.4,61.052673,Validation
2016-09-25,N02BE,XGBoost,61.125,36.868263,Validation
2019-05-07,N02BE,XGBoost,33.4,23.987366,Validation
2019-01-31,N02BE,XGBoost,62.2,43.73003,Validation
2015-01-29,N02BE,XGBoost,24.4,32.132324,Validation
2016-02-17,N02BE,XGBoost,26.6,33.48169,Validation
2015-03-22,N02BE,XGBoost,43.2,39.565994,Validation
2016-04-03,N02BE,XGBoost,73.5,44.246864,Validation
2017-12-30,N02BE,XGBoost,50.0,36.873146,Validation
2019-01-07,N02BE,XGBoost,0.0,36.272675,Validation
2017-06-27,N02BE,XGBoost,13.5,19.75254,Validation
2017-05-25,N02BE,XGBoost,18.2,20.287685,Validation
2019-08-20,N02BE,XGBoost,13.4,16.889025,Validation
2018-10-27,N02BE,XGBoost,49.975,42.216827,Validation
2017-08-02,N02BE,XGBoost,25.0,17.32605,Validation
2016-03-31,N02BE,XGBoost,31.25,32.563663,Validation
2018-02-23,N02BE,XGBoost,34.2,37.26267,Validation
2017-06-30,N02BE,XGBoost,18.0,18.31522,Validation
2014-08-11,N02BE,XGBoost,20.0,19.12108,Validation
2017-08-08,N02BE,XGBoost,11.188,17.082802,Validation
2015-08-18,N02BE,XGBoost,24.0,26.12998,Validation
2015-06-09,N02BE,XGBoost,26.6,21.229683,Validation
2014-05-21,N02BE,XGBoost,15.4,20.108368,Validation
2016-03-20,N02BE,XGBoost,42.2,40.858864,Validation
2019-09-25,N02BE,XGBoost,32.5,34.575996,Validation
2018-11-28,N02BE,XGBoost,24.4,28.473188,Validation
2015-01-04,N02BE,XGBoost,60.1,55.503384,Validation
2017-07-29,N02BE,XGBoost,14.15,19.398577,Validation
2018-04-05,N02BE,XGBoost,39.0,31.64289,Validation
2014-11-19,N02BE,XGBoost,32.0,24.54367,Validation
2014-09-04,N02BE,XGBoost,17.6,24.6351,Validation
2015-12-03,N02BE,XGBoost,56.0,30.988598,Validation
2014-03-10,N02BE,XGBoost,47.0,26.68902,Validation
2017-12-05,N02BE,XGBoost,17.1,27.76029,Validation
2016-12-01,N02BE,XGBoost,55.662,31.159647,Validation
2015-05-26,N02BE,XGBoost,27.0,21.138233,Validation
2019-07-26,N02BE,XGBoost,17.0,20.641296,Validation
2018-09-27,N02BE,XGBoost,19.0,32.065414,Validation
2019-09-24,N02BE,XGBoost,61.3,31.088358,Validation
2017-10-05,N02BE,XGBoost,40.8,37.07006,Validation
2018-06-30,N02BE,XGBoost,26.8,18.697014,Validation
2018-10-07,N02BE,XGBoost,42.4,44.453884,Validation
2019-06-09,N02BE,XGBoost,16.5,23.69404,Validation
2015-01-07,N02BE,XGBoost,0.0,34.87391,Validation
2016-02-22,N02BE,XGBoost,51.125,36.804,Validation
2018-01-25,N02BE,XGBoost,36.8,37.642384,Validation
2015-09-07,N02BE,XGBoost,32.8,28.088753,Validation
2018-10-03,N02BE,XGBoost,34.9,34.104248,Validation
2019-08-18,N02BE,XGBoost,11.0,18.516571,Validation
2018-03-03,N02BE,XGBoost,40.187,35.95761,Validation
2018-07-19,N02BE,XGBoost,16.0,22.037477,Validation
2016-02-21,N02BE,XGBoost,55.7,39.807972,Validation
2015-08-05,N02BE,XGBoost,22.2,21.324608,Validation
2018-09-12,N02BE,XGBoost,35.0,33.377975,Validation
