Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,N02BE,XGBoost,16.2,20.619867,Train
2014-01-25,N02BE,XGBoost,37.8,28.983633,Train
2015-10-05,N02BE,XGBoost,70.95,34.63324,Train
2015-07-31,N02BE,XGBoost,24.0,22.158255,Train
2015-09-09,N02BE,XGBoost,34.7,28.324062,Train
2014-01-19,N02BE,XGBoost,14.1,30.628704,Train
2016-03-27,N02BE,XGBoost,63.3,39.57904,Train
2016-08-16,N02BE,XGBoost,14.45,24.681955,Train
2018-12-16,N02BE,XGBoost,27.0,44.23096,Train
2014-12-09,N02BE,XGBoost,27.28,25.141096,Train
2017-09-16,N02BE,XGBoost,27.3,26.478035,Train
2019-02-14,N02BE,XGBoost,54.5,36.084064,Train
2015-02-15,N02BE,XGBoost,38.0,31.248013,Train
2015-04-16,N02BE,XGBoost,30.6,29.925798,Train
2016-11-30,N02BE,XGBoost,24.6,32.811142,Train
2017-12-18,N02BE,XGBoost,31.6,32.738213,Train
2016-12-16,N02BE,XGBoost,39.775,35.66977,Train
2018-06-03,N02BE,XGBoost,22.4,27.11334,Train
2014-04-06,N02BE,XGBoost,19.0,20.777615,Train
2018-09-11,N02BE,XGBoost,50.6,33.250908,Train
2016-06-10,N02BE,XGBoost,26.0,28.272465,Train
2019-05-18,N02BE,XGBoost,14.0,24.111069,Train
2019-01-19,N02BE,XGBoost,77.4,54.84131,Train
2019-01-15,N02BE,XGBoost,30.4,42.42024,Train
2017-02-18,N02BE,XGBoost,30.0,22.66189,Train
2019-01-16,N02BE,XGBoost,48.8,43.541935,Train
2019-08-16,N02BE,XGBoost,13.0,19.048203,Train
2019-06-08,N02BE,XGBoost,22.4,25.15205,Train
2016-01-31,N02BE,XGBoost,78.9,55.292118,Train
2015-11-11,N02BE,XGBoost,60.0,43.714252,Train
2016-11-13,N02BE,XGBoost,60.2,38.59174,Train
2019-04-12,N02BE,XGBoost,16.6,21.715963,Train
2016-02-16,N02BE,XGBoost,29.0,39.04267,Train
2014-06-05,N02BE,XGBoost,22.5,22.367674,Train
2014-06-15,N02BE,XGBoost,8.0,17.52954,Train
2018-04-01,N02BE,XGBoost,37.0,37.80461,Train
2019-08-24,N02BE,XGBoost,24.6,20.408102,Train
2019-02-27,N02BE,XGBoost,13.4,27.852253,Train
2016-08-17,N02BE,XGBoost,9.5,21.304216,Train
2017-05-08,N02BE,XGBoost,8.0,19.26464,Train
2016-10-01,N02BE,XGBoost,54.038,51.90679,Train
2016-12-23,N02BE,XGBoost,32.0,35.168514,Train
2018-12-25,N02BE,XGBoost,42.6,31.886066,Train
2017-06-05,N02BE,XGBoost,9.7,19.706358,Train
2016-12-20,N02BE,XGBoost,46.0,34.666374,Train
2016-03-18,N02BE,XGBoost,25.462,31.677456,Train
2018-01-05,N02BE,XGBoost,26.0,37.016502,Train
2017-03-10,N02BE,XGBoost,26.3,19.785471,Train
2015-03-31,N02BE,XGBoost,33.5,29.97369,Train
2015-11-13,N02BE,XGBoost,22.0,38.638615,Train
2014-04-13,N02BE,XGBoost,6.0,21.489454,Train
2014-11-25,N02BE,XGBoost,19.2,25.22753,Train
2014-08-05,N02BE,XGBoost,17.1,19.15844,Train
2016-07-03,N02BE,XGBoost,18.6,21.355219,Train
2014-08-10,N02BE,XGBoost,3.0,22.163895,Train
2019-05-13,N02BE,XGBoost,26.2,21.08635,Train
2017-08-19,N02BE,XGBoost,16.0,20.58989,Train
2017-09-02,N02BE,XGBoost,18.4,23.39967,Train
2017-02-04,N02BE,XGBoost,27.70833333,40.087494,Train
2015-02-12,N02BE,XGBoost,23.82,27.791195,Train
2017-03-08,N02BE,XGBoost,15.2,20.85451,Train
2018-09-20,N02BE,XGBoost,24.2,28.928108,Train
2016-01-27,N02BE,XGBoost,30.062,33.567223,Train
2018-01-17,N02BE,XGBoost,30.2,32.024845,Train
2014-07-10,N02BE,XGBoost,21.2,17.681065,Train
2016-08-01,N02BE,XGBoost,14.0,21.371038,Train
2019-06-22,N02BE,XGBoost,25.0,19.527302,Train
2018-04-28,N02BE,XGBoost,27.25,27.85109,Train
2015-02-21,N02BE,XGBoost,57.0,36.867416,Train
2018-10-29,N02BE,XGBoost,32.8,31.769058,Train
2018-05-25,N02BE,XGBoost,16.4,21.329735,Train
2018-03-11,N02BE,XGBoost,68.0,33.321785,Train
2018-12-21,N02BE,XGBoost,35.0,29.751156,Train
2014-05-19,N02BE,XGBoost,12.8,20.768423,Train
2017-08-25,N02BE,XGBoost,20.25,24.153288,Train
2017-05-28,N02BE,XGBoost,11.19,24.88795,Train
2016-09-22,N02BE,XGBoost,29.4,31.379904,Train
2014-01-30,N02BE,XGBoost,25.5,23.485085,Train
2018-08-26,N02BE,XGBoost,57.0,30.586279,Train
2017-04-23,N02BE,XGBoost,25.5,22.788208,Train
2019-03-11,N02BE,XGBoost,26.4,32.11907,Train
2014-05-16,N02BE,XGBoost,22.0,23.03956,Train
2017-04-20,N02BE,XGBoost,9.4,20.566355,Train
2019-06-13,N02BE,XGBoost,19.4,21.8983,Train
2017-02-11,N02BE,XGBoost,12.4,26.301214,Train
2016-04-27,N02BE,XGBoost,47.4,26.13934,Train
2016-06-07,N02BE,XGBoost,28.5,22.097057,Train
2019-09-15,N02BE,XGBoost,25.4,26.214287,Train
2018-08-07,N02BE,XGBoost,15.0,17.730717,Train
2017-05-10,N02BE,XGBoost,15.0,18.542372,Train
2018-10-13,N02BE,XGBoost,29.6,41.586575,Train
2016-12-03,N02BE,XGBoost,43.3,41.533997,Train
2017-08-17,N02BE,XGBoost,12.0,19.606863,Train
2015-06-19,N02BE,XGBoost,24.0,21.966976,Train
2017-10-28,N02BE,XGBoost,24.1,36.22233,Train
2014-08-26,N02BE,XGBoost,31.0,20.035854,Train
2018-03-21,N02BE,XGBoost,27.0,29.777142,Train
2015-08-21,N02BE,XGBoost,34.0,24.922537,Train
2014-01-31,N02BE,XGBoost,26.9,22.567617,Train
2017-01-25,N02BE,XGBoost,51.1875,37.582355,Train
2018-05-31,N02BE,XGBoost,11.4,21.28299,Train
2017-12-27,N02BE,XGBoost,32.7,29.839523,Train
2017-02-21,N02BE,XGBoost,22.9,23.119143,Train
2016-01-10,N02BE,XGBoost,67.6,63.70218,Train
2017-10-24,N02BE,XGBoost,65.2,33.35181,Train
2017-09-22,N02BE,XGBoost,27.5,29.735647,Train
2017-06-12,N02BE,XGBoost,13.6,17.945305,Train
2017-05-16,N02BE,XGBoost,16.2,19.591837,Train
2018-07-01,N02BE,XGBoost,22.0,20.335382,Train
2018-11-24,N02BE,XGBoost,29.2,33.594154,Train
2017-05-05,N02BE,XGBoost,6.6,18.584003,Train
2016-03-14,N02BE,XGBoost,35.9,33.11566,Train
2019-05-28,N02BE,XGBoost,18.2,27.166542,Train
2018-03-07,N02BE,XGBoost,20.2,30.720772,Train
2015-01-20,N02BE,XGBoost,38.0,31.601238,Train
2017-01-18,N02BE,XGBoost,45.95833333,43.29601,Train
2015-08-14,N02BE,XGBoost,16.7,22.66291,Train
2014-07-13,N02BE,XGBoost,17.0,18.451082,Train
2014-07-07,N02BE,XGBoost,13.0,20.596996,Train
2018-01-14,N02BE,XGBoost,36.0,38.204857,Train
2016-01-11,N02BE,XGBoost,64.9,49.765663,Train
2016-12-25,N02BE,XGBoost,79.8,64.099655,Train
2018-05-14,N02BE,XGBoost,20.0,21.707886,Train
2015-04-06,N02BE,XGBoost,32.9,30.768936,Train
2015-07-29,N02BE,XGBoost,21.378,23.550844,Train
2019-04-14,N02BE,XGBoost,23.0,20.092361,Train
2014-10-16,N02BE,XGBoost,58.921875,33.805542,Train
2019-03-06,N02BE,XGBoost,31.0,26.28044,Train
2015-06-04,N02BE,XGBoost,20.0,26.387363,Train
2016-06-14,N02BE,XGBoost,17.4,30.225065,Train
2016-11-10,N02BE,XGBoost,31.1,31.184462,Train
2017-02-01,N02BE,XGBoost,31.625,35.378075,Train
2017-10-03,N02BE,XGBoost,57.2,38.387512,Train
2018-02-11,N02BE,XGBoost,63.25,53.276955,Train
2016-05-16,N02BE,XGBoost,24.0,30.285099,Train
2015-04-02,N02BE,XGBoost,35.07,32.971664,Train
2019-09-07,N02BE,XGBoost,27.0,23.98184,Train
2016-05-15,N02BE,XGBoost,44.1,34.94379,Train
2015-02-20,N02BE,XGBoost,27.0,33.72786,Train
2017-02-13,N02BE,XGBoost,0.0,20.74603,Train
2014-02-09,N02BE,XGBoost,31.5,29.674992,Train
2015-08-24,N02BE,XGBoost,45.1,31.344059,Train
2014-06-09,N02BE,XGBoost,18.0,21.377485,Train
2017-07-31,N02BE,XGBoost,21.0,17.849981,Train
2018-09-08,N02BE,XGBoost,35.4,28.113365,Train
2017-12-31,N02BE,XGBoost,70.2,42.452187,Train
2014-05-18,N02BE,XGBoost,9.4,20.80299,Train
2019-09-20,N02BE,XGBoost,51.3,24.577387,Train
2019-07-27,N02BE,XGBoost,22.0,21.652596,Train
2015-07-28,N02BE,XGBoost,15.2,21.545527,Train
2018-07-06,N02BE,XGBoost,20.0,18.502428,Train
2014-09-07,N02BE,XGBoost,7.0,21.147491,Train
2018-02-01,N02BE,XGBoost,30.5,36.14875,Train
2015-09-29,N02BE,XGBoost,39.7,25.62741,Train
2017-08-11,N02BE,XGBoost,8.0,17.777353,Train
2019-08-14,N02BE,XGBoost,20.0,19.76249,Train
2017-04-14,N02BE,XGBoost,13.0,20.043657,Train
2015-02-17,N02BE,XGBoost,36.2,33.428204,Train
2019-05-19,N02BE,XGBoost,26.4,26.543768,Train
2014-03-11,N02BE,XGBoost,30.4,31.532526,Train
2016-08-30,N02BE,XGBoost,8.9,20.254614,Train
2016-08-24,N02BE,XGBoost,11.3,22.687347,Train
2015-11-25,N02BE,XGBoost,29.0,33.72815,Train
2017-07-13,N02BE,XGBoost,9.6,19.465595,Train
2015-02-16,N02BE,XGBoost,40.1,31.479382,Train
2015-04-19,N02BE,XGBoost,36.5,35.092644,Train
2014-05-30,N02BE,XGBoost,21.5,20.767437,Train
2016-10-07,N02BE,XGBoost,47.625,38.245087,Train
2018-05-12,N02BE,XGBoost,27.0,24.450579,Train
2016-02-10,N02BE,XGBoost,34.1,39.583553,Train
2017-03-12,N02BE,XGBoost,48.0,27.60352,Train
2014-12-31,N02BE,XGBoost,41.08,40.004776,Train
2015-01-06,N02BE,XGBoost,42.0,39.23019,Train
2016-03-19,N02BE,XGBoost,19.5,40.24272,Train
2017-03-11,N02BE,XGBoost,20.1,23.089527,Train
2014-05-31,N02BE,XGBoost,28.0,22.324516,Train
2014-02-08,N02BE,XGBoost,37.1,34.645992,Train
2016-01-28,N02BE,XGBoost,33.0,40.213287,Train
2015-07-20,N02BE,XGBoost,41.0,23.695576,Train
2014-06-25,N02BE,XGBoost,33.8,20.365768,Train
2014-01-12,N02BE,XGBoost,12.0,34.916424,Train
2015-03-06,N02BE,XGBoost,19.8,35.30424,Train
2019-03-12,N02BE,XGBoost,31.85,29.787182,Train
2014-09-02,N02BE,XGBoost,20.14,23.584375,Train
2019-10-05,N02BE,XGBoost,25.4,45.87081,Train
2015-02-03,N02BE,XGBoost,24.2,29.164196,Train
2016-04-30,N02BE,XGBoost,47.812,35.292255,Train
2019-04-29,N02BE,XGBoost,27.6,27.773857,Train
2018-03-08,N02BE,XGBoost,25.8,27.42253,Train
2015-02-19,N02BE,XGBoost,36.7,30.643696,Train
2014-09-21,N02BE,XGBoost,12.4,31.740334,Train
2018-04-29,N02BE,XGBoost,14.0,29.69626,Train
2017-12-15,N02BE,XGBoost,29.0,33.568733,Train
2018-01-09,N02BE,XGBoost,33.825,35.760406,Train
2016-10-08,N02BE,XGBoost,52.7,48.93661,Train
2015-02-23,N02BE,XGBoost,55.4,37.057453,Train
2015-06-11,N02BE,XGBoost,38.3,24.055172,Train
2015-10-19,N02BE,XGBoost,62.6,47.883564,Train
2017-08-22,N02BE,XGBoost,22.2,20.952993,Train
2019-06-05,N02BE,XGBoost,26.1,20.978008,Train
2019-09-11,N02BE,XGBoost,42.0,28.146482,Train
2018-10-19,N02BE,XGBoost,10.6,32.481224,Train
2015-11-03,N02BE,XGBoost,41.8,45.36665,Train
2015-02-28,N02BE,XGBoost,26.6,44.81356,Train
2017-08-27,N02BE,XGBoost,21.3,21.990923,Train
2017-10-17,N02BE,XGBoost,26.2,30.90767,Train
2014-12-21,N02BE,XGBoost,52.5,30.749645,Train
2019-08-30,N02BE,XGBoost,19.0,18.40102,Train
2015-04-28,N02BE,XGBoost,15.2,31.841318,Train
2014-10-24,N02BE,XGBoost,49.4,28.520052,Train
2014-10-20,N02BE,XGBoost,35.4,29.725992,Train
2016-06-08,N02BE,XGBoost,45.062,23.643148,Train
2018-09-07,N02BE,XGBoost,42.0,25.18489,Train
2014-06-28,N02BE,XGBoost,20.0,23.441387,Train
2017-05-01,N02BE,XGBoost,1.2,17.775326,Train
2014-08-12,N02BE,XGBoost,10.0,19.070442,Train
2016-09-10,N02BE,XGBoost,34.0,40.649723,Train
2014-02-24,N02BE,XGBoost,26.5,29.327297,Train
2014-09-28,N02BE,XGBoost,21.2,33.17501,Train
2018-03-06,N02BE,XGBoost,22.2,29.398315,Train
2015-06-16,N02BE,XGBoost,20.0,23.60965,Train
2019-03-25,N02BE,XGBoost,27.0,26.696161,Train
2016-07-21,N02BE,XGBoost,17.0,21.318272,Train
2014-01-11,N02BE,XGBoost,52.3,41.031532,Train
2014-11-06,N02BE,XGBoost,23.4,28.225132,Train
2015-05-23,N02BE,XGBoost,23.45,23.705023,Train
2016-08-19,N02BE,XGBoost,27.0,20.799185,Train
2019-08-27,N02BE,XGBoost,21.0,19.828886,Train
2014-09-14,N02BE,XGBoost,19.5,31.072653,Train
2015-11-04,N02BE,XGBoost,59.8,41.490993,Train
2019-08-08,N02BE,XGBoost,15.0,21.399807,Train
2019-04-15,N02BE,XGBoost,8.8,18.589582,Train
2018-02-12,N02BE,XGBoost,36.3,43.38482,Train
2015-09-15,N02BE,XGBoost,23.8,32.47692,Train
2015-10-20,N02BE,XGBoost,44.7,45.836357,Train
2017-07-07,N02BE,XGBoost,17.0,18.692806,Train
2016-11-28,N02BE,XGBoost,23.0,32.806385,Train
2019-05-10,N02BE,XGBoost,11.6,21.488346,Train
2017-11-15,N02BE,XGBoost,17.0,29.701206,Train
2016-06-04,N02BE,XGBoost,21.0,27.824867,Train
2016-11-02,N02BE,XGBoost,42.2,36.185165,Train
2014-02-06,N02BE,XGBoost,41.4,30.36675,Train
2017-09-09,N02BE,XGBoost,20.0,26.228842,Train
2017-08-21,N02BE,XGBoost,19.0,17.90046,Train
2014-01-23,N02BE,XGBoost,26.2,25.984417,Train
2014-02-14,N02BE,XGBoost,42.3,34.158657,Train
2016-08-28,N02BE,XGBoost,37.0,24.615107,Train
2016-09-29,N02BE,XGBoost,50.6,42.37658,Train
2015-10-18,N02BE,XGBoost,55.6,58.22885,Train
2016-10-22,N02BE,XGBoost,29.7,47.913567,Train
2019-03-09,N02BE,XGBoost,45.2,31.58002,Train
2018-10-04,N02BE,XGBoost,32.0,31.125671,Train
2014-06-17,N02BE,XGBoost,14.0,19.019245,Train
2017-10-13,N02BE,XGBoost,38.0,33.615402,Train
2014-06-13,N02BE,XGBoost,10.0,19.132982,Train
2015-04-05,N02BE,XGBoost,31.6,34.959976,Train
2014-03-08,N02BE,XGBoost,27.6,37.153027,Train
2014-03-07,N02BE,XGBoost,25.0,30.572737,Train
2019-01-25,N02BE,XGBoost,32.65,39.983143,Train
2017-01-28,N02BE,XGBoost,32.08333333,45.167755,Train
2014-06-03,N02BE,XGBoost,24.0,22.149632,Train
2014-04-21,N02BE,XGBoost,13.5,20.884941,Train
2015-10-13,N02BE,XGBoost,63.8,46.48703,Train
2015-12-01,N02BE,XGBoost,23.9,31.516487,Train
2018-03-14,N02BE,XGBoost,31.0,28.899876,Train
2016-09-05,N02BE,XGBoost,34.3,28.214203,Train
