Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2016-12-08,N05B,XGBoost,9.0,7.444459,Validation
2016-10-09,N05B,XGBoost,2.0,5.444093,Validation
2016-09-25,N05B,XGBoost,3.0,6.161689,Validation
2019-05-07,N05B,XGBoost,19.0,8.558479,Validation
2019-01-31,N05B,XGBoost,8.0,9.957148,Validation
2015-01-29,N05B,XGBoost,16.0,12.612292,Validation
2016-02-17,N05B,XGBoost,12.0,7.891557,Validation
2015-03-22,N05B,XGBoost,9.0,5.4811296,Validation
2016-04-03,N05B,XGBoost,5.0,4.9479165,Validation
2017-12-30,N05B,XGBoost,8.0,8.585395,Validation
2019-01-07,N05B,XGBoost,0.0,9.606268,Validation
2017-06-27,N05B,XGBoost,9.0,7.9648604,Validation
2017-05-25,N05B,XGBoost,3.0,7.381216,Validation
2019-08-20,N05B,XGBoost,8.0,8.099116,Validation
2018-10-27,N05B,XGBoost,12.0,8.396557,Validation
2017-08-02,N05B,XGBoost,2.0,7.66305,Validation
2016-03-31,N05B,XGBoost,1.0,7.0023203,Validation
2018-02-23,N05B,XGBoost,6.0,7.9431252,Validation
2017-06-30,N05B,XGBoost,2.0,7.186514,Validation
2014-08-11,N05B,XGBoost,18.0,11.209058,Validation
2017-08-08,N05B,XGBoost,8.0,7.629759,Validation
2015-08-18,N05B,XGBoost,16.0,8.586661,Validation
2015-06-09,N05B,XGBoost,14.0,8.42354,Validation
2014-05-21,N05B,XGBoost,6.0,8.414653,Validation
2016-03-20,N05B,XGBoost,1.0,6.5253572,Validation
2019-09-25,N05B,XGBoost,14.0,7.809804,Validation
2018-11-28,N05B,XGBoost,15.0,8.406713,Validation
2015-01-04,N05B,XGBoost,4.0,8.67886,Validation
2017-07-29,N05B,XGBoost,1.0,6.7674375,Validation
2018-04-05,N05B,XGBoost,16.0,10.40397,Validation
2014-11-19,N05B,XGBoost,17.0,14.263751,Validation
2014-09-04,N05B,XGBoost,21.0,11.32152,Validation
2015-12-03,N05B,XGBoost,6.0,9.25759,Validation
2014-03-10,N05B,XGBoost,11.0,7.7946563,Validation
2017-12-05,N05B,XGBoost,1.0,7.5636444,Validation
2016-12-01,N05B,XGBoost,8.0,7.96298,Validation
2015-05-26,N05B,XGBoost,11.0,8.889407,Validation
