Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,N05B,XGBoost,11.0,8.53897,Train
2014-01-25,N05B,XGBoost,18.0,11.483546,Train
2015-10-05,N05B,XGBoost,11.0,7.1752405,Train
2015-07-31,N05B,XGBoost,8.0,7.980027,Train
2015-09-09,N05B,XGBoost,8.0,8.11571,Train
2014-01-19,N05B,XGBoost,4.0,8.467031,Train
2016-03-27,N05B,XGBoost,11.0,6.0050397,Train
2016-08-16,N05B,XGBoost,4.0,8.775613,Train
2018-12-16,N05B,XGBoost,3.0,6.390238,Train
2014-12-09,N05B,XGBoost,12.0,11.870017,Train
2017-09-16,N05B,XGBoost,11.0,8.35906,Train
2019-02-14,N05B,XGBoost,9.0,9.668961,Train
2015-02-15,N05B,XGBoost,7.0,7.183513,Train
2015-04-16,N05B,XGBoost,7.0,8.060189,Train
2016-11-30,N05B,XGBoost,13.0,8.198972,Train
2017-12-18,N05B,XGBoost,7.0,8.363695,Train
2016-12-16,N05B,XGBoost,8.0,9.520229,Train
2018-06-03,N05B,XGBoost,8.0,6.69373,Train
2014-04-06,N05B,XGBoost,1.0,5.741391,Train
2018-09-11,N05B,XGBoost,15.0,10.008442,Train
2016-06-10,N05B,XGBoost,11.0,8.363443,Train
2019-05-18,N05B,XGBoost,9.0,8.424128,Train
2019-01-19,N05B,XGBoost,9.0,9.94771,Train
2019-01-15,N05B,XGBoost,9.0,10.994068,Train
2017-02-18,N05B,XGBoost,10.0,6.474698,Train
2019-01-16,N05B,XGBoost,12.0,10.975342,Train
2019-08-16,N05B,XGBoost,15.0,8.381906,Train
2019-06-08,N05B,XGBoost,12.0,6.738758,Train
2016-01-31,N05B,XGBoost,3.0,6.1135783,Train
2015-11-11,N05B,XGBoost,4.0,8.823662,Train
2016-11-13,N05B,XGBoost,0.0,6.123016,Train
2019-04-12,N05B,XGBoost,16.0,10.327329,Train
2016-02-16,N05B,XGBoost,3.0,10.038315,Train
2014-06-05,N05B,XGBoost,4.0,9.353992,Train
2014-06-15,N05B,XGBoost,5.0,6.8316946,Train
2018-04-01,N05B,XGBoost,19.0,13.335791,Train
2019-08-24,N05B,XGBoost,9.0,7.6241813,Train
2019-02-27,N05B,XGBoost,9.0,9.1678915,Train
2016-08-17,N05B,XGBoost,7.0,7.420564,Train
2017-05-08,N05B,XGBoost,8.0,6.7922177,Train
2016-10-01,N05B,XGBoost,5.0,6.921505,Train
