Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2016-12-08,N05C,KNN,0.0,0.4,Validation
2016-10-09,N05C,KNN,0.0,0.2,Validation
2016-09-25,N05C,KNN,0.0,0.15,Validation
2019-05-07,N05C,KNN,0.0,0.65,Validation
2019-01-31,N05C,KNN,1.0,1.0583333332999998,Validation
2015-01-29,N05C,KNN,3.0,1.0125,Validation
2016-02-17,N05C,KNN,1.0,0.6125,Validation
2015-03-22,N05C,KNN,0.0,0.1,Validation
2016-04-03,N05C,KNN,0.0,0.05,Validation
2017-12-30,N05C,KNN,0.0,0.45,Validation
2019-01-07,N05C,KNN,0.0,1.0208333333500001,Validation
2017-06-27,N05C,KNN,0.0,0.5,Validation
2017-05-25,N05C,KNN,0.0,0.4,Validation
2019-08-20,N05C,KNN,0.0,0.7,Validation
2018-10-27,N05C,KNN,1.0,0.4,Validation
2017-08-02,N05C,KNN,0.0,0.15,Validation
2016-03-31,N05C,KNN,0.0,0.45,Validation
2018-02-23,N05C,KNN,0.0,0.3,Validation
2017-06-30,N05C,KNN,0.0,0.3,Validation
2014-08-11,N05C,KNN,0.0,0.4,Validation
2017-08-08,N05C,KNN,0.0,0.6,Validation
2015-08-18,N05C,KNN,0.0,0.35,Validation
2015-06-09,N05C,KNN,0.0,0.45,Validation
2014-05-21,N05C,KNN,1.0,0.4,Validation
2016-03-20,N05C,KNN,0.0,0.45,Validation
2019-09-25,N05C,KNN,1.0,0.65,Validation
2018-11-28,N05C,KNN,2.0,1.2,Validation
2015-01-04,N05C,KNN,0.0,0.4458333333000001,Validation
2017-07-29,N05C,KNN,0.0,0.25,Validation
2018-04-05,N05C,KNN,1.0,0.35,Validation
2014-11-19,N05C,KNN,0.0,1.0,Validation
2014-09-04,N05C,KNN,1.0,0.3,Validation
2015-12-03,N05C,KNN,1.0,0.4,Validation
2014-03-10,N05C,KNN,0.0,0.5,Validation
2017-12-05,N05C,KNN,0.0,1.1,Validation
2016-12-01,N05C,KNN,0.0,0.75,Validation
2015-05-26,N05C,KNN,0.0,1.05,Validation
2019-07-26,N05C,KNN,0.0,0.6,Validation
2018-09-27,N05C,KNN,0.0,0.35,Validation
2019-09-24,N05C,KNN,0.0,0.7,Validation
2017-10-05,N05C,KNN,0.0,0.35,Validation
2018-06-30,N05C,KNN,2.0,0.7,Validation
2018-10-07,N05C,KNN,0.0,0.4,Validation
2019-06-09,N05C,KNN,4.0,0.2,Validation
2015-01-07,N05C,KNN,0.0,1.6375,Validation
2016-02-22,N05C,KNN,0.0,0.32083333334999997,Validation
2018-01-25,N05C,KNN,0.0,0.3,Validation
2015-09-07,N05C,KNN,1.0,0.55,Validation
2018-10-03,N05C,KNN,2.0,0.8,Validation
2019-08-18,N05C,KNN,0.0,1.3,Validation
2018-03-03,N05C,KNN,1.0,0.8458333333000001,Validation
2018-07-19,N05C,KNN,1.0,0.65,Validation
2016-02-21,N05C,KNN,2.0,0.475,Validation
2015-08-05,N05C,KNN,0.0,0.35,Validation
2018-09-12,N05C,KNN,0.0,0.25,Validation
2016-11-06,N05C,KNN,2.0,0.25,Validation
2015-07-22,N05C,KNN,0.0,0.2,Validation
2018-09-06,N05C,KNN,0.0,0.45,Validation
2018-06-25,N05C,KNN,3.0,0.6,Validation
2016-03-16,N05C,KNN,0.0,0.4,Validation
2014-07-15,N05C,KNN,0.0,0.55,Validation
2016-05-24,N05C,KNN,0.0,0.35,Validation
2018-07-31,N05C,KNN,0.0,0.5,Validation
2014-11-08,N05C,KNN,0.0,0.4,Validation
2018-12-27,N05C,KNN,0.0,0.55,Validation
2017-11-01,N05C,KNN,0.0,0.65,Validation
2017-11-11,N05C,KNN,0.0,0.4,Validation
2017-07-10,N05C,KNN,2.0,0.65,Validation
2019-05-29,N05C,KNN,1.0,0.95,Validation
2019-04-19,N05C,KNN,0.0,0.35,Validation
2016-10-12,N05C,KNN,1.0,0.5,Validation
2018-09-23,N05C,KNN,0.0,0.65,Validation
2014-07-29,N05C,KNN,3.0,0.6,Validation
2015-07-12,N05C,KNN,0.0,0.05,Validation
2017-03-01,N05C,KNN,0.0,0.4625,Validation
2017-10-26,N05C,KNN,1.0,0.6,Validation
2014-03-04,N05C,KNN,0.0,0.75,Validation
2015-09-22,N05C,KNN,2.0,0.45,Validation
2016-03-02,N05C,KNN,2.0,0.4125,Validation
2016-07-18,N05C,KNN,0.0,0.7,Validation
2019-01-08,N05C,KNN,0.0,1.25,Validation
2016-11-17,N05C,KNN,0.0,0.35,Validation
2019-04-09,N05C,KNN,0.0,1.1,Validation
2017-11-21,N05C,KNN,0.0,1.0,Validation
2018-07-14,N05C,KNN,0.0,0.4,Validation
2019-05-25,N05C,KNN,0.0,0.65,Validation
2018-04-17,N05C,KNN,0.0,1.15,Validation
2019-04-08,N05C,KNN,0.0,0.85,Validation
2016-10-11,N05C,KNN,1.0,0.8,Validation
2016-12-21,N05C,KNN,0.0,0.6,Validation
2016-11-20,N05C,KNN,0.0,0.2,Validation
2014-12-27,N05C,KNN,0.0,0.5,Validation
2015-11-06,N05C,KNN,2.0,0.25,Validation
2016-02-01,N05C,KNN,0.0,0.9375,Validation
2015-08-30,N05C,KNN,0.0,0.15,Validation
2017-04-02,N05C,KNN,0.0,0.05,Validation
2015-03-19,N05C,KNN,0.0,0.5,Validation
2018-12-29,N05C,KNN,0.0,0.25,Validation
2019-05-14,N05C,KNN,0.0,0.8,Validation
2015-05-22,N05C,KNN,0.0,0.6,Validation
2014-04-14,N05C,KNN,0.0,0.6,Validation
2019-09-10,N05C,KNN,0.0,0.35,Validation
2015-04-21,N05C,KNN,0.0,0.45,Validation
2019-04-20,N05C,KNN,3.0,0.6,Validation
