Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,N05C,RandomForest,0.0,0.5640004010389863,Train
2014-01-25,N05C,RandomForest,0.0,0.8232582332171535,Train
2015-10-05,N05C,RandomForest,1.0,0.5481152018195559,Train
2015-07-31,N05C,RandomForest,0.0,0.5412469966433917,Train
2015-09-09,N05C,RandomForest,0.0,0.5396488027191505,Train
2014-01-19,N05C,RandomForest,0.0,0.6231796253552937,Train
2016-03-27,N05C,RandomForest,1.0,0.37361691697432003,Train
2016-08-16,N05C,RandomForest,0.0,0.6403266933914376,Train
2018-12-16,N05C,RandomForest,0.0,0.3482091772666365,Train
2014-12-09,N05C,RandomForest,1.0,0.7321309354312706,Train
2017-09-16,N05C,RandomForest,0.0,0.5118623849568925,Train
2019-02-14,N05C,RandomForest,0.0,0.5686034914710959,Train
2015-02-15,N05C,RandomForest,0.0,0.39939456114633903,Train
2015-04-16,N05C,RandomForest,0.0,0.5229194374526648,Train
2016-11-30,N05C,RandomForest,0.0,0.6760816512060512,Train
2017-12-18,N05C,RandomForest,0.0,0.6178941649322831,Train
2016-12-16,N05C,RandomForest,3.0,0.6151561012370717,Train
2018-06-03,N05C,RandomForest,1.0,0.3457239563609879,Train
2014-04-06,N05C,RandomForest,0.0,0.34267278049235045,Train
2018-09-11,N05C,RandomForest,0.0,0.6800077114862065,Train
2016-06-10,N05C,RandomForest,2.0,0.5465609970479421,Train
2019-05-18,N05C,RandomForest,2.0,0.5306084362890354,Train
2019-01-19,N05C,RandomForest,0.0,0.633110348813672,Train
2019-01-15,N05C,RandomForest,0.0,0.8261296700288708,Train
2017-02-18,N05C,RandomForest,0.0,0.5420862161370176,Train
2019-01-16,N05C,RandomForest,0.0,0.8074565661998182,Train
2019-08-16,N05C,RandomForest,0.0,0.756531250768902,Train
2019-06-08,N05C,RandomForest,0.0,0.52800009266406,Train
2016-01-31,N05C,RandomForest,0.0,0.5914464645299833,Train
2015-11-11,N05C,RandomForest,0.0,0.6796701007078028,Train
2016-11-13,N05C,RandomForest,0.0,0.5136299715867744,Train
2019-04-12,N05C,RandomForest,0.0,0.5610978327238341,Train
2016-02-16,N05C,RandomForest,2.0,0.7409337625885534,Train
2014-06-05,N05C,RandomForest,0.0,0.5561082889125061,Train
2014-06-15,N05C,RandomForest,0.0,0.36833384613725456,Train
2018-04-01,N05C,RandomForest,1.0,0.4388955314007404,Train
2019-08-24,N05C,RandomForest,0.0,0.5382932120246046,Train
2019-02-27,N05C,RandomForest,0.0,0.5774623013022498,Train
2016-08-17,N05C,RandomForest,0.0,0.5449628031237009,Train
2017-05-08,N05C,RandomForest,3.0,0.5580681220373983,Train
2016-10-01,N05C,RandomForest,0.0,0.5214507795683805,Train
2016-12-23,N05C,RandomForest,0.0,0.6971695543803985,Train
2018-12-25,N05C,RandomForest,3.0,0.9055060223308996,Train
2017-06-05,N05C,RandomForest,0.0,0.6413649979269349,Train
2016-12-20,N05C,RandomForest,2.0,0.7271924551258158,Train
2016-03-18,N05C,RandomForest,2.0,0.6010363234636676,Train
2018-01-05,N05C,RandomForest,0.0,0.667341021593533,Train
2017-03-10,N05C,RandomForest,1.0,0.5909331013489985,Train
2015-03-31,N05C,RandomForest,0.0,0.6997861190732778,Train
2015-11-13,N05C,RandomForest,0.0,0.6891020639479701,Train
2014-04-13,N05C,RandomForest,0.0,0.33124797949492135,Train
2014-11-25,N05C,RandomForest,0.0,0.7321309354312706,Train
2014-08-05,N05C,RandomForest,0.0,0.7208473666994243,Train
2016-07-03,N05C,RandomForest,0.0,0.46715853434507765,Train
2014-08-10,N05C,RandomForest,0.0,0.5401156424378197,Train
2019-05-13,N05C,RandomForest,0.0,0.6661099211975353,Train
2017-08-19,N05C,RandomForest,0.0,0.5079062946468651,Train
2017-09-02,N05C,RandomForest,0.0,0.5308792987740529,Train
2017-02-04,N05C,RandomForest,0.833333333,0.6217996564638159,Train
2015-02-12,N05C,RandomForest,1.0,0.5544910153178417,Train
2017-03-08,N05C,RandomForest,0.0,0.5725490758023044,Train
2018-09-20,N05C,RandomForest,1.0,0.6034257185410804,Train
2016-01-27,N05C,RandomForest,5.0,0.9811523726314454,Train
2018-01-17,N05C,RandomForest,2.0,0.7288937815157037,Train
2014-07-10,N05C,RandomForest,0.0,0.5980332762695545,Train
2016-08-01,N05C,RandomForest,1.0,0.5609208876195415,Train
2019-06-22,N05C,RandomForest,2.0,0.5471901889759924,Train
2018-04-28,N05C,RandomForest,1.0,0.5272366143291256,Train
2015-02-21,N05C,RandomForest,0.0,0.5461894152496132,Train
2018-10-29,N05C,RandomForest,0.0,0.5847902177020338,Train
2018-05-25,N05C,RandomForest,0.0,0.5815838774793055,Train
2018-03-11,N05C,RandomForest,0.0,0.4757796862664383,Train
2018-12-21,N05C,RandomForest,1.0,0.6457163262996042,Train
2014-05-19,N05C,RandomForest,0.0,0.5630066023428532,Train
