Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2016-12-08,N05C,XGBoost,0.0,0.5729525,Validation
2016-10-09,N05C,XGBoost,0.0,0.3297833,Validation
2016-09-25,N05C,XGBoost,0.0,0.30160344,Validation
2019-05-07,N05C,XGBoost,0.0,0.7787721,Validation
2019-01-31,N05C,XGBoost,1.0,1.1823875,Validation
2015-01-29,N05C,XGBoost,3.0,0.67605424,Validation
2016-02-17,N05C,XGBoost,1.0,0.5754038,Validation
2015-03-22,N05C,XGBoost,0.0,0.349516,Validation
2016-04-03,N05C,XGBoost,0.0,0.30776402,Validation
2017-12-30,N05C,XGBoost,0.0,0.5173042,Validation
2019-01-07,N05C,XGBoost,0.0,0.73951495,Validation
2017-06-27,N05C,XGBoost,0.0,0.56663316,Validation
2017-05-25,N05C,XGBoost,0.0,0.4719695,Validation
2019-08-20,N05C,XGBoost,0.0,0.6857077,Validation
2018-10-27,N05C,XGBoost,1.0,0.55559564,Validation
2017-08-02,N05C,XGBoost,0.0,0.5057898,Validation
2016-03-31,N05C,XGBoost,0.0,0.4974299,Validation
2018-02-23,N05C,XGBoost,0.0,0.6257956,Validation
2017-06-30,N05C,XGBoost,0.0,0.52163,Validation
2014-08-11,N05C,XGBoost,0.0,0.5222034,Validation
2017-08-08,N05C,XGBoost,0.0,0.60507244,Validation
2015-08-18,N05C,XGBoost,0.0,0.543801,Validation
2015-06-09,N05C,XGBoost,0.0,0.65214175,Validation
2014-05-21,N05C,XGBoost,1.0,0.5729049,Validation
2016-03-20,N05C,XGBoost,0.0,0.36802235,Validation
2019-09-25,N05C,XGBoost,1.0,0.57610255,Validation
2018-11-28,N05C,XGBoost,2.0,0.645722,Validation
2015-01-04,N05C,XGBoost,0.0,0.5593064,Validation
2017-07-29,N05C,XGBoost,0.0,0.49028885,Validation
2018-04-05,N05C,XGBoost,1.0,0.54797024,Validation
2014-11-19,N05C,XGBoost,0.0,0.6640311,Validation
2014-09-04,N05C,XGBoost,1.0,0.54189324,Validation
2015-12-03,N05C,XGBoost,1.0,0.59919786,Validation
2014-03-10,N05C,XGBoost,0.0,0.6805476,Validation
2017-12-05,N05C,XGBoost,0.0,0.76637846,Validation
2016-12-01,N05C,XGBoost,0.0,0.77752656,Validation
2015-05-26,N05C,XGBoost,0.0,0.5632986,Validation
2019-07-26,N05C,XGBoost,0.0,0.6138628,Validation
2018-09-27,N05C,XGBoost,0.0,0.5452147,Validation
2019-09-24,N05C,XGBoost,0.0,0.73780656,Validation
2017-10-05,N05C,XGBoost,0.0,0.4892646,Validation
2018-06-30,N05C,XGBoost,2.0,0.530232,Validation
2018-10-07,N05C,XGBoost,0.0,0.38416314,Validation
2019-06-09,N05C,XGBoost,4.0,0.39606613,Validation
2015-01-07,N05C,XGBoost,0.0,0.9921715,Validation
2016-02-22,N05C,XGBoost,0.0,0.5999235,Validation
2018-01-25,N05C,XGBoost,0.0,0.75921285,Validation
2015-09-07,N05C,XGBoost,1.0,0.523186,Validation
2018-10-03,N05C,XGBoost,2.0,0.5407606,Validation
2019-08-18,N05C,XGBoost,0.0,0.5268036,Validation
2018-03-03,N05C,XGBoost,1.0,0.7373295,Validation
2018-07-19,N05C,XGBoost,1.0,0.52756673,Validation
