Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,N05C,XGBoost,0.0,0.5703301,Train
2014-01-25,N05C,XGBoost,0.0,0.6383323,Train
2015-10-05,N05C,XGBoost,1.0,0.5253642,Train
2015-07-31,N05C,XGBoost,0.0,0.5072345,Train
2015-09-09,N05C,XGBoost,0.0,0.52362704,Train
2014-01-19,N05C,XGBoost,0.0,0.6732248,Train
2016-03-27,N05C,XGBoost,1.0,0.40640953,Train
2016-08-16,N05C,XGBoost,0.0,0.58559304,Train
2018-12-16,N05C,XGBoost,0.0,0.4379058,Train
2014-12-09,N05C,XGBoost,1.0,0.7596573,Train
2017-09-16,N05C,XGBoost,0.0,0.49815118,Train
2019-02-14,N05C,XGBoost,0.0,0.61893994,Train
2015-02-15,N05C,XGBoost,0.0,0.4283075,Train
2015-04-16,N05C,XGBoost,0.0,0.48127055,Train
2016-11-30,N05C,XGBoost,0.0,0.7501963,Train
2017-12-18,N05C,XGBoost,0.0,0.62555635,Train
2016-12-16,N05C,XGBoost,3.0,0.57348645,Train
2018-06-03,N05C,XGBoost,1.0,0.40517366,Train
2014-04-06,N05C,XGBoost,0.0,0.31877637,Train
2018-09-11,N05C,XGBoost,0.0,0.6295112,Train
2016-06-10,N05C,XGBoost,2.0,0.49495283,Train
2019-05-18,N05C,XGBoost,2.0,0.5298618,Train
2019-01-19,N05C,XGBoost,0.0,0.6108606,Train
2019-01-15,N05C,XGBoost,0.0,0.89995486,Train
2017-02-18,N05C,XGBoost,0.0,0.5260729,Train
2019-01-16,N05C,XGBoost,0.0,0.8460205,Train
2019-08-16,N05C,XGBoost,0.0,0.8263931,Train
2019-06-08,N05C,XGBoost,0.0,0.5256837,Train
2016-01-31,N05C,XGBoost,0.0,0.6111263,Train
2015-11-11,N05C,XGBoost,0.0,0.709909,Train
2016-11-13,N05C,XGBoost,0.0,0.5420848,Train
2019-04-12,N05C,XGBoost,0.0,0.51999915,Train
2016-02-16,N05C,XGBoost,2.0,0.72864103,Train
2014-06-05,N05C,XGBoost,0.0,0.5824588,Train
2014-06-15,N05C,XGBoost,0.0,0.52116907,Train
2018-04-01,N05C,XGBoost,1.0,0.4856567,Train
2019-08-24,N05C,XGBoost,0.0,0.54822534,Train
2019-02-27,N05C,XGBoost,0.0,0.595191,Train
2016-08-17,N05C,XGBoost,0.0,0.5380421,Train
2017-05-08,N05C,XGBoost,3.0,0.5140735,Train
2016-10-01,N05C,XGBoost,0.0,0.5025388,Train
2016-12-23,N05C,XGBoost,0.0,0.6892021,Train
2018-12-25,N05C,XGBoost,3.0,1.0381444,Train
2017-06-05,N05C,XGBoost,0.0,0.64925027,Train
2016-12-20,N05C,XGBoost,2.0,0.73769677,Train
2016-03-18,N05C,XGBoost,2.0,0.5624128,Train
2018-01-05,N05C,XGBoost,0.0,0.69806695,Train
2017-03-10,N05C,XGBoost,1.0,0.58412397,Train
2015-03-31,N05C,XGBoost,0.0,0.6834001,Train
2015-11-13,N05C,XGBoost,0.0,0.6389216,Train
2014-04-13,N05C,XGBoost,0.0,0.34445733,Train
2014-11-25,N05C,XGBoost,0.0,0.7606791,Train
2014-08-05,N05C,XGBoost,0.0,0.74775046,Train
2016-07-03,N05C,XGBoost,0.0,0.74648386,Train
2014-08-10,N05C,XGBoost,0.0,0.37024513,Train
2019-05-13,N05C,XGBoost,0.0,0.65142167,Train
2017-08-19,N05C,XGBoost,0.0,0.48858833,Train
2017-09-02,N05C,XGBoost,0.0,0.5213634,Train
2017-02-04,N05C,XGBoost,0.833333333,0.62895155,Train
2015-02-12,N05C,XGBoost,1.0,0.56145996,Train
2017-03-08,N05C,XGBoost,0.0,0.57550716,Train
2018-09-20,N05C,XGBoost,1.0,0.5592277,Train
2016-01-27,N05C,XGBoost,5.0,1.1281364,Train
2018-01-17,N05C,XGBoost,2.0,0.83528644,Train
2014-07-10,N05C,XGBoost,0.0,0.6388629,Train
2016-08-01,N05C,XGBoost,1.0,0.5405638,Train
2019-06-22,N05C,XGBoost,2.0,0.61003536,Train
2018-04-28,N05C,XGBoost,1.0,0.52094966,Train
2015-02-21,N05C,XGBoost,0.0,0.5299402,Train
2018-10-29,N05C,XGBoost,0.0,0.56043786,Train
2018-05-25,N05C,XGBoost,0.0,0.5971131,Train
2018-03-11,N05C,XGBoost,0.0,0.53558725,Train
2018-12-21,N05C,XGBoost,1.0,0.6111147,Train
2014-05-19,N05C,XGBoost,0.0,0.55836815,Train
2017-08-25,N05C,XGBoost,0.0,0.51409847,Train
2017-05-28,N05C,XGBoost,0.0,0.35831925,Train
2016-09-22,N05C,XGBoost,0.0,0.51488256,Train
2014-01-30,N05C,XGBoost,1.0,0.86545223,Train
2018-08-26,N05C,XGBoost,0.0,0.37307766,Train
2017-04-23,N05C,XGBoost,0.0,0.3848255,Train
2019-03-11,N05C,XGBoost,3.0,0.6119889,Train
2014-05-16,N05C,XGBoost,1.0,0.6729731,Train
2017-04-20,N05C,XGBoost,0.0,0.47709447,Train
2019-06-13,N05C,XGBoost,0.0,0.622832,Train
2017-02-11,N05C,XGBoost,1.0,0.5515908,Train
2016-04-27,N05C,XGBoost,0.0,0.5543848,Train
2016-06-07,N05C,XGBoost,0.0,0.5602126,Train
2019-09-15,N05C,XGBoost,0.0,0.39356315,Train
2018-08-07,N05C,XGBoost,1.0,0.64813226,Train
2017-05-10,N05C,XGBoost,0.0,0.4577594,Train
2018-10-13,N05C,XGBoost,0.0,0.5211073,Train
2016-12-03,N05C,XGBoost,0.0,0.6676029,Train
2017-08-17,N05C,XGBoost,0.0,0.5024765,Train
2015-06-19,N05C,XGBoost,2.0,0.59518135,Train
2017-10-28,N05C,XGBoost,0.0,0.6357659,Train
2014-08-26,N05C,XGBoost,1.0,0.5951954,Train
2018-03-21,N05C,XGBoost,0.0,0.6414049,Train
2015-08-21,N05C,XGBoost,1.0,0.52743345,Train
2014-01-31,N05C,XGBoost,0.0,0.8983215,Train
2017-01-25,N05C,XGBoost,2.083333333,0.9850923,Train
2018-05-31,N05C,XGBoost,0.0,0.4891255,Train
2017-12-27,N05C,XGBoost,0.0,0.6156619,Train
2017-02-21,N05C,XGBoost,0.0,0.8233424,Train
2016-01-10,N05C,XGBoost,1.0,0.5297634,Train
2017-10-24,N05C,XGBoost,0.0,0.61946756,Train
2017-09-22,N05C,XGBoost,0.0,0.575825,Train
2017-06-12,N05C,XGBoost,0.0,0.5140735,Train
2017-05-16,N05C,XGBoost,0.0,0.77350366,Train
2018-07-01,N05C,XGBoost,0.0,0.40053427,Train
2018-11-24,N05C,XGBoost,0.0,0.57855487,Train
2017-05-05,N05C,XGBoost,0.0,0.54107046,Train
2016-03-14,N05C,XGBoost,0.0,0.58330226,Train
2019-05-28,N05C,XGBoost,2.0,0.63731307,Train
2018-03-07,N05C,XGBoost,5.0,1.5413306,Train
2015-01-20,N05C,XGBoost,1.0,0.9169286,Train
2017-01-18,N05C,XGBoost,1.25,0.8872976,Train
2015-08-14,N05C,XGBoost,0.0,0.5692263,Train
2014-07-13,N05C,XGBoost,0.0,0.37050992,Train
2014-07-07,N05C,XGBoost,0.0,0.5583593,Train
2018-01-14,N05C,XGBoost,0.0,0.50694984,Train
2016-01-11,N05C,XGBoost,0.0,0.70009714,Train
2016-12-25,N05C,XGBoost,0.0,0.4443114,Train
2018-05-14,N05C,XGBoost,1.0,0.5436894,Train
2015-04-06,N05C,XGBoost,0.0,0.5268199,Train
2015-07-29,N05C,XGBoost,0.0,0.5185601,Train
2019-04-14,N05C,XGBoost,1.0,0.414244,Train
2014-10-16,N05C,XGBoost,0.625,0.6116621,Train
2019-03-06,N05C,XGBoost,1.0,0.6044741,Train
2015-06-04,N05C,XGBoost,0.0,0.43042994,Train
2016-06-14,N05C,XGBoost,1.0,0.5602126,Train
2016-11-10,N05C,XGBoost,2.0,0.5741308,Train
2017-02-01,N05C,XGBoost,0.416666667,0.6424201,Train
2017-10-03,N05C,XGBoost,3.0,1.0162565,Train
2018-02-11,N05C,XGBoost,0.0,0.49101114,Train
2016-05-16,N05C,XGBoost,0.0,0.5140735,Train
2015-04-02,N05C,XGBoost,0.0,0.50320226,Train
2019-09-07,N05C,XGBoost,3.0,0.5769987,Train
2016-05-15,N05C,XGBoost,0.0,0.35236132,Train
2015-02-20,N05C,XGBoost,0.0,0.6024797,Train
2017-02-13,N05C,XGBoost,0.0,0.6797649,Train
2014-02-09,N05C,XGBoost,0.0,0.6779157,Train
2015-08-24,N05C,XGBoost,0.0,0.4698327,Train
2014-06-09,N05C,XGBoost,4.0,0.7520446,Train
2017-07-31,N05C,XGBoost,0.0,0.52107084,Train
2018-09-08,N05C,XGBoost,0.0,0.50119895,Train
2017-12-31,N05C,XGBoost,0.0,0.40554282,Train
2014-05-18,N05C,XGBoost,0.0,0.3814241,Train
2019-09-20,N05C,XGBoost,0.0,0.65308976,Train
2019-07-27,N05C,XGBoost,3.0,0.5231614,Train
2015-07-28,N05C,XGBoost,0.0,0.55300134,Train
2018-07-06,N05C,XGBoost,0.0,0.5622524,Train
2014-09-07,N05C,XGBoost,0.0,0.3716182,Train
2018-02-01,N05C,XGBoost,0.0,0.6009334,Train
2015-09-29,N05C,XGBoost,0.0,0.6271078,Train
2017-08-11,N05C,XGBoost,3.0,0.59473324,Train
2019-08-14,N05C,XGBoost,0.0,0.56879306,Train
2017-04-14,N05C,XGBoost,0.0,0.5651228,Train
2015-02-17,N05C,XGBoost,0.0,0.6644984,Train
2019-05-19,N05C,XGBoost,0.0,0.42975712,Train
2014-03-11,N05C,XGBoost,1.0,0.6296612,Train
2016-08-30,N05C,XGBoost,0.0,0.5608563,Train
2016-08-24,N05C,XGBoost,0.0,0.5682816,Train
2015-11-25,N05C,XGBoost,0.0,0.59698117,Train
2017-07-13,N05C,XGBoost,3.0,0.51323014,Train
2015-02-16,N05C,XGBoost,0.0,0.59600157,Train
2015-04-19,N05C,XGBoost,0.0,0.34450635,Train
2014-05-30,N05C,XGBoost,0.0,0.6564341,Train
2016-10-07,N05C,XGBoost,0.0,0.51508945,Train
2018-05-12,N05C,XGBoost,0.0,0.51854575,Train
2016-02-10,N05C,XGBoost,0.0,0.69155395,Train
2017-03-12,N05C,XGBoost,4.0,0.42664206,Train
2014-12-31,N05C,XGBoost,3.0,0.65714955,Train
2015-01-06,N05C,XGBoost,0.0,0.81631225,Train
2016-03-19,N05C,XGBoost,1.0,0.51537526,Train
2017-03-11,N05C,XGBoost,1.0,0.5224415,Train
2014-05-31,N05C,XGBoost,0.0,0.5056898,Train
2014-02-08,N05C,XGBoost,1.0,0.66296023,Train
2016-01-28,N05C,XGBoost,0.0,0.77709866,Train
2015-07-20,N05C,XGBoost,0.0,0.45769957,Train
2014-06-25,N05C,XGBoost,0.0,0.5651597,Train
2014-01-12,N05C,XGBoost,0.0,0.5549484,Train
2015-03-06,N05C,XGBoost,0.0,0.59502447,Train
2019-03-12,N05C,XGBoost,0.0,0.931804,Train
2014-09-02,N05C,XGBoost,0.0,0.589922,Train
2019-10-05,N05C,XGBoost,0.0,0.55410975,Train
2015-02-03,N05C,XGBoost,0.0,0.8402492,Train
2016-04-30,N05C,XGBoost,0.0,0.4634847,Train
2019-04-29,N05C,XGBoost,0.0,0.5539137,Train
2018-03-08,N05C,XGBoost,0.0,0.74490494,Train
2015-02-19,N05C,XGBoost,2.0,0.57383853,Train
2014-09-21,N05C,XGBoost,0.0,0.3722505,Train
2018-04-29,N05C,XGBoost,0.0,0.3908837,Train
2017-12-15,N05C,XGBoost,0.0,0.5781798,Train
2018-01-09,N05C,XGBoost,6.0,1.0636582,Train
2016-10-08,N05C,XGBoost,0.0,0.48362142,Train
2015-02-23,N05C,XGBoost,0.0,0.59946275,Train
2015-06-11,N05C,XGBoost,0.0,0.48127055,Train
2015-10-19,N05C,XGBoost,0.0,0.5339361,Train
2017-08-22,N05C,XGBoost,0.0,0.59393746,Train
2019-06-05,N05C,XGBoost,0.0,0.55785125,Train
2019-09-11,N05C,XGBoost,0.0,0.48804688,Train
2018-10-19,N05C,XGBoost,2.0,0.58384913,Train
2015-11-03,N05C,XGBoost,0.0,0.7335442,Train
2015-02-28,N05C,XGBoost,0.0,0.52083194,Train
2017-08-27,N05C,XGBoost,2.0,0.36531663,Train
2017-10-17,N05C,XGBoost,2.0,0.56720996,Train
2014-12-21,N05C,XGBoost,0.0,0.3998934,Train
