Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2016-12-08,R03,KNN,2.0,8.2,Validation
2016-10-09,R03,KNN,9.0,6.7,Validation
2016-09-25,R03,KNN,10.0,4.7,Validation
2019-05-07,R03,KNN,6.0,9.614583333499999,Validation
2019-01-31,R03,KNN,20.0,8.1,Validation
2015-01-29,R03,KNN,11.0,2.98333333335,Validation
2016-02-17,R03,KNN,1.0,5.0583333335,Validation
2015-03-22,R03,KNN,10.0,6.7125,Validation
2016-04-03,R03,KNN,6.0,7.7,Validation
2017-12-30,R03,KNN,10.0,5.95,Validation
2019-01-07,R03,KNN,0.0,7.05,Validation
2017-06-27,R03,KNN,3.0,3.8,Validation
2017-05-25,R03,KNN,2.0,4.4,Validation
2019-08-20,R03,KNN,2.0,3.65,Validation
2018-10-27,R03,KNN,7.0,7.6645833334999995,Validation
2017-08-02,R03,KNN,1.0,3.05,Validation
2016-03-31,R03,KNN,5.0,8.7,Validation
2018-02-23,R03,KNN,12.0,9.3125,Validation
2017-06-30,R03,KNN,0.0,6.2,Validation
2014-08-11,R03,KNN,0.0,1.25,Validation
2017-08-08,R03,KNN,0.0,2.1,Validation
2015-08-18,R03,KNN,3.0,1.7,Validation
2015-06-09,R03,KNN,0.0,5.1,Validation
2014-05-21,R03,KNN,0.0,4.1,Validation
2016-03-20,R03,KNN,15.0,6.479166666649999,Validation
2019-09-25,R03,KNN,1.416666667,2.85,Validation
2018-11-28,R03,KNN,8.0,8.85,Validation
2015-01-04,R03,KNN,2.0,4.27916666665,Validation
2017-07-29,R03,KNN,0.0,3.45,Validation
2018-04-05,R03,KNN,16.0,5.5,Validation
2014-11-19,R03,KNN,10.0,5.15,Validation
2014-09-04,R03,KNN,0.0,3.25,Validation
2015-12-03,R03,KNN,1.0,5.55,Validation
2014-03-10,R03,KNN,0.0,5.0,Validation
2017-12-05,R03,KNN,6.0,7.25,Validation
2016-12-01,R03,KNN,9.0,6.0,Validation
2015-05-26,R03,KNN,22.0,2.35,Validation
2019-07-26,R03,KNN,8.0,5.7208333335,Validation
2018-09-27,R03,KNN,7.0,5.95,Validation
2019-09-24,R03,KNN,1.0,5.45,Validation
2017-10-05,R03,KNN,11.0,5.2,Validation
2018-06-30,R03,KNN,0.0,4.3,Validation
2018-10-07,R03,KNN,9.0,8.65,Validation
2019-06-09,R03,KNN,0.0,8.1958333333,Validation
2015-01-07,R03,KNN,0.0,7.683333333350001,Validation
2016-02-22,R03,KNN,12.0,6.8,Validation
2018-01-25,R03,KNN,7.0,6.6,Validation
2015-09-07,R03,KNN,5.0,3.75,Validation
2018-10-03,R03,KNN,5.0,5.25,Validation
2019-08-18,R03,KNN,7.0,4.55,Validation
2018-03-03,R03,KNN,10.0,8.125,Validation
2018-07-19,R03,KNN,0.0,5.85,Validation
2016-02-21,R03,KNN,7.0,8.76666666665,Validation
2015-08-05,R03,KNN,0.0,3.3,Validation
2018-09-12,R03,KNN,5.0,6.6,Validation
2016-11-06,R03,KNN,11.0,2.55,Validation
2015-07-22,R03,KNN,5.0,1.65,Validation
2018-09-06,R03,KNN,5.0,3.2,Validation
2018-06-25,R03,KNN,5.0,2.5,Validation
2016-03-16,R03,KNN,4.0,7.4,Validation
2014-07-15,R03,KNN,0.0,3.6,Validation
2016-05-24,R03,KNN,3.0,2.6833333333500002,Validation
2018-07-31,R03,KNN,0.0,3.05,Validation
2014-11-08,R03,KNN,17.0,4.7,Validation
2018-12-27,R03,KNN,7.0,4.5,Validation
2017-11-01,R03,KNN,3.0,6.35,Validation
2017-11-11,R03,KNN,2.0,7.0,Validation
2017-07-10,R03,KNN,7.0,2.8,Validation
2019-05-29,R03,KNN,0.0,6.65,Validation
2019-04-19,R03,KNN,6.0,5.65,Validation
2016-10-12,R03,KNN,17.0,5.55,Validation
2018-09-23,R03,KNN,8.0,5.8,Validation
2014-07-29,R03,KNN,0.0,1.7,Validation
2015-07-12,R03,KNN,0.0,2.0,Validation
2017-03-01,R03,KNN,5.0,7.4125,Validation
2017-10-26,R03,KNN,5.0,8.65,Validation
2014-03-04,R03,KNN,5.0,4.75,Validation
2015-09-22,R03,KNN,5.0,2.85,Validation
2016-03-02,R03,KNN,1.0,6.38333333335,Validation
2016-07-18,R03,KNN,3.0,4.35,Validation
2019-01-08,R03,KNN,10.0,5.68333333335,Validation
2016-11-17,R03,KNN,1.0,6.6,Validation
2019-04-09,R03,KNN,3.0,8.13333333335,Validation
2017-11-21,R03,KNN,2.0,5.61666666665,Validation
2018-07-14,R03,KNN,0.0,3.8,Validation
2019-05-25,R03,KNN,16.0,7.4291666666500005,Validation
2018-04-17,R03,KNN,6.0,5.2,Validation
2019-04-08,R03,KNN,4.0,10.2,Validation
2016-10-11,R03,KNN,8.0,6.7,Validation
2016-12-21,R03,KNN,6.0,4.2,Validation
2016-11-20,R03,KNN,0.0,3.55,Validation
2014-12-27,R03,KNN,9.0,3.65,Validation
2015-11-06,R03,KNN,1.0,3.55,Validation
2016-02-01,R03,KNN,6.0,7.88333333335,Validation
2015-08-30,R03,KNN,6.0,1.65,Validation
2017-04-02,R03,KNN,9.0,5.4,Validation
2015-03-19,R03,KNN,15.0,4.85,Validation
2018-12-29,R03,KNN,7.0,7.983333333350001,Validation
2019-05-14,R03,KNN,11.0,8.75,Validation
2015-05-22,R03,KNN,0.0,2.3,Validation
2014-04-14,R03,KNN,5.0,3.75,Validation
2019-09-10,R03,KNN,1.0,3.7,Validation
2015-04-21,R03,KNN,0.0,4.55,Validation
2019-04-20,R03,KNN,0.0,5.7,Validation
2018-03-04,R03,KNN,14.0,8.629166666649999,Validation
2016-01-03,R03,KNN,5.0,5.7125,Validation
2015-07-14,R03,KNN,2.0,3.35,Validation
2014-02-11,R03,KNN,6.0,3.47916666665,Validation
2018-01-24,R03,KNN,4.0,6.9,Validation
2017-03-27,R03,KNN,1.0,4.95,Validation
2018-09-25,R03,KNN,22.0,5.7,Validation
2017-04-27,R03,KNN,0.0,4.65,Validation
2015-08-11,R03,KNN,0.0,1.9,Validation
2017-08-26,R03,KNN,6.0,5.8,Validation
2015-08-26,R03,KNN,1.0,1.7,Validation
2018-12-03,R03,KNN,13.0,10.2,Validation
2015-11-29,R03,KNN,4.0,6.35,Validation
2016-07-23,R03,KNN,0.0,4.75,Validation
2017-11-17,R03,KNN,30.0,7.3,Validation
2018-09-09,R03,KNN,0.0,6.25,Validation
2016-01-17,R03,KNN,0.0,4.2833333333,Validation
2018-04-08,R03,KNN,0.0,11.85,Validation
2018-11-13,R03,KNN,18.0,8.0,Validation
2016-03-13,R03,KNN,4.0,5.0625,Validation
2019-08-06,R03,KNN,6.0,5.95,Validation
2018-01-23,R03,KNN,5.0,6.15833333335,Validation
2019-02-23,R03,KNN,0.0,7.45,Validation
2016-07-27,R03,KNN,9.0,3.85,Validation
2014-06-23,R03,KNN,2.0,1.4,Validation
2016-06-03,R03,KNN,1.0,5.15,Validation
2015-10-14,R03,KNN,0.0,7.75,Validation
2015-09-16,R03,KNN,2.0,5.75,Validation
2016-10-31,R03,KNN,17.0,6.8,Validation
2016-07-09,R03,KNN,0.0,3.55,Validation
2017-03-22,R03,KNN,2.0,4.44166666665,Validation
2017-04-29,R03,KNN,1.0,5.075,Validation
2017-11-07,R03,KNN,0.0,6.4,Validation
2014-10-21,R03,KNN,20.0,5.5,Validation
2018-11-19,R03,KNN,3.0,11.4,Validation
2014-08-03,R03,KNN,0.0,4.45,Validation
2019-02-10,R03,KNN,0.0,5.73333333335,Validation
2015-06-02,R03,KNN,3.0,3.15,Validation
2014-07-08,R03,KNN,5.0,1.85,Validation
2014-11-16,R03,KNN,0.0,2.45,Validation
2016-02-26,R03,KNN,0.0,11.216666666650001,Validation
2014-05-25,R03,KNN,5.0,2.1,Validation
2017-11-19,R03,KNN,6.0,7.4,Validation
2014-09-09,R03,KNN,2.0,2.5,Validation
2015-12-16,R03,KNN,11.0,9.85,Validation
2019-03-10,R03,KNN,3.0,7.3,Validation
2019-09-08,R03,KNN,3.0,4.9,Validation
2018-03-09,R03,KNN,10.0,6.529166666649999,Validation
2016-02-12,R03,KNN,20.0,6.80000000015,Validation
2017-03-15,R03,KNN,0.0,8.59166666665,Validation
2019-07-02,R03,KNN,1.0,3.45,Validation
2017-07-06,R03,KNN,1.0,11.9125,Validation
2014-12-10,R03,KNN,6.0,5.8,Validation
