Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2016-12-08,R03,RandomForest,2.0,8.287145501583119,Validation
2016-10-09,R03,RandomForest,9.0,6.300032838983461,Validation
2016-09-25,R03,RandomForest,10.0,4.80711557177392,Validation
2019-05-07,R03,RandomForest,6.0,8.072264784313067,Validation
2019-01-31,R03,RandomForest,20.0,10.257274881048799,Validation
2015-01-29,R03,RandomForest,11.0,5.771807900927014,Validation
2016-02-17,R03,RandomForest,1.0,6.13237491297352,Validation
2015-03-22,R03,RandomForest,10.0,6.561114321208849,Validation
2016-04-03,R03,RandomForest,6.0,7.48411431094116,Validation
2017-12-30,R03,RandomForest,10.0,6.595193570362636,Validation
2019-01-07,R03,RandomForest,0.0,7.792180748613697,Validation
2017-06-27,R03,RandomForest,3.0,4.243577125423217,Validation
2017-05-25,R03,RandomForest,2.0,4.9254535829420805,Validation
2019-08-20,R03,RandomForest,2.0,4.636801670788075,Validation
2018-10-27,R03,RandomForest,7.0,9.98969537749124,Validation
2017-08-02,R03,RandomForest,1.0,2.699337899272534,Validation
2016-03-31,R03,RandomForest,5.0,6.143751861745337,Validation
2018-02-23,R03,RandomForest,12.0,6.7917869128282895,Validation
2017-06-30,R03,RandomForest,0.0,5.175645488722707,Validation
2014-08-11,R03,RandomForest,0.0,2.402309829521689,Validation
2017-08-08,R03,RandomForest,0.0,2.5652694791134483,Validation
2015-08-18,R03,RandomForest,3.0,2.525411461323574,Validation
2015-06-09,R03,RandomForest,0.0,6.062981115537633,Validation
2014-05-21,R03,RandomForest,0.0,3.89589233106866,Validation
2016-03-20,R03,RandomForest,15.0,7.180186142117533,Validation
2019-09-25,R03,RandomForest,1.416666667,4.342061723489346,Validation
2018-11-28,R03,RandomForest,8.0,7.4082354619600554,Validation
2015-01-04,R03,RandomForest,2.0,5.101406838104567,Validation
2017-07-29,R03,RandomForest,0.0,2.525411461323574,Validation
2018-04-05,R03,RandomForest,16.0,6.625759177101413,Validation
2014-11-19,R03,RandomForest,10.0,5.076921045574734,Validation
2014-09-04,R03,RandomForest,0.0,4.000496890908236,Validation
2015-12-03,R03,RandomForest,1.0,4.844735780220255,Validation
2014-03-10,R03,RandomForest,0.0,4.07250132807699,Validation
2017-12-05,R03,RandomForest,6.0,6.490795650819159,Validation
2016-12-01,R03,RandomForest,9.0,6.279810044555384,Validation
