Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2016-12-08,R03,XGBoost,2.0,7.223323,Validation
2016-10-09,R03,XGBoost,9.0,6.0771656,Validation
2016-09-25,R03,XGBoost,10.0,5.3076696,Validation
2019-05-07,R03,XGBoost,6.0,6.7204447,Validation
2019-01-31,R03,XGBoost,20.0,7.032143,Validation
2015-01-29,R03,XGBoost,11.0,5.4870324,Validation
2016-02-17,R03,XGBoost,1.0,5.8863034,Validation
2015-03-22,R03,XGBoost,10.0,6.288072,Validation
2016-04-03,R03,XGBoost,6.0,5.9658966,Validation
2017-12-30,R03,XGBoost,10.0,6.2994246,Validation
2019-01-07,R03,XGBoost,0.0,7.0606246,Validation
2017-06-27,R03,XGBoost,3.0,4.680156,Validation
2017-05-25,R03,XGBoost,2.0,4.9287295,Validation
2019-08-20,R03,XGBoost,2.0,4.8422785,Validation
2018-10-27,R03,XGBoost,7.0,8.232911,Validation
2017-08-02,R03,XGBoost,1.0,4.1073155,Validation
2016-03-31,R03,XGBoost,5.0,5.913531,Validation
2018-02-23,R03,XGBoost,12.0,6.216962,Validation
2017-06-30,R03,XGBoost,0.0,5.4404116,Validation
2014-08-11,R03,XGBoost,0.0,3.7975452,Validation
2017-08-08,R03,XGBoost,0.0,3.884945,Validation
2015-08-18,R03,XGBoost,3.0,3.8315256,Validation
2015-06-09,R03,XGBoost,0.0,5.7536736,Validation
2014-05-21,R03,XGBoost,0.0,4.4099545,Validation
2016-03-20,R03,XGBoost,15.0,6.426936,Validation
2019-09-25,R03,XGBoost,1.416666667,4.8743877,Validation
2018-11-28,R03,XGBoost,8.0,7.1158814,Validation
2015-01-04,R03,XGBoost,2.0,5.2623625,Validation
2017-07-29,R03,XGBoost,0.0,4.019912,Validation
2018-04-05,R03,XGBoost,16.0,6.00948,Validation
2014-11-19,R03,XGBoost,10.0,5.218777,Validation
2014-09-04,R03,XGBoost,0.0,4.6358647,Validation
2015-12-03,R03,XGBoost,1.0,5.263485,Validation
2014-03-10,R03,XGBoost,0.0,4.6904397,Validation
2017-12-05,R03,XGBoost,6.0,5.993629,Validation
2016-12-01,R03,XGBoost,9.0,5.981298,Validation
2015-05-26,R03,XGBoost,22.0,3.9432075,Validation
2019-07-26,R03,XGBoost,8.0,5.202296,Validation
2018-09-27,R03,XGBoost,7.0,6.212387,Validation
2019-09-24,R03,XGBoost,1.0,5.5155573,Validation
2017-10-05,R03,XGBoost,11.0,5.768702,Validation
2018-06-30,R03,XGBoost,0.0,4.71055,Validation
2018-10-07,R03,XGBoost,9.0,6.4418974,Validation
2019-06-09,R03,XGBoost,0.0,6.664611,Validation
2015-01-07,R03,XGBoost,0.0,5.8656797,Validation
2016-02-22,R03,XGBoost,12.0,6.4101205,Validation
2018-01-25,R03,XGBoost,7.0,5.383577,Validation
2015-09-07,R03,XGBoost,5.0,4.861645,Validation
2018-10-03,R03,XGBoost,5.0,6.4853787,Validation
2019-08-18,R03,XGBoost,7.0,5.3593154,Validation
2018-03-03,R03,XGBoost,10.0,6.721018,Validation
2018-07-19,R03,XGBoost,0.0,4.892005,Validation
2016-02-21,R03,XGBoost,7.0,6.3971477,Validation
2015-08-05,R03,XGBoost,0.0,3.9880822,Validation
2018-09-12,R03,XGBoost,5.0,5.4466248,Validation
2016-11-06,R03,XGBoost,11.0,5.136552,Validation
2015-07-22,R03,XGBoost,5.0,3.9947665,Validation
2018-09-06,R03,XGBoost,5.0,5.2890334,Validation
2018-06-25,R03,XGBoost,5.0,4.6673994,Validation
2016-03-16,R03,XGBoost,4.0,6.3912635,Validation
2014-07-15,R03,XGBoost,0.0,4.687489,Validation
2016-05-24,R03,XGBoost,3.0,5.437105,Validation
2018-07-31,R03,XGBoost,0.0,3.9177954,Validation
2014-11-08,R03,XGBoost,17.0,5.2301655,Validation
2018-12-27,R03,XGBoost,7.0,6.9471226,Validation
2017-11-01,R03,XGBoost,3.0,5.586988,Validation
2017-11-11,R03,XGBoost,2.0,6.052324,Validation
2017-07-10,R03,XGBoost,7.0,5.0775685,Validation
2019-05-29,R03,XGBoost,0.0,5.997013,Validation
2019-04-19,R03,XGBoost,6.0,6.40491,Validation
2016-10-12,R03,XGBoost,17.0,5.432166,Validation
2018-09-23,R03,XGBoost,8.0,6.04851,Validation
2014-07-29,R03,XGBoost,0.0,3.8630376,Validation
2015-07-12,R03,XGBoost,0.0,4.867597,Validation
2017-03-01,R03,XGBoost,5.0,6.1010976,Validation
2017-10-26,R03,XGBoost,5.0,6.6505575,Validation
2014-03-04,R03,XGBoost,5.0,4.599103,Validation
2015-09-22,R03,XGBoost,5.0,4.6554413,Validation
2016-03-02,R03,XGBoost,1.0,5.896491,Validation
2016-07-18,R03,XGBoost,3.0,4.8695254,Validation
2019-01-08,R03,XGBoost,10.0,6.0395746,Validation
2016-11-17,R03,XGBoost,1.0,5.567479,Validation
2019-04-09,R03,XGBoost,3.0,6.146213,Validation
2017-11-21,R03,XGBoost,2.0,6.0902596,Validation
2018-07-14,R03,XGBoost,0.0,4.590937,Validation
2019-05-25,R03,XGBoost,16.0,6.419683,Validation
2018-04-17,R03,XGBoost,6.0,5.5401654,Validation
2019-04-08,R03,XGBoost,4.0,6.5845084,Validation
2016-10-11,R03,XGBoost,8.0,5.754705,Validation
2016-12-21,R03,XGBoost,6.0,5.767397,Validation
2016-11-20,R03,XGBoost,0.0,5.37762,Validation
2014-12-27,R03,XGBoost,9.0,5.7558217,Validation
2015-11-06,R03,XGBoost,1.0,5.137295,Validation
2016-02-01,R03,XGBoost,6.0,7.003062,Validation
2015-08-30,R03,XGBoost,6.0,3.8779507,Validation
2017-04-02,R03,XGBoost,9.0,5.1714845,Validation
2015-03-19,R03,XGBoost,15.0,5.616212,Validation
2018-12-29,R03,XGBoost,7.0,7.2165833,Validation
2019-05-14,R03,XGBoost,11.0,7.7128572,Validation
2015-05-22,R03,XGBoost,0.0,4.203377,Validation
2014-04-14,R03,XGBoost,5.0,4.980455,Validation
2019-09-10,R03,XGBoost,1.0,5.123002,Validation
2015-04-21,R03,XGBoost,0.0,4.8985,Validation
2019-04-20,R03,XGBoost,0.0,6.4749203,Validation
2018-03-04,R03,XGBoost,14.0,7.181065,Validation
2016-01-03,R03,XGBoost,5.0,5.957817,Validation
2015-07-14,R03,XGBoost,2.0,4.4797325,Validation
2014-02-11,R03,XGBoost,6.0,5.1307225,Validation
2018-01-24,R03,XGBoost,4.0,6.640483,Validation
2017-03-27,R03,XGBoost,1.0,5.498282,Validation
2018-09-25,R03,XGBoost,22.0,6.154045,Validation
2017-04-27,R03,XGBoost,0.0,5.664123,Validation
2015-08-11,R03,XGBoost,0.0,3.8311725,Validation
2017-08-26,R03,XGBoost,6.0,5.005887,Validation
2015-08-26,R03,XGBoost,1.0,4.0385995,Validation
2018-12-03,R03,XGBoost,13.0,8.574118,Validation
2015-11-29,R03,XGBoost,4.0,5.7373204,Validation
2016-07-23,R03,XGBoost,0.0,4.569811,Validation
2017-11-17,R03,XGBoost,30.0,6.320863,Validation
2018-09-09,R03,XGBoost,0.0,6.5416093,Validation
2016-01-17,R03,XGBoost,0.0,5.471902,Validation
2018-04-08,R03,XGBoost,0.0,8.479551,Validation
2018-11-13,R03,XGBoost,18.0,7.767906,Validation
2016-03-13,R03,XGBoost,4.0,6.1812873,Validation
2019-08-06,R03,XGBoost,6.0,5.5820904,Validation
2018-01-23,R03,XGBoost,5.0,6.0395284,Validation
2019-02-23,R03,XGBoost,0.0,5.839761,Validation
2016-07-27,R03,XGBoost,9.0,4.230572,Validation
2014-06-23,R03,XGBoost,2.0,3.94372,Validation
2016-06-03,R03,XGBoost,1.0,5.73096,Validation
2015-10-14,R03,XGBoost,0.0,5.741715,Validation
2015-09-16,R03,XGBoost,2.0,4.965746,Validation
2016-10-31,R03,XGBoost,17.0,5.2656674,Validation
2016-07-09,R03,XGBoost,0.0,4.6329846,Validation
2017-03-22,R03,XGBoost,2.0,5.1935225,Validation
2017-04-29,R03,XGBoost,1.0,5.2192287,Validation
2017-11-07,R03,XGBoost,0.0,5.351446,Validation
2014-10-21,R03,XGBoost,20.0,4.9859295,Validation
2018-11-19,R03,XGBoost,3.0,8.896111,Validation
2014-08-03,R03,XGBoost,0.0,4.6791577,Validation
2019-02-10,R03,XGBoost,0.0,7.009448,Validation
2015-06-02,R03,XGBoost,3.0,5.064449,Validation
