Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,R06,KNN,7.0,7.0,Train
2014-01-25,R06,KNN,1.0,1.0,Train
2015-10-05,R06,KNN,5.0,5.0,Train
2015-07-31,R06,KNN,6.0,6.0,Train
2015-09-09,R06,KNN,2.0,2.0,Train
2014-01-19,R06,KNN,1.0,1.0,Train
2016-03-27,R06,KNN,4.0,4.0,Train
2016-08-16,R06,KNN,3.5,3.5,Train
2018-12-16,R06,KNN,1.0,1.0,Train
2014-12-09,R06,KNN,2.0,2.0,Train
2017-09-16,R06,KNN,1.2,1.2,Train
2019-02-14,R06,KNN,3.0,3.0,Train
2015-02-15,R06,KNN,2.0,2.0,Train
2015-04-16,R06,KNN,4.0,4.0,Train
2016-11-30,R06,KNN,0.0,0.0,Train
2017-12-18,R06,KNN,0.0,0.0,Train
2016-12-16,R06,KNN,1.0,1.0,Train
2018-06-03,R06,KNN,2.0,2.0,Train
2014-04-06,R06,KNN,1.0,1.0,Train
2018-09-11,R06,KNN,4.0,4.0,Train
2016-06-10,R06,KNN,5.0,5.0,Train
2019-05-18,R06,KNN,3.0,3.0,Train
2019-01-19,R06,KNN,3.0,3.0,Train
2019-01-15,R06,KNN,1.0,1.0,Train
2017-02-18,R06,KNN,3.1,3.1,Train
2019-01-16,R06,KNN,5.0,5.0,Train
2019-08-16,R06,KNN,7.0,7.0,Train
2019-06-08,R06,KNN,2.1,2.1,Train
2016-01-31,R06,KNN,2.0,2.0,Train
2015-11-11,R06,KNN,3.0,3.0,Train
2016-11-13,R06,KNN,1.0,1.0,Train
2019-04-12,R06,KNN,7.0,7.0,Train
2016-02-16,R06,KNN,3.0,3.0,Train
2014-06-05,R06,KNN,5.0,5.0,Train
2014-06-15,R06,KNN,3.3,3.3,Train
2018-04-01,R06,KNN,5.0,5.0,Train
2019-08-24,R06,KNN,5.5,5.5,Train
2019-02-27,R06,KNN,7.5,7.5,Train
2016-08-17,R06,KNN,5.0,5.0,Train
2017-05-08,R06,KNN,5.6,5.6,Train
2016-10-01,R06,KNN,2.0,2.0,Train
2016-12-23,R06,KNN,2.0,2.0,Train
2018-12-25,R06,KNN,2.0,2.0,Train
2017-06-05,R06,KNN,8.0,8.0,Train
2016-12-20,R06,KNN,0.0,0.0,Train
2016-03-18,R06,KNN,3.0,3.0,Train
2018-01-05,R06,KNN,1.0,1.0,Train
2017-03-10,R06,KNN,1.0,1.0,Train
2015-03-31,R06,KNN,4.0,4.0,Train
2015-11-13,R06,KNN,0.0,0.0,Train
2014-04-13,R06,KNN,2.0,2.0,Train
2014-11-25,R06,KNN,3.0,3.0,Train
2014-08-05,R06,KNN,0.0,0.0,Train
2016-07-03,R06,KNN,5.0,5.0,Train
2014-08-10,R06,KNN,2.0,2.0,Train
2019-05-13,R06,KNN,3.0,3.0,Train
2017-08-19,R06,KNN,2.0,2.0,Train
2017-09-02,R06,KNN,3.0,3.0,Train
2017-02-04,R06,KNN,3.75,3.75,Train
2015-02-12,R06,KNN,0.0,0.0,Train
2017-03-08,R06,KNN,3.0,3.0,Train
2018-09-20,R06,KNN,5.0,5.0,Train
2016-01-27,R06,KNN,2.0,2.0,Train
2018-01-17,R06,KNN,2.0,2.0,Train
2014-07-10,R06,KNN,4.0,4.0,Train
2016-08-01,R06,KNN,6.0,6.0,Train
