Date,Drug,Model,Actual_Sales,Predicted_Sales,Set
2019-06-12,R06,XGBoost,7.0,4.9744186,Train
2014-01-25,R06,XGBoost,1.0,2.0256348,Train
2015-10-05,R06,XGBoost,5.0,1.7477088,Train
2015-07-31,R06,XGBoost,6.0,3.2585511,Train
2015-09-09,R06,XGBoost,2.0,2.694017,Train
2014-01-19,R06,XGBoost,1.0,1.7251799,Train
2016-03-27,R06,XGBoost,4.0,3.7021625,Train
2016-08-16,R06,XGBoost,3.5,2.5112975,Train
2018-12-16,R06,XGBoost,1.0,1.6998396,Train
2014-12-09,R06,XGBoost,2.0,1.5382926,Train
2017-09-16,R06,XGBoost,1.2,3.003234,Train
2019-02-14,R06,XGBoost,3.0,1.97146,Train
2015-02-15,R06,XGBoost,2.0,1.7759659,Train
2015-04-16,R06,XGBoost,4.0,3.5468826,Train
2016-11-30,R06,XGBoost,0.0,1.550921,Train
2017-12-18,R06,XGBoost,0.0,1.5737989,Train
2016-12-16,R06,XGBoost,1.0,1.4993759,Train
2018-06-03,R06,XGBoost,2.0,4.852289,Train
2014-04-06,R06,XGBoost,1.0,3.2137754,Train
2018-09-11,R06,XGBoost,4.0,2.7843206,Train
2016-06-10,R06,XGBoost,5.0,4.1992955,Train
2019-05-18,R06,XGBoost,3.0,3.7359006,Train
2019-01-19,R06,XGBoost,3.0,2.3290033,Train
2019-01-15,R06,XGBoost,1.0,1.7626151,Train
2017-02-18,R06,XGBoost,3.1,2.2365859,Train
2019-01-16,R06,XGBoost,5.0,1.8510386,Train
2019-08-16,R06,XGBoost,7.0,2.8500192,Train
2019-06-08,R06,XGBoost,2.1,3.8503897,Train
2016-01-31,R06,XGBoost,2.0,2.0646527,Train
2015-11-11,R06,XGBoost,3.0,1.5988069,Train
2016-11-13,R06,XGBoost,1.0,2.0317533,Train
2019-04-12,R06,XGBoost,7.0,5.6101594,Train
2016-02-16,R06,XGBoost,3.0,2.0489166,Train
2014-06-05,R06,XGBoost,5.0,3.1441991,Train
2014-06-15,R06,XGBoost,3.3,3.2065823,Train
2018-04-01,R06,XGBoost,5.0,3.1474955,Train
2019-08-24,R06,XGBoost,5.5,3.2224061,Train
2019-02-27,R06,XGBoost,7.5,2.48691,Train
2016-08-17,R06,XGBoost,5.0,2.2411666,Train
2017-05-08,R06,XGBoost,5.6,3.9700117,Train
2016-10-01,R06,XGBoost,2.0,2.1783526,Train
2016-12-23,R06,XGBoost,2.0,1.5722679,Train
2018-12-25,R06,XGBoost,2.0,1.6725385,Train
2017-06-05,R06,XGBoost,8.0,3.5768936,Train
2016-12-20,R06,XGBoost,0.0,1.4014535,Train
2016-03-18,R06,XGBoost,3.0,2.9841592,Train
2018-01-05,R06,XGBoost,1.0,2.0126672,Train
2017-03-10,R06,XGBoost,1.0,3.255967,Train
2015-03-31,R06,XGBoost,4.0,2.6054258,Train
2015-11-13,R06,XGBoost,0.0,1.6236055,Train
2014-04-13,R06,XGBoost,2.0,2.924186,Train
2014-11-25,R06,XGBoost,3.0,1.5330889,Train
2014-08-05,R06,XGBoost,0.0,2.7450883,Train
2016-07-03,R06,XGBoost,5.0,3.3708725,Train
2014-08-10,R06,XGBoost,2.0,2.3285515,Train
2019-05-13,R06,XGBoost,3.0,4.202857,Train
2017-08-19,R06,XGBoost,2.0,2.427014,Train
2017-09-02,R06,XGBoost,3.0,2.2262099,Train
2017-02-04,R06,XGBoost,3.75,2.1153967,Train
2015-02-12,R06,XGBoost,0.0,1.7761096,Train
2017-03-08,R06,XGBoost,3.0,3.111155,Train
2018-09-20,R06,XGBoost,5.0,3.0453453,Train
2016-01-27,R06,XGBoost,2.0,1.8234553,Train
2018-01-17,R06,XGBoost,2.0,1.6670847,Train
2014-07-10,R06,XGBoost,4.0,2.2504234,Train
2016-08-01,R06,XGBoost,6.0,3.4715145,Train
2019-06-22,R06,XGBoost,5.0,4.979934,Train
2018-04-28,R06,XGBoost,7.0,5.9623685,Train
2015-02-21,R06,XGBoost,3.0,2.7408009,Train
2018-10-29,R06,XGBoost,3.0,1.8629731,Train
2018-05-25,R06,XGBoost,2.0,4.082935,Train
2018-03-11,R06,XGBoost,3.0,2.64682,Train
2018-12-21,R06,XGBoost,1.0,1.515087,Train
2014-05-19,R06,XGBoost,9.0,2.892583,Train
2017-08-25,R06,XGBoost,1.0,2.4753437,Train
2017-05-28,R06,XGBoost,3.0,4.509315,Train
2016-09-22,R06,XGBoost,3.0,1.8498958,Train
2014-01-30,R06,XGBoost,2.0,2.140274,Train
2018-08-26,R06,XGBoost,4.3,3.6336765,Train
2017-04-23,R06,XGBoost,5.0,2.488154,Train
2019-03-11,R06,XGBoost,3.0,4.5313554,Train
2014-05-16,R06,XGBoost,1.0,3.581736,Train
2017-04-20,R06,XGBoost,2.0,2.9496691,Train
2019-06-13,R06,XGBoost,9.0,4.6542954,Train
2017-02-11,R06,XGBoost,3.0,2.3725665,Train
